MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.33,-999.00,-999.00, 2.54,-999.00,-999.00,-999.00, 2.52, 5.88, 7.26,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.75, 0.82, 0.97,-999.00, 0.72, 0.79, 0.94,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.52, 4.30, 3.96,-999.00,-999.00, 4.09, 3.84,-999.00, 5.91, 5.82,-999.00,-999.00
CESM2, 5.34, 5.19,-999.00, 5.60,-999.00, 5.02,-999.00, 5.43, 9.04, 8.38,-999.00,-999.00
CNRM-CM5, 5.48, 6.22, 5.50,-999.00,-999.00, 6.03, 5.33,-999.00, 5.78, 5.79,-999.00,-999.00
CNRM-CM6-1, 3.94,-999.00,-999.00, 4.08,-999.00,-999.00,-999.00,-999.00, 5.55, 6.01,-999.00,-999.00
COSMOS-ASO, 0.34,-999.00, 0.43,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.92, 1.43,-999.00,-999.00,-999.00, 1.34,-999.00,-999.00, 3.68, 8.94,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.01, 5.52,-999.00,-999.00,-999.00, 5.42,-999.00,-999.00, 7.01,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.20, 4.33,-999.00,-999.00,-999.00, 4.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.72, 3.34,-999.00,-999.00,-999.00, 3.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 6.88, 6.98,-999.00, 7.33,-999.00, 6.70,-999.00, 7.05, 8.89, 9.30,-999.00,-999.00
FGOALS-g2, 8.17, 7.44, 8.68,-999.00,-999.00, 7.36, 8.62,-999.00, 5.10,10.96,-999.00,-999.00
FGOALS-g3, 4.71, 4.17,-999.00, 4.55,-999.00, 3.90,-999.00, 4.24,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.48, 5.36,-999.00,-999.00,-999.00, 5.05,-999.00,-999.00, 6.35, 7.09,-999.00,-999.00
GISS-E2-1-G, 6.03, 6.34,-999.00, 6.28,-999.00, 6.09,-999.00, 6.02, 6.34, 7.28,-999.00,-999.00
GISS-E2-R, 6.58, 8.31, 6.08,-999.00,-999.00, 8.20, 6.01,-999.00,10.04, 9.20,-999.00,-999.00
HadCM3, 2.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.60, 5.21,-999.00,-999.00,-999.00, 4.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.25, 4.78,-999.00,-999.00,-999.00, 4.52,-999.00,-999.00, 7.22, 8.28,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.79,-999.00, 4.25,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.06, 1.46, 0.83, 1.25,-999.00, 1.38, 0.76, 1.18, 3.64, 3.93,-999.00,-999.00
IPSL-CM5A-LR, 1.79, 1.97, 1.99,-999.00,-999.00, 1.95, 1.94,-999.00, 3.04, 4.11,-999.00,-999.00
IPSL-CM6A-LR, 1.08, 1.24,-999.00, 1.55,-999.00, 1.18,-999.00, 1.48, 3.71, 6.72,-999.00,-999.00
KCM1-2-2, 2.13, 1.20,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 5.74, 5.09, 5.06,-999.00,-999.00, 5.06, 4.98, 5.80, 7.29, 7.67,-999.00,-999.00
MIROC-ESM, 6.71, 6.75, 6.82,-999.00,-999.00, 6.69, 6.74,-999.00, 9.71,11.12,-999.00,-999.00
MPI-ESM1-2-LR, 3.13, 3.35, 2.99,-999.00,-999.00, 3.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.30, 1.44, 1.49,-999.00,-999.00, 1.33, 1.38,-999.00, 2.48, 4.50,-999.00,-999.00
MRI-CGCM3, 1.45, 1.73, 0.80,-999.00,-999.00, 1.57, 0.73,-999.00, 3.54, 4.51,-999.00,-999.00
MRI-ESM2-0, 3.58, 3.60,-999.00,-999.00,-999.00, 3.36,-999.00,-999.00, 5.69, 6.22,-999.00,-999.00
NESM3, 1.91, 2.57,-999.00, 2.51,-999.00, 2.46,-999.00, 2.37, 2.43, 3.21,-999.00,-999.00
NorESM1-F, 7.83, 7.50,-999.00, 8.51,-999.00, 7.19,-999.00, 8.12,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.17, 6.10,-999.00,-999.00,-999.00, 5.89,-999.00,-999.00, 7.58, 9.34,-999.00,-999.00
UofT-CCSM-4, 2.12, 2.29, 1.12,-999.00,-999.00, 2.22, 1.09,-999.00,-999.00,-999.00,-999.00,-999.00
