MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.18,-999.00,-999.00, 3.30,-999.00,-999.00,-999.00, 3.17, 3.35, 3.43,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.79, 2.57, 2.87,-999.00, 2.68, 2.48, 2.75,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.89, 2.89, 2.57,-999.00,-999.00, 2.78, 2.49,-999.00, 3.04, 3.09,-999.00,-999.00
CESM2, 2.91, 2.89,-999.00, 2.97,-999.00, 2.79,-999.00, 2.86, 3.13, 3.27,-999.00,-999.00
CNRM-CM5, 3.02, 3.04, 2.83,-999.00,-999.00, 2.95, 2.75,-999.00, 3.19, 3.26,-999.00,-999.00
CNRM-CM6-1, 2.87,-999.00,-999.00, 3.00,-999.00,-999.00,-999.00,-999.00, 3.11, 3.18,-999.00,-999.00
COSMOS-ASO, 2.61,-999.00, 2.30,-999.00,-999.00,-999.00, 2.23,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.83, 2.83,-999.00,-999.00,-999.00, 2.72,-999.00,-999.00, 3.01, 3.15,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.69, 2.68,-999.00,-999.00,-999.00, 2.58,-999.00,-999.00, 2.81,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.77, 2.78,-999.00,-999.00,-999.00, 2.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.77, 2.79,-999.00,-999.00,-999.00, 2.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.83, 2.82,-999.00, 2.90,-999.00, 2.70,-999.00, 2.77, 3.08, 3.10,-999.00,-999.00
FGOALS-g2, 2.82, 2.79, 2.53,-999.00,-999.00, 2.69, 2.45,-999.00, 3.01, 3.13,-999.00,-999.00
FGOALS-g3, 2.84, 2.74,-999.00, 2.87,-999.00, 2.62,-999.00, 2.72,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.64, 2.66,-999.00,-999.00,-999.00, 2.54,-999.00,-999.00, 2.88, 2.98,-999.00,-999.00
GISS-E2-1-G, 2.94, 2.92,-999.00, 3.03,-999.00, 2.82,-999.00, 2.90, 2.95, 3.08,-999.00,-999.00
GISS-E2-R, 3.16, 3.17, 2.88,-999.00,-999.00, 3.11, 2.83,-999.00, 3.28, 3.26,-999.00,-999.00
HadCM3, 2.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.00, 3.03,-999.00,-999.00,-999.00, 2.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.05, 3.07,-999.00,-999.00,-999.00, 2.94,-999.00,-999.00, 3.20, 3.29,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.00,-999.00, 3.10,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.95, 2.97, 2.69, 3.08,-999.00, 2.90, 2.64, 3.00, 3.09, 3.14,-999.00,-999.00
IPSL-CM5A-LR, 2.61, 2.64, 2.25,-999.00,-999.00, 2.58, 2.20,-999.00, 2.84, 2.98,-999.00,-999.00
IPSL-CM6A-LR, 2.98, 2.98,-999.00, 3.06,-999.00, 2.87,-999.00, 2.94, 3.17, 3.43,-999.00,-999.00
KCM1-2-2, 2.62, 2.64,-999.00,-999.00,-999.00, 2.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.17, 3.15, 2.88,-999.00,-999.00, 3.08, 2.82, 3.14, 3.32, 3.36,-999.00,-999.00
MIROC-ESM, 2.78, 2.77, 2.48,-999.00,-999.00, 2.69, 2.41,-999.00, 3.00, 3.14,-999.00,-999.00
MPI-ESM1-2-LR, 2.79, 2.80, 2.57,-999.00,-999.00, 2.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.88, 2.89, 2.63,-999.00,-999.00, 2.77, 2.53,-999.00, 3.06, 3.15,-999.00,-999.00
MRI-CGCM3, 2.90, 2.92, 2.52,-999.00,-999.00, 2.78, 2.40,-999.00, 3.11, 3.18,-999.00,-999.00
MRI-ESM2-0, 2.97, 2.97,-999.00,-999.00,-999.00, 2.85,-999.00,-999.00, 3.13, 3.22,-999.00,-999.00
NESM3, 2.81, 2.84,-999.00, 2.91,-999.00, 2.70,-999.00, 2.77, 3.10, 3.18,-999.00,-999.00
NorESM1-F, 2.80, 2.80,-999.00, 2.89,-999.00, 2.67,-999.00, 2.76,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.83, 3.03,-999.00,-999.00,-999.00, 2.92,-999.00,-999.00, 2.93, 3.14,-999.00,-999.00
UofT-CCSM-4, 2.84, 2.84, 2.48,-999.00,-999.00, 2.74, 2.41,-999.00,-999.00,-999.00,-999.00,-999.00
