MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.02,-999.00,-999.00, 0.01,-999.00,-999.00,-999.00, 0.01, 0.02, 0.02,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.01, 0.01, 0.01,-999.00, 0.01, 0.01, 0.01,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.02, 0.02, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00, 0.02,-999.00,-999.00,-999.00
CESM2, 0.02, 0.02,-999.00, 0.02,-999.00, 0.02,-999.00, 0.02, 0.02, 0.02,-999.00,-999.00
CNRM-CM5, 0.02, 0.02, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00, 0.02, 0.02,-999.00,-999.00
CNRM-CM6-1, 0.02,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00, 0.02, 0.03,-999.00,-999.00
COSMOS-ASO, 0.02,-999.00, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.02, 0.01,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.01, 0.01,-999.00,-999.00,-999.00, 0.01,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.01, 0.01,-999.00,-999.00,-999.00, 0.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.03, 0.02,-999.00, 0.02,-999.00, 0.03,-999.00, 0.02, 0.03, 0.03,-999.00,-999.00
FGOALS-g2, 0.02, 0.02, 0.01,-999.00,-999.00, 0.02, 0.01,-999.00, 0.01, 0.02,-999.00,-999.00
FGOALS-g3, 0.01, 0.01,-999.00, 0.01,-999.00, 0.01,-999.00, 0.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00,-999.00
GISS-E2-1-G, 0.02, 0.02,-999.00, 0.02,-999.00, 0.02,-999.00, 0.02, 0.02, 0.02,-999.00,-999.00
GISS-E2-R, 0.01, 0.02, 0.01,-999.00,-999.00, 0.01, 0.01,-999.00, 0.01, 0.01,-999.00,-999.00
HadCM3, 0.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.02,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.01, 0.02, 0.02, 0.01,-999.00, 0.01, 0.02, 0.01, 0.02, 0.02,-999.00,-999.00
IPSL-CM5A-LR, 0.01, 0.01, 0.02,-999.00,-999.00, 0.01, 0.02,-999.00, 0.02, 0.01,-999.00,-999.00
IPSL-CM6A-LR, 0.02, 0.02,-999.00, 0.01,-999.00, 0.02,-999.00, 0.02, 0.02, 0.01,-999.00,-999.00
KCM1-2-2, 0.03, 0.03,-999.00,-999.00,-999.00, 0.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.02, 0.02, 0.02,-999.00,-999.00, 0.02, 0.02, 0.01, 0.03, 0.03,-999.00,-999.00
MIROC-ESM, 0.02, 0.02, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00, 0.01, 0.02,-999.00,-999.00
MPI-ESM1-2-LR, 0.01, 0.01, 0.01,-999.00,-999.00, 0.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.02, 0.01, 0.02,-999.00,-999.00, 0.02, 0.02,-999.00, 0.02, 0.02,-999.00,-999.00
MRI-CGCM3, 0.02, 0.02, 0.01,-999.00,-999.00, 0.02, 0.01,-999.00, 0.03, 0.03,-999.00,-999.00
MRI-ESM2-0, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00, 0.03, 0.03,-999.00,-999.00
NESM3, 0.01, 0.01,-999.00, 0.01,-999.00, 0.02,-999.00, 0.02, 0.02, 0.01,-999.00,-999.00
NorESM1-F, 0.02, 0.02,-999.00, 0.02,-999.00, 0.02,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.02, 0.02,-999.00,-999.00,-999.00, 0.03,-999.00,-999.00, 0.03, 0.04,-999.00,-999.00
UofT-CCSM-4, 0.02, 0.02, 0.01,-999.00,-999.00, 0.02, 0.01,-999.00,-999.00,-999.00,-999.00,-999.00
