MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,14.52,-999.00,-999.00,14.50,-999.00,-999.00,-999.00,14.32,18.62,19.86,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,12.02, 9.31,12.24,-999.00,12.04, 9.31,12.18,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,13.29,12.47, 8.56,-999.00,-999.00,12.49, 8.55,-999.00,17.50,18.12,-999.00,-999.00
CESM2,13.97,13.27,-999.00,13.42,18.98,13.29,-999.00,13.37,18.82,21.12,-999.00,-999.00
CNRM-CM5,13.05,12.69,10.41,-999.00,-999.00,12.71,10.40,-999.00,16.84,17.96,-999.00,-999.00
CNRM-CM6-1,12.76,-999.00,-999.00,12.37,-999.00,-999.00,-999.00,12.31,17.90,19.17,-999.00,-999.00
COSMOS-ASO,12.51,-999.00, 7.24,-999.00,-999.00,-999.00, 7.23,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,12.81,12.33,-999.00,-999.00,-999.00,12.36,-999.00,-999.00,16.38,18.34,-999.00,-999.00
CSIRO-Mk3L-1-2,13.96,13.53,-999.00,-999.00,-999.00,13.55,-999.00,-999.00,17.02,-999.00,-999.00,-999.00
EC-EARTH-2-2,12.21,11.58,-999.00,-999.00,-999.00,11.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,13.27,12.60,-999.00,-999.00,-999.00,12.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,12.94,12.07,-999.00,12.08,-999.00,12.10,-999.00,12.03,17.86,17.98,-999.00,-999.00
FGOALS-g2,13.22,11.93, 9.01,-999.00,-999.00,11.95, 9.01,-999.00,17.04,18.74,-999.00,-999.00
FGOALS-g3,14.14,13.37,-999.00,13.94,-999.00,13.39,-999.00,13.88,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,13.67,12.89,-999.00,-999.00,-999.00,12.91,-999.00,-999.00,17.81,19.40,-999.00,-999.00
GISS-E2-1-G,13.85,12.92,-999.00,13.10,15.97,12.93,-999.00,13.05,14.53,17.89,-999.00,-999.00
GISS-E2-R,14.40,13.75, 9.84,-999.00,-999.00,13.77, 9.83,-999.00,17.27,17.67,-999.00,-999.00
HadCM3,13.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,13.19,12.89,-999.00,-999.00,-999.00,12.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,13.70,13.43,-999.00,-999.00,-999.00,13.46,-999.00,-999.00,18.23,19.89,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,12.93,-999.00,13.35,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,13.35,12.53, 9.76,12.71,-999.00,12.56, 9.75,12.66,16.25,16.76,-999.00,-999.00
IPSL-CM5A-LR,12.08,11.36, 7.82,-999.00,-999.00,11.38, 7.81,-999.00,16.14,17.92,-999.00,-999.00
IPSL-CM6A-LR,12.61,11.63,-999.00,11.80,15.78,11.65,-999.00,11.74,17.82,21.86,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.86,13.92,11.08,14.12,-999.00,13.94,11.07,14.07,18.29,18.88,-999.00,-999.00
MIROC-ESM,13.47,12.69, 8.59,-999.00,-999.00,12.71, 8.58,-999.00,17.94,19.83,-999.00,-999.00
MPI-ESM1-2-LR,13.60,12.65, 9.85,12.91,-999.00,12.67,-999.00,12.86,18.10,18.44,-999.00,-999.00
MPI-ESM-P,13.78,12.99, 9.57,-999.00,-999.00,13.01, 9.57,-999.00,17.75,19.31,-999.00,-999.00
MRI-CGCM3,13.68,13.08, 9.09,-999.00,-999.00,13.11, 9.08,-999.00,16.97,17.93,-999.00,-999.00
MRI-ESM2-0,13.77,13.08,-999.00,-999.00,-999.00,13.10,-999.00,-999.00,17.13,18.33,-999.00,-999.00
NESM3,13.63,12.61,-999.00,12.88,-999.00,12.63,-999.00,12.81,19.35,20.44,-999.00,-999.00
NorESM1-F,14.52,13.63,-999.00,13.83,16.21,13.66,-999.00,13.78,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,14.40,13.64,-999.00,13.81,-999.00,13.67,-999.00,13.76,17.53,20.95,-999.00,-999.00
UofT-CCSM-4,12.46,11.76, 7.42,-999.00,-999.00,11.78, 7.41,-999.00,-999.00,-999.00,-999.00,-999.00
