MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.47,-999.00,-999.00, 2.42,-999.00,-999.00,-999.00, 2.43, 2.46, 2.47,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.26, 1.76, 2.14,-999.00, 2.14, 1.64, 2.13,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.43, 2.64, 2.06,-999.00,-999.00, 2.52, 1.96,-999.00, 2.68, 2.70,-999.00,-999.00
CESM2, 2.21, 2.32,-999.00, 2.19,-999.00, 2.20,-999.00, 2.17, 2.38, 2.44,-999.00,-999.00
CNRM-CM5, 2.15, 2.32, 1.95,-999.00,-999.00, 2.22, 1.85,-999.00, 2.33, 2.35,-999.00,-999.00
CNRM-CM6-1, 2.12,-999.00,-999.00, 2.20,-999.00,-999.00,-999.00,-999.00, 2.27, 2.29,-999.00,-999.00
COSMOS-ASO, 1.85,-999.00, 1.58,-999.00,-999.00,-999.00, 1.51,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.97, 2.03,-999.00,-999.00,-999.00, 1.90,-999.00,-999.00, 1.94, 1.96,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.81, 1.96,-999.00,-999.00,-999.00, 1.83,-999.00,-999.00, 1.90,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.91, 2.11,-999.00,-999.00,-999.00, 2.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.08, 2.24,-999.00,-999.00,-999.00, 2.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.72, 1.82,-999.00, 1.71,-999.00, 1.72,-999.00, 1.66, 2.01, 2.02,-999.00,-999.00
FGOALS-g2, 2.24, 2.37, 2.07,-999.00,-999.00, 2.29, 2.00,-999.00, 2.58, 2.43,-999.00,-999.00
FGOALS-g3, 2.39, 2.36,-999.00, 2.26,-999.00, 2.26,-999.00, 2.19,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.71, 1.86,-999.00,-999.00,-999.00, 1.76,-999.00,-999.00, 2.11, 2.15,-999.00,-999.00
GISS-E2-1-G, 2.19, 2.31,-999.00, 2.19,-999.00, 2.23,-999.00, 2.17, 2.17, 2.31,-999.00,-999.00
GISS-E2-R, 2.49, 2.59, 2.16,-999.00,-999.00, 2.53, 2.09,-999.00, 2.47, 2.41,-999.00,-999.00
HadCM3, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.09, 2.21,-999.00,-999.00,-999.00, 2.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.13, 2.26,-999.00,-999.00,-999.00, 2.16,-999.00,-999.00, 2.16, 2.21,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.27,-999.00, 2.20,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.43, 2.63, 1.96, 2.60,-999.00, 2.56, 1.90, 2.64, 2.68, 2.75,-999.00,-999.00
IPSL-CM5A-LR, 1.76, 1.90, 1.42,-999.00,-999.00, 1.83, 1.34,-999.00, 1.92, 1.99,-999.00,-999.00
IPSL-CM6A-LR, 2.54, 2.68,-999.00, 2.58,-999.00, 2.59,-999.00, 2.60, 2.85, 3.04,-999.00,-999.00
KCM1-2-2, 1.79, 1.67,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.66, 2.81, 2.19,-999.00,-999.00, 2.73, 2.11, 2.73, 2.88, 2.91,-999.00,-999.00
MIROC-ESM, 2.43, 2.55, 1.91,-999.00,-999.00, 2.44, 1.81,-999.00, 2.68, 2.69,-999.00,-999.00
MPI-ESM1-2-LR, 2.00, 2.21, 1.76,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.05, 2.21, 1.83,-999.00,-999.00, 2.10, 1.71,-999.00, 2.15, 2.18,-999.00,-999.00
MRI-CGCM3, 2.26, 2.39, 1.77,-999.00,-999.00, 2.27, 1.67,-999.00, 2.46, 2.52,-999.00,-999.00
MRI-ESM2-0, 2.40, 2.53,-999.00,-999.00,-999.00, 2.40,-999.00,-999.00, 2.55, 2.63,-999.00,-999.00
NESM3, 2.42, 2.74,-999.00, 2.67,-999.00, 2.60,-999.00, 2.63, 3.01, 3.06,-999.00,-999.00
NorESM1-F, 2.31, 2.46,-999.00, 2.38,-999.00, 2.32,-999.00, 2.33,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.06, 2.45,-999.00,-999.00,-999.00, 2.32,-999.00,-999.00, 2.09, 2.23,-999.00,-999.00
UofT-CCSM-4, 2.43, 2.62, 2.11,-999.00,-999.00, 2.49, 2.00,-999.00,-999.00,-999.00,-999.00,-999.00
