MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 9.28,-999.00,-999.00, 9.77,-999.00,-999.00,-999.00,10.07,14.99,16.38,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 7.01, 1.99, 7.17,-999.00, 7.20, 1.97, 7.60,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 7.71, 7.30, 0.62,-999.00,-999.00, 7.49, 0.61,-999.00,13.22,13.81,-999.00,-999.00
CESM2, 9.21, 8.98,-999.00, 9.11,15.19, 9.16,-999.00, 9.51,15.47,18.15,-999.00,-999.00
CNRM-CM5, 6.64, 6.85, 2.35,-999.00,-999.00, 7.04, 2.33,-999.00,11.76,13.16,-999.00,-999.00
CNRM-CM6-1, 7.28,-999.00,-999.00, 7.58,-999.00,-999.00,-999.00, 8.02,14.35,15.86,-999.00,-999.00
COSMOS-ASO, 7.19,-999.00,-0.90,-999.00,-999.00,-999.00,-0.92,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.01, 8.00,-999.00,-999.00,-999.00, 8.19,-999.00,-999.00,12.83,15.21,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.28, 8.29,-999.00,-999.00,-999.00, 8.47,-999.00,-999.00,12.40,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.76, 5.62,-999.00,-999.00,-999.00, 5.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 7.14, 7.06,-999.00,-999.00,-999.00, 7.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.25, 6.79,-999.00, 6.75,-999.00, 6.96,-999.00, 7.18,13.98,14.00,-999.00,-999.00
FGOALS-g2, 7.94, 7.09, 0.65,-999.00,-999.00, 7.29, 0.63,-999.00,12.85,14.99,-999.00,-999.00
FGOALS-g3, 9.23, 9.18,-999.00, 9.73,-999.00, 9.38,-999.00,10.21,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 8.97, 8.71,-999.00,-999.00,-999.00, 8.91,-999.00,-999.00,14.25,15.97,-999.00,-999.00
GISS-E2-1-G, 8.55, 8.10,-999.00, 8.45,10.97, 8.25,-999.00, 8.82, 9.58,14.03,-999.00,-999.00
GISS-E2-R, 9.09, 8.91, 1.09,-999.00,-999.00, 9.07, 1.07,-999.00,13.15,13.74,-999.00,-999.00
HadCM3, 7.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.45, 7.70,-999.00,-999.00,-999.00, 7.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.21, 8.55,-999.00,-999.00,-999.00, 8.74,-999.00,-999.00,14.73,16.84,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 8.15,-999.00, 9.22,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.77, 7.38, 0.94, 7.52,-999.00, 7.56, 0.92, 7.95,11.62,12.27,-999.00,-999.00
IPSL-CM5A-LR, 6.87, 6.81,-0.40,-999.00,-999.00, 6.99,-0.41,-999.00,12.54,14.69,-999.00,-999.00
IPSL-CM6A-LR, 6.56, 6.12,-999.00, 6.54,10.50, 6.32,-999.00, 6.98,14.00,18.92,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,10.49, 9.90, 4.15, 9.92,-999.00,10.08, 4.13,10.34,15.28,15.95,-999.00,-999.00
MIROC-ESM, 9.37, 8.95, 1.27,-999.00,-999.00, 9.13, 1.25,-999.00,15.35,17.68,-999.00,-999.00
MPI-ESM1-2-LR, 8.03, 7.52, 1.84,11.04,-999.00, 7.69,-999.00,11.10,14.42,14.67,-999.00,-999.00
MPI-ESM-P, 8.27, 7.95, 1.01,-999.00,-999.00, 8.12, 1.00,-999.00,14.05,16.05,-999.00,-999.00
MRI-CGCM3, 7.93, 7.87, 1.42,-999.00,-999.00, 8.05, 1.40,-999.00,12.34,13.47,-999.00,-999.00
MRI-ESM2-0, 9.06, 8.80,-999.00,-999.00,-999.00, 8.97,-999.00,-999.00,13.46,14.85,-999.00,-999.00
NESM3, 8.16, 7.76,-999.00, 8.13,-999.00, 7.95,-999.00, 8.57,16.05,17.23,-999.00,-999.00
NorESM1-F, 9.39, 8.90,-999.00, 9.01,11.35, 9.08,-999.00, 9.46,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 9.37, 9.18,-999.00, 9.39,-999.00, 9.35,-999.00, 9.78,14.20,17.94,-999.00,-999.00
UofT-CCSM-4, 6.71, 6.47,-0.12,-999.00,-999.00, 6.66,-0.14,-999.00,-999.00,-999.00,-999.00,-999.00
