MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.48,-999.00,-999.00, 3.48,-999.00,-999.00,-999.00, 3.36, 3.69, 3.80,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.09, 2.97, 3.09,-999.00, 2.99, 2.88, 2.97,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.16, 3.12, 2.86,-999.00,-999.00, 3.03, 2.79,-999.00, 3.31, 3.37,-999.00,-999.00
CESM2, 3.21, 3.18,-999.00, 3.19,-999.00, 3.11,-999.00, 3.09, 3.48, 3.65,-999.00,-999.00
CNRM-CM5, 3.44, 3.43, 3.26,-999.00,-999.00, 3.36, 3.19,-999.00, 3.60, 3.69,-999.00,-999.00
CNRM-CM6-1, 3.21,-999.00,-999.00, 3.23,-999.00,-999.00,-999.00,-999.00, 3.47, 3.57,-999.00,-999.00
COSMOS-ASO, 2.98,-999.00, 2.64,-999.00,-999.00,-999.00, 2.57,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.25, 3.25,-999.00,-999.00,-999.00, 3.15,-999.00,-999.00, 3.50, 3.68,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.09, 3.08,-999.00,-999.00,-999.00, 2.99,-999.00,-999.00, 3.23,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.14, 3.11,-999.00,-999.00,-999.00, 3.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.11, 3.09,-999.00,-999.00,-999.00, 3.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.32, 3.29,-999.00, 3.28,-999.00, 3.18,-999.00, 3.16, 3.56, 3.60,-999.00,-999.00
FGOALS-g2, 3.13, 3.06, 2.80,-999.00,-999.00, 2.97, 2.73,-999.00, 3.25, 3.49,-999.00,-999.00
FGOALS-g3, 3.09, 2.99,-999.00, 3.02,-999.00, 2.87,-999.00, 2.89,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.09, 3.05,-999.00,-999.00,-999.00, 2.93,-999.00,-999.00, 3.27, 3.40,-999.00,-999.00
GISS-E2-1-G, 3.32, 3.28,-999.00, 3.29,-999.00, 3.17,-999.00, 3.17, 3.33, 3.49,-999.00,-999.00
GISS-E2-R, 3.47, 3.46, 3.23,-999.00,-999.00, 3.41, 3.18,-999.00, 3.63, 3.64,-999.00,-999.00
HadCM3, 3.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.41, 3.42,-999.00,-999.00,-999.00, 3.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.46, 3.46,-999.00,-999.00,-999.00, 3.32,-999.00,-999.00, 3.63, 3.73,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.35,-999.00, 3.37,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.22, 3.20, 3.07, 3.21,-999.00, 3.14, 3.02, 3.13, 3.33, 3.36,-999.00,-999.00
IPSL-CM5A-LR, 2.98, 2.96, 2.67,-999.00,-999.00, 2.91, 2.62,-999.00, 3.23, 3.40,-999.00,-999.00
IPSL-CM6A-LR, 3.16, 3.12,-999.00, 3.13,-999.00, 3.02,-999.00, 3.01, 3.32, 3.61,-999.00,-999.00
KCM1-2-2, 2.97, 3.04,-999.00,-999.00,-999.00, 3.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.45, 3.40, 3.23,-999.00,-999.00, 3.35, 3.19, 3.32, 3.58, 3.62,-999.00,-999.00
MIROC-ESM, 3.01, 3.00, 2.79,-999.00,-999.00, 2.94, 2.74,-999.00, 3.22, 3.39,-999.00,-999.00
MPI-ESM1-2-LR, 3.17, 3.14, 2.98,-999.00,-999.00, 3.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.29, 3.26, 3.04,-999.00,-999.00, 3.13, 2.94,-999.00, 3.52, 3.64,-999.00,-999.00
MRI-CGCM3, 3.22, 3.21, 2.90,-999.00,-999.00, 3.06, 2.77,-999.00, 3.43, 3.51,-999.00,-999.00
MRI-ESM2-0, 3.22, 3.20,-999.00,-999.00,-999.00, 3.09,-999.00,-999.00, 3.41, 3.51,-999.00,-999.00
NESM3, 3.03, 3.01,-999.00, 3.01,-999.00, 2.87,-999.00, 2.85, 3.24, 3.31,-999.00,-999.00
NorESM1-F, 3.06, 3.03,-999.00, 3.03,-999.00, 2.93,-999.00, 2.91,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.16, 3.31,-999.00,-999.00,-999.00, 3.22,-999.00,-999.00, 3.29, 3.55,-999.00,-999.00
UofT-CCSM-4, 3.10, 3.07, 2.70,-999.00,-999.00, 2.99, 2.64,-999.00,-999.00,-999.00,-999.00,-999.00
