MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.49,-999.00,-999.00, 3.67,-999.00,-999.00,-999.00, 3.48, 3.73, 3.83,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.02, 2.92, 3.18,-999.00, 2.91, 2.83, 3.01,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.08, 2.99, 2.78,-999.00,-999.00, 2.89, 2.71,-999.00, 3.19, 3.26,-999.00,-999.00
CESM2, 3.20, 3.13,-999.00, 3.30,-999.00, 3.04,-999.00, 3.15, 3.44, 3.63,-999.00,-999.00
CNRM-CM5, 3.38, 3.35, 3.19,-999.00,-999.00, 3.26, 3.12,-999.00, 3.55, 3.65,-999.00,-999.00
CNRM-CM6-1, 3.19,-999.00,-999.00, 3.34,-999.00,-999.00,-999.00,-999.00, 3.46, 3.56,-999.00,-999.00
COSMOS-ASO, 2.93,-999.00, 2.60,-999.00,-999.00,-999.00, 2.53,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.20, 3.17,-999.00,-999.00,-999.00, 3.07,-999.00,-999.00, 3.46, 3.65,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.05, 2.97,-999.00,-999.00,-999.00, 2.88,-999.00,-999.00, 3.18,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.12, 3.06,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.06, 3.01,-999.00,-999.00,-999.00, 2.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.30, 3.24,-999.00, 3.41,-999.00, 3.12,-999.00, 3.24, 3.53, 3.56,-999.00,-999.00
FGOALS-g2, 3.06, 2.96, 2.72,-999.00,-999.00, 2.86, 2.64,-999.00, 3.18, 3.43,-999.00,-999.00
FGOALS-g3, 3.02, 2.89,-999.00, 3.12,-999.00, 2.77,-999.00, 2.93,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.04, 3.00,-999.00,-999.00,-999.00, 2.87,-999.00,-999.00, 3.21, 3.34,-999.00,-999.00
GISS-E2-1-G, 3.25, 3.18,-999.00, 3.38,-999.00, 3.06,-999.00, 3.21, 3.27, 3.40,-999.00,-999.00
GISS-E2-R, 3.45, 3.41, 3.18,-999.00,-999.00, 3.35, 3.14,-999.00, 3.61, 3.62,-999.00,-999.00
HadCM3, 3.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.39, 3.37,-999.00,-999.00,-999.00, 3.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.44, 3.42,-999.00,-999.00,-999.00, 3.27,-999.00,-999.00, 3.64, 3.74,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.31,-999.00, 3.49,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.17, 3.11, 3.00, 3.28,-999.00, 3.05, 2.95, 3.15, 3.27, 3.30,-999.00,-999.00
IPSL-CM5A-LR, 2.97, 2.96, 2.60,-999.00,-999.00, 2.90, 2.56,-999.00, 3.23, 3.40,-999.00,-999.00
IPSL-CM6A-LR, 3.16, 3.10,-999.00, 3.26,-999.00, 2.99,-999.00, 3.09, 3.31, 3.59,-999.00,-999.00
KCM1-2-2, 2.97, 3.04,-999.00,-999.00,-999.00, 3.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.38, 3.29, 3.17,-999.00,-999.00, 3.23, 3.13, 3.32, 3.50, 3.55,-999.00,-999.00
MIROC-ESM, 2.92, 2.86, 2.71,-999.00,-999.00, 2.79, 2.66,-999.00, 3.13, 3.32,-999.00,-999.00
MPI-ESM1-2-LR, 3.12, 3.06, 2.91,-999.00,-999.00, 2.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.23, 3.18, 2.98,-999.00,-999.00, 3.05, 2.87,-999.00, 3.45, 3.57,-999.00,-999.00
MRI-CGCM3, 3.17, 3.14, 2.84,-999.00,-999.00, 3.00, 2.71,-999.00, 3.38, 3.46,-999.00,-999.00
MRI-ESM2-0, 3.21, 3.15,-999.00,-999.00,-999.00, 3.04,-999.00,-999.00, 3.38, 3.47,-999.00,-999.00
NESM3, 2.98, 2.88,-999.00, 3.01,-999.00, 2.74,-999.00, 2.83, 3.14, 3.23,-999.00,-999.00
NorESM1-F, 3.01, 2.94,-999.00, 3.10,-999.00, 2.82,-999.00, 2.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.15, 3.27,-999.00,-999.00,-999.00, 3.18,-999.00,-999.00, 3.29, 3.53,-999.00,-999.00
UofT-CCSM-4, 3.01, 2.94, 2.64,-999.00,-999.00, 2.84, 2.58,-999.00,-999.00,-999.00,-999.00,-999.00
