MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.71,-999.00,-999.00,17.11,-999.00,-999.00,-999.00,17.00,20.34,21.52,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,14.93,12.30,15.13,-999.00,14.94,12.31,15.17,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,15.69,15.50,11.70,-999.00,-999.00,15.50,11.70,-999.00,19.43,20.03,-999.00,-999.00
CESM2,16.09,15.89,-999.00,16.00,20.60,15.90,-999.00,16.03,20.50,22.57,-999.00,-999.00
CNRM-CM5,15.96,16.13,14.04,-999.00,-999.00,16.14,14.04,-999.00,19.54,20.60,-999.00,-999.00
CNRM-CM6-1,15.21,-999.00,-999.00,15.55,-999.00,-999.00,-999.00,15.60,19.95,21.17,-999.00,-999.00
COSMOS-ASO,14.65,-999.00,10.28,-999.00,-999.00,-999.00,10.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,14.74,14.77,-999.00,-999.00,-999.00,14.77,-999.00,-999.00,17.96,19.81,-999.00,-999.00
CSIRO-Mk3L-1-2,16.42,16.40,-999.00,-999.00,-999.00,16.41,-999.00,-999.00,19.20,-999.00,-999.00,-999.00
EC-EARTH-2-2,14.77,14.68,-999.00,-999.00,-999.00,14.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,15.89,15.85,-999.00,-999.00,-999.00,15.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,15.26,14.93,-999.00,14.87,-999.00,14.94,-999.00,14.91,19.53,19.75,-999.00,-999.00
FGOALS-g2,15.33,14.64,11.87,-999.00,-999.00,14.65,11.87,-999.00,18.92,20.41,-999.00,-999.00
FGOALS-g3,15.96,15.66,-999.00,16.17,-999.00,15.66,-999.00,16.19,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,15.63,15.51,-999.00,-999.00,-999.00,15.52,-999.00,-999.00,19.51,21.10,-999.00,-999.00
GISS-E2-1-G,16.00,15.64,-999.00,15.87,17.96,15.65,-999.00,15.91,16.58,19.68,-999.00,-999.00
GISS-E2-R,16.46,16.40,13.00,-999.00,-999.00,16.41,13.00,-999.00,19.01,19.38,-999.00,-999.00
HadCM3,15.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,15.71,15.91,-999.00,-999.00,-999.00,15.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,16.10,16.30,-999.00,-999.00,-999.00,16.31,-999.00,-999.00,19.94,21.39,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,16.09,-999.00,16.62,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.57,15.31,13.17,15.42,-999.00,15.32,13.16,15.47,18.23,18.72,-999.00,-999.00
IPSL-CM5A-LR,14.21,14.11,10.74,-999.00,-999.00,14.12,10.74,-999.00,17.94,19.66,-999.00,-999.00
IPSL-CM6A-LR,15.31,14.98,-999.00,15.18,18.29,14.99,-999.00,15.22,20.01,23.71,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,16.87,16.45,13.80,16.52,-999.00,16.47,13.80,16.57,19.87,20.40,-999.00,-999.00
MIROC-ESM,15.38,15.19,11.68,-999.00,-999.00,15.20,11.68,-999.00,19.25,20.98,-999.00,-999.00
MPI-ESM1-2-LR,15.87,15.57,12.93,14.43,-999.00,15.58,-999.00,14.62,19.85,20.17,-999.00,-999.00
MPI-ESM-P,15.93,15.72,12.72,-999.00,-999.00,15.73,12.72,-999.00,19.43,20.83,-999.00,-999.00
MRI-CGCM3,15.97,15.96,12.06,-999.00,-999.00,15.97,12.06,-999.00,19.00,19.93,-999.00,-999.00
MRI-ESM2-0,15.82,15.68,-999.00,-999.00,-999.00,15.69,-999.00,-999.00,19.09,20.26,-999.00,-999.00
NESM3,16.10,15.89,-999.00,16.26,-999.00,15.90,-999.00,16.31,21.23,22.18,-999.00,-999.00
NorESM1-F,16.66,16.36,-999.00,16.43,18.29,16.37,-999.00,16.47,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,16.61,16.39,-999.00,16.49,-999.00,16.40,-999.00,16.53,19.28,22.54,-999.00,-999.00
UofT-CCSM-4,15.08,14.95,10.48,-999.00,-999.00,14.96,10.48,-999.00,-999.00,-999.00,-999.00,-999.00
