MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.58,-999.00,-999.00,17.43,-999.00,-999.00,-999.00,17.45,20.22,21.35,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,15.22,12.08,15.55,-999.00,15.24,12.08,15.74,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,15.51,15.75,11.28,-999.00,-999.00,15.75,11.28,-999.00,19.25,19.83,-999.00,-999.00
CESM2,15.99,16.16,-999.00,16.36,20.41,16.17,-999.00,16.49,20.41,22.42,-999.00,-999.00
CNRM-CM5,15.63,16.24,13.43,-999.00,-999.00,16.27,13.43,-999.00,19.37,20.44,-999.00,-999.00
CNRM-CM6-1,14.94,-999.00,-999.00,15.93,-999.00,-999.00,-999.00,16.20,19.80,21.04,-999.00,-999.00
COSMOS-ASO,14.50,-999.00, 9.95,-999.00,-999.00,-999.00, 9.95,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,14.48,14.90,-999.00,-999.00,-999.00,14.92,-999.00,-999.00,17.78,19.64,-999.00,-999.00
CSIRO-Mk3L-1-2,16.37,16.68,-999.00,-999.00,-999.00,16.70,-999.00,-999.00,19.17,-999.00,-999.00,-999.00
EC-EARTH-2-2,14.46,14.79,-999.00,-999.00,-999.00,14.82,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,15.58,16.02,-999.00,-999.00,-999.00,16.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,15.00,15.06,-999.00,15.14,-999.00,15.09,-999.00,15.28,19.25,19.46,-999.00,-999.00
FGOALS-g2,15.08,14.84,11.34,-999.00,-999.00,14.84,11.34,-999.00,18.75,20.18,-999.00,-999.00
FGOALS-g3,15.76,15.83,-999.00,16.49,-999.00,15.83,-999.00,16.60,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,15.31,15.65,-999.00,-999.00,-999.00,15.68,-999.00,-999.00,19.32,20.94,-999.00,-999.00
GISS-E2-1-G,15.72,15.81,-999.00,16.20,17.64,15.83,-999.00,16.38,16.34,19.56,-999.00,-999.00
GISS-E2-R,16.29,16.69,12.49,-999.00,-999.00,16.73,12.49,-999.00,18.93,19.31,-999.00,-999.00
HadCM3,15.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,15.52,16.14,-999.00,-999.00,-999.00,16.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,15.96,16.57,-999.00,-999.00,-999.00,16.60,-999.00,-999.00,19.84,21.27,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,16.59,-999.00,17.44,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.26,15.42,12.69,15.68,-999.00,15.45,12.69,15.86,18.04,18.54,-999.00,-999.00
IPSL-CM5A-LR,13.99,14.41,10.19,-999.00,-999.00,14.46,10.19,-999.00,17.89,19.61,-999.00,-999.00
IPSL-CM6A-LR,15.18,15.37,-999.00,15.75,18.20,15.41,-999.00,15.98,19.94,23.60,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,16.73,16.66,13.31,16.77,-999.00,16.71,13.30,17.00,19.86,20.38,-999.00,-999.00
MIROC-ESM,15.04,15.26,11.08,-999.00,-999.00,15.28,11.08,-999.00,19.04,20.79,-999.00,-999.00
MPI-ESM1-2-LR,15.62,15.79,12.44,14.82,-999.00,15.81,-999.00,15.60,19.66,19.97,-999.00,-999.00
MPI-ESM-P,15.70,15.94,12.22,-999.00,-999.00,15.97,12.22,-999.00,19.29,20.64,-999.00,-999.00
MRI-CGCM3,15.63,16.11,11.33,-999.00,-999.00,16.14,11.33,-999.00,18.74,19.66,-999.00,-999.00
MRI-ESM2-0,15.64,15.91,-999.00,-999.00,-999.00,15.92,-999.00,-999.00,19.01,20.16,-999.00,-999.00
NESM3,16.00,16.42,-999.00,17.02,-999.00,16.43,-999.00,17.22,21.05,21.95,-999.00,-999.00
NorESM1-F,16.51,16.61,-999.00,16.75,18.21,16.63,-999.00,16.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,16.47,16.65,-999.00,16.79,-999.00,16.68,-999.00,16.98,19.20,22.38,-999.00,-999.00
UofT-CCSM-4,14.90,15.19,10.07,-999.00,-999.00,15.20,10.07,-999.00,-999.00,-999.00,-999.00,-999.00
