MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.19,-999.00,-999.00, 1.23,-999.00,-999.00,-999.00, 1.14, 0.97, 1.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.12, 1.18, 1.19,-999.00, 1.00, 1.08, 1.04,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.28, 1.33, 1.33,-999.00,-999.00, 1.25, 1.26,-999.00, 1.03, 1.00,-999.00,-999.00
CESM2, 1.15, 1.17,-999.00, 1.19,-999.00, 1.05,-999.00, 1.04, 0.78, 0.85,-999.00,-999.00
CNRM-CM5, 1.59, 1.65, 1.59,-999.00,-999.00, 1.59, 1.55,-999.00, 1.40, 1.32,-999.00,-999.00
CNRM-CM6-1, 1.80,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00, 1.36, 1.27,-999.00,-999.00
COSMOS-ASO, 0.43,-999.00, 0.40,-999.00,-999.00,-999.00, 0.35,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.23, 1.18,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00, 0.95, 0.94,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.80, 0.81,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00, 0.64,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.54, 1.61,-999.00,-999.00,-999.00, 1.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.12, 1.18,-999.00,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.33, 1.40,-999.00, 1.46,-999.00, 1.25,-999.00, 1.25, 1.03, 1.06,-999.00,-999.00
FGOALS-g2, 2.09, 2.15, 1.97,-999.00,-999.00, 2.08, 1.92,-999.00, 1.90, 1.90,-999.00,-999.00
FGOALS-g3, 1.70, 1.64,-999.00, 1.68,-999.00, 1.55,-999.00, 1.56,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.87, 0.90,-999.00,-999.00,-999.00, 0.81,-999.00,-999.00, 0.74, 0.64,-999.00,-999.00
GISS-E2-1-G, 1.49, 1.57,-999.00, 1.66,-999.00, 1.45,-999.00, 1.48, 1.38, 0.96,-999.00,-999.00
GISS-E2-R, 1.89, 2.09, 1.97,-999.00,-999.00, 2.00, 1.90,-999.00, 1.48, 1.55,-999.00,-999.00
HadCM3, 1.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.24, 1.30,-999.00,-999.00,-999.00, 1.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.20, 1.24,-999.00,-999.00,-999.00, 1.13,-999.00,-999.00, 0.89, 0.85,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.09,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.96, 1.12, 0.80, 1.25,-999.00, 1.04, 0.74, 1.15, 0.82, 0.84,-999.00,-999.00
IPSL-CM5A-LR, 1.36, 1.43, 1.40,-999.00,-999.00, 1.35, 1.33,-999.00, 0.87, 0.81,-999.00,-999.00
IPSL-CM6A-LR, 1.59, 1.71,-999.00, 1.74,-999.00, 1.63,-999.00, 1.64, 1.07, 1.02,-999.00,-999.00
KCM1-2-2, 0.98, 0.97,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.72, 1.74, 1.39,-999.00,-999.00, 1.64, 1.32, 1.68, 1.48, 1.35,-999.00,-999.00
MIROC-ESM, 1.39, 1.45, 1.14,-999.00,-999.00, 1.36, 1.07,-999.00, 1.09, 1.01,-999.00,-999.00
MPI-ESM1-2-LR, 1.10, 1.18, 1.30,-999.00,-999.00, 1.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.18, 1.22, 1.31,-999.00,-999.00, 1.12, 1.23,-999.00, 0.83, 0.76,-999.00,-999.00
MRI-CGCM3, 1.57, 1.58, 1.84,-999.00,-999.00, 1.48, 1.78,-999.00, 1.37, 1.39,-999.00,-999.00
MRI-ESM2-0, 1.62, 1.72,-999.00,-999.00,-999.00, 1.61,-999.00,-999.00, 1.32, 1.31,-999.00,-999.00
NESM3, 1.05, 1.11,-999.00, 1.17,-999.00, 1.00,-999.00, 1.01, 0.72, 0.67,-999.00,-999.00
NorESM1-F, 1.16, 1.21,-999.00, 1.27,-999.00, 1.14,-999.00, 1.19,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.94, 1.01,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00, 0.72, 0.84,-999.00,-999.00
UofT-CCSM-4, 1.13, 1.22, 1.21,-999.00,-999.00, 1.15, 1.15,-999.00,-999.00,-999.00,-999.00,-999.00
