MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.05,-999.00,-999.00,17.45,-999.00,-999.00,-999.00,18.03,21.52,22.62,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,14.89,11.97,15.48,-999.00,15.19,11.95,16.13,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,15.58,15.50,10.89,-999.00,-999.00,15.77,10.87,-999.00,20.33,20.71,-999.00,-999.00
CESM2,16.57,16.79,-999.00,17.46,22.04,17.06,-999.00,18.08,21.74,23.87,-999.00,-999.00
CNRM-CM5,14.03,14.42,11.95,-999.00,-999.00,14.69,11.92,-999.00,18.42,19.57,-999.00,-999.00
CNRM-CM6-1,14.81,-999.00,-999.00,15.80,-999.00,-999.00,-999.00,16.40,21.05,22.30,-999.00,-999.00
COSMOS-ASO,15.54,-999.00, 9.77,-999.00,-999.00,-999.00, 9.74,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,16.59,16.98,-999.00,-999.00,-999.00,17.26,-999.00,-999.00,20.68,22.34,-999.00,-999.00
CSIRO-Mk3L-1-2,17.35,17.78,-999.00,-999.00,-999.00,18.04,-999.00,-999.00,20.36,-999.00,-999.00,-999.00
EC-EARTH-2-2,13.26,13.28,-999.00,-999.00,-999.00,13.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,13.78,14.05,-999.00,-999.00,-999.00,14.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,14.99,14.82,-999.00,15.19,-999.00,15.05,-999.00,15.76,21.00,20.90,-999.00,-999.00
FGOALS-g2,14.81,14.39, 9.18,-999.00,-999.00,14.64, 9.16,-999.00,19.72,21.14,-999.00,-999.00
FGOALS-g3,14.69,14.97,-999.00,15.72,-999.00,15.21,-999.00,16.27,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,18.20,18.24,-999.00,-999.00,-999.00,18.51,-999.00,-999.00,22.54,23.62,-999.00,-999.00
GISS-E2-1-G,15.40,15.06,-999.00,15.70,16.97,15.31,-999.00,16.27,16.46,20.07,-999.00,-999.00
GISS-E2-R,15.54,15.32,10.34,-999.00,-999.00,15.53,10.32,-999.00,19.57,19.93,-999.00,-999.00
HadCM3,14.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,14.88,15.40,-999.00,-999.00,-999.00,15.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,15.52,16.26,-999.00,-999.00,-999.00,16.55,-999.00,-999.00,21.20,22.78,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,15.13,-999.00,16.63,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,16.47,16.35, 9.97,16.94,-999.00,16.65, 9.94,17.66,20.19,20.94,-999.00,-999.00
IPSL-CM5A-LR,11.98,12.22, 6.04,-999.00,-999.00,12.51, 6.01,-999.00,17.43,19.61,-999.00,-999.00
IPSL-CM6A-LR,13.93,13.67,-999.00,14.35,17.87,13.94,-999.00,14.95,20.48,25.07,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,17.46,17.28,13.01,17.69,-999.00,17.57,12.98,18.31,22.02,22.87,-999.00,-999.00
MIROC-ESM,16.97,16.90,11.79,-999.00,-999.00,17.16,11.77,-999.00,22.36,24.66,-999.00,-999.00
MPI-ESM1-2-LR,15.34,15.01,11.38,14.30,-999.00,15.30,-999.00,14.24,21.32,21.47,-999.00,-999.00
MPI-ESM-P,15.37,15.39,10.84,-999.00,-999.00,15.64,10.82,-999.00,20.68,22.41,-999.00,-999.00
MRI-CGCM3,13.81,14.09,10.04,-999.00,-999.00,14.35,10.01,-999.00,17.94,18.80,-999.00,-999.00
MRI-ESM2-0,15.49,15.53,-999.00,-999.00,-999.00,15.78,-999.00,-999.00,19.27,20.56,-999.00,-999.00
NESM3,15.61,15.32,-999.00,15.89,-999.00,15.65,-999.00,16.58,23.30,24.38,-999.00,-999.00
NorESM1-F,17.49,17.41,-999.00,18.10,19.41,17.69,-999.00,18.76,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,17.08,17.26,-999.00,18.06,-999.00,17.52,-999.00,18.66,21.70,24.65,-999.00,-999.00
UofT-CCSM-4,15.07,15.06,10.70,-999.00,-999.00,15.33,10.68,-999.00,-999.00,-999.00,-999.00,-999.00
