MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,14.95,-999.00,-999.00,15.53,-999.00,-999.00,-999.00,15.16,19.98,21.01,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,11.92,11.09,12.66,-999.00,12.01,11.07,12.44,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,14.14,13.08,10.25,-999.00,-999.00,13.16,10.23,-999.00,18.79,19.06,-999.00,-999.00
CESM2,15.20,14.69,-999.00,15.70,20.00,14.79,-999.00,15.49,20.08,21.87,-999.00,-999.00
CNRM-CM5,12.32,12.01, 9.93,-999.00,-999.00,12.10, 9.91,-999.00,16.19,17.33,-999.00,-999.00
CNRM-CM6-1,13.30,-999.00,-999.00,13.15,-999.00,-999.00,-999.00,12.96,18.70,19.70,-999.00,-999.00
COSMOS-ASO,14.38,-999.00, 9.51,-999.00,-999.00,-999.00, 9.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,15.05,14.65,-999.00,-999.00,-999.00,14.75,-999.00,-999.00,18.61,19.81,-999.00,-999.00
CSIRO-Mk3L-1-2,15.94,15.87,-999.00,-999.00,-999.00,15.96,-999.00,-999.00,18.77,-999.00,-999.00,-999.00
EC-EARTH-2-2,12.07,11.18,-999.00,-999.00,-999.00,11.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,12.21,11.63,-999.00,-999.00,-999.00,11.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,13.64,12.79,-999.00,13.29,-999.00,12.82,-999.00,13.11,19.18,19.08,-999.00,-999.00
FGOALS-g2,12.99,11.81, 8.29,-999.00,-999.00,11.89, 8.26,-999.00,17.38,18.65,-999.00,-999.00
FGOALS-g3,13.49,12.96,-999.00,13.87,-999.00,13.04,-999.00,13.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,16.49,15.59,-999.00,-999.00,-999.00,15.67,-999.00,-999.00,20.31,21.18,-999.00,-999.00
GISS-E2-1-G,14.11,12.99,-999.00,13.63,15.66,13.07,-999.00,13.44,14.97,18.45,-999.00,-999.00
GISS-E2-R,14.56,13.77, 9.83,-999.00,-999.00,13.84, 9.81,-999.00,18.73,18.85,-999.00,-999.00
HadCM3,13.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,13.99,13.52,-999.00,-999.00,-999.00,13.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,14.52,14.31,-999.00,-999.00,-999.00,14.41,-999.00,-999.00,19.62,21.03,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,12.87,-999.00,13.77,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.71,14.52,10.06,15.42,-999.00,14.62,10.03,15.18,19.09,20.01,-999.00,-999.00
IPSL-CM5A-LR,10.24, 9.53, 5.31,-999.00,-999.00, 9.62, 5.28,-999.00,15.43,17.87,-999.00,-999.00
IPSL-CM6A-LR,12.07,10.96,-999.00,11.45,15.66,11.04,-999.00,11.26,17.97,22.04,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,15.33,14.52,11.63,15.31,-999.00,14.62,11.60,15.09,19.60,20.62,-999.00,-999.00
MIROC-ESM,15.21,14.38,11.69,-999.00,-999.00,14.46,11.67,-999.00,20.19,22.62,-999.00,-999.00
MPI-ESM1-2-LR,13.56,12.30,10.43,15.30,-999.00,12.38,-999.00,15.34,18.89,19.05,-999.00,-999.00
MPI-ESM-P,14.00,13.19,10.09,-999.00,-999.00,13.27,10.07,-999.00,18.41,20.17,-999.00,-999.00
MRI-CGCM3,12.76,12.15, 9.02,-999.00,-999.00,12.24, 9.00,-999.00,16.57,17.52,-999.00,-999.00
MRI-ESM2-0,13.95,13.20,-999.00,-999.00,-999.00,13.28,-999.00,-999.00,17.21,18.69,-999.00,-999.00
NESM3,13.26,11.72,-999.00,12.17,-999.00,11.82,-999.00,11.94,19.76,21.22,-999.00,-999.00
NorESM1-F,16.13,15.05,-999.00,15.99,17.84,15.14,-999.00,15.77,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.73,14.91,-999.00,15.77,-999.00,14.99,-999.00,15.58,19.75,22.54,-999.00,-999.00
UofT-CCSM-4,13.78,12.81, 9.87,-999.00,-999.00,12.89, 9.85,-999.00,-999.00,-999.00,-999.00,-999.00
