MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.91,-999.00,-999.00, 1.97,-999.00,-999.00,-999.00, 1.99, 2.17, 2.31,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.61, 1.27, 1.58,-999.00, 1.60, 1.23, 1.58,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.55, 1.53, 0.99,-999.00,-999.00, 1.53, 0.97,-999.00, 1.83, 1.88,-999.00,-999.00
CESM2, 1.45, 1.44,-999.00, 1.41,-999.00, 1.43,-999.00, 1.42, 1.73, 1.95,-999.00,-999.00
CNRM-CM5, 1.42, 1.46, 1.16,-999.00,-999.00, 1.45, 1.12,-999.00, 1.77, 1.85,-999.00,-999.00
CNRM-CM6-1, 1.56,-999.00,-999.00, 1.63,-999.00,-999.00,-999.00,-999.00, 1.98, 2.08,-999.00,-999.00
COSMOS-ASO, 1.24,-999.00, 0.72,-999.00,-999.00,-999.00, 0.69,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.52, 1.52,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00, 1.73, 1.86,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.42, 1.46,-999.00,-999.00,-999.00, 1.46,-999.00,-999.00, 1.66,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.29, 1.31,-999.00,-999.00,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.27, 1.32,-999.00,-999.00,-999.00, 1.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.21, 1.17,-999.00, 1.16,-999.00, 1.15,-999.00, 1.12, 1.62, 1.62,-999.00,-999.00
FGOALS-g2, 1.24, 1.20, 0.81,-999.00,-999.00, 1.20, 0.79,-999.00, 1.64, 1.76,-999.00,-999.00
FGOALS-g3, 1.29, 1.14,-999.00, 1.20,-999.00, 1.14,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.16, 1.16,-999.00,-999.00,-999.00, 1.13,-999.00,-999.00, 1.59, 1.72,-999.00,-999.00
GISS-E2-1-G, 1.46, 1.42,-999.00, 1.44,-999.00, 1.42,-999.00, 1.43, 1.49, 1.70,-999.00,-999.00
GISS-E2-R, 1.43, 1.45, 0.93,-999.00,-999.00, 1.45, 0.93,-999.00, 1.70, 1.63,-999.00,-999.00
HadCM3, 1.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.60, 1.68,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.65, 1.74,-999.00,-999.00,-999.00, 1.74,-999.00,-999.00, 1.93, 1.98,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.68,-999.00, 1.79,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.56, 1.55, 1.03, 1.57,-999.00, 1.55, 1.00, 1.60, 1.83, 1.90,-999.00,-999.00
IPSL-CM5A-LR, 1.46, 1.49, 0.93,-999.00,-999.00, 1.48, 0.90,-999.00, 1.71, 1.85,-999.00,-999.00
IPSL-CM6A-LR, 1.62, 1.57,-999.00, 1.55,-999.00, 1.56,-999.00, 1.55, 2.01, 2.48,-999.00,-999.00
KCM1-2-2, 0.50, 0.48,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.73, 1.71, 1.08,-999.00,-999.00, 1.73, 1.07, 1.74, 2.18, 2.24,-999.00,-999.00
MIROC-ESM, 1.67, 1.63, 0.82,-999.00,-999.00, 1.63, 0.80,-999.00, 2.17, 2.43,-999.00,-999.00
MPI-ESM1-2-LR, 1.78, 1.76, 1.23,-999.00,-999.00, 1.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.68, 1.68, 1.18,-999.00,-999.00, 1.68, 1.15,-999.00, 2.01, 2.18,-999.00,-999.00
MRI-CGCM3, 1.35, 1.39, 0.84,-999.00,-999.00, 1.38, 0.81,-999.00, 1.89, 2.00,-999.00,-999.00
MRI-ESM2-0, 1.68, 1.69,-999.00,-999.00,-999.00, 1.70,-999.00,-999.00, 2.04, 2.23,-999.00,-999.00
NESM3, 1.76, 1.76,-999.00, 1.71,-999.00, 1.76,-999.00, 1.72, 2.30, 2.44,-999.00,-999.00
NorESM1-F, 1.55, 1.52,-999.00, 1.53,-999.00, 1.52,-999.00, 1.54,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.49, 2.11,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00, 1.74, 2.04,-999.00,-999.00
UofT-CCSM-4, 1.46, 1.42, 0.73,-999.00,-999.00, 1.42, 0.71,-999.00,-999.00,-999.00,-999.00,-999.00
