MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.72,-999.00,-999.00, 1.71,-999.00,-999.00,-999.00, 1.88, 2.01, 2.19,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.67, 1.17, 1.58,-999.00, 1.69, 1.14, 1.69,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.61, 1.62, 0.98,-999.00,-999.00, 1.64, 0.96,-999.00, 1.94, 2.03,-999.00,-999.00
CESM2, 1.54, 1.55,-999.00, 1.47,-999.00, 1.58,-999.00, 1.57, 1.83, 2.05,-999.00,-999.00
CNRM-CM5, 1.41, 1.48, 1.05,-999.00,-999.00, 1.49, 1.01,-999.00, 1.79, 1.87,-999.00,-999.00
CNRM-CM6-1, 1.60,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00, 2.17, 2.42,-999.00,-999.00
COSMOS-ASO, 1.23,-999.00, 0.59,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.48, 1.47,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.76, 1.96,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.50, 1.54,-999.00,-999.00,-999.00, 1.57,-999.00,-999.00, 1.80,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.25, 1.29,-999.00,-999.00,-999.00, 1.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.34, 1.43,-999.00,-999.00,-999.00, 1.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.46, 1.48,-999.00, 1.46,-999.00, 1.45,-999.00, 1.47, 1.95, 1.94,-999.00,-999.00
FGOALS-g2, 1.34, 1.32, 0.82,-999.00,-999.00, 1.35, 0.80,-999.00, 1.85, 2.01,-999.00,-999.00
FGOALS-g3, 1.34, 1.31,-999.00, 1.35,-999.00, 1.31,-999.00, 1.39,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.34, 1.41,-999.00,-999.00,-999.00, 1.38,-999.00,-999.00, 1.81, 1.92,-999.00,-999.00
GISS-E2-1-G, 1.69, 1.72,-999.00, 1.70,-999.00, 1.73,-999.00, 1.77, 1.73, 1.94,-999.00,-999.00
GISS-E2-R, 1.67, 1.72, 1.01,-999.00,-999.00, 1.74, 1.01,-999.00, 1.98, 1.97,-999.00,-999.00
HadCM3, 1.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.51, 1.62,-999.00,-999.00,-999.00, 1.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.56, 1.67,-999.00,-999.00,-999.00, 1.70,-999.00,-999.00, 1.96, 2.07,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.74,-999.00, 1.88,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.41, 1.40, 0.82, 1.32,-999.00, 1.43, 0.79, 1.47, 1.71, 1.80,-999.00,-999.00
IPSL-CM5A-LR, 1.51, 1.59, 0.94,-999.00,-999.00, 1.61, 0.91,-999.00, 1.88, 2.03,-999.00,-999.00
IPSL-CM6A-LR, 1.68, 1.72,-999.00, 1.73,-999.00, 1.74,-999.00, 1.85, 2.19, 2.70,-999.00,-999.00
KCM1-2-2, 0.50, 0.48,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.74, 1.76, 1.00,-999.00,-999.00, 1.83, 0.98, 1.86, 2.43, 2.47,-999.00,-999.00
MIROC-ESM, 1.77, 1.83, 0.79,-999.00,-999.00, 1.86, 0.77,-999.00, 2.39, 2.62,-999.00,-999.00
MPI-ESM1-2-LR, 1.77, 1.79, 1.12,-999.00,-999.00, 1.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.71, 1.72, 1.04,-999.00,-999.00, 1.76, 1.01,-999.00, 2.16, 2.37,-999.00,-999.00
MRI-CGCM3, 1.47, 1.52, 0.86,-999.00,-999.00, 1.54, 0.83,-999.00, 1.98, 2.06,-999.00,-999.00
MRI-ESM2-0, 1.79, 1.85,-999.00,-999.00,-999.00, 1.88,-999.00,-999.00, 2.16, 2.33,-999.00,-999.00
NESM3, 1.83, 1.88,-999.00, 1.76,-999.00, 1.92,-999.00, 1.90, 2.48, 2.64,-999.00,-999.00
NorESM1-F, 1.55, 1.56,-999.00, 1.56,-999.00, 1.57,-999.00, 1.65,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.59, 2.46,-999.00,-999.00,-999.00, 2.43,-999.00,-999.00, 1.86, 2.26,-999.00,-999.00
UofT-CCSM-4, 1.53, 1.52, 0.71,-999.00,-999.00, 1.53, 0.69,-999.00,-999.00,-999.00,-999.00,-999.00
