MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,12.99,-999.00,-999.00,14.80,-999.00,-999.00,-999.00,14.88,11.88,11.95,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,14.88,16.74,16.53,-999.00,14.91,16.73,16.61,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,14.75,15.65,17.19,-999.00,-999.00,15.69,17.18,-999.00,13.82,13.59,-999.00,-999.00
CESM2,13.31,14.04,-999.00,15.71,13.42,14.05,-999.00,15.78,12.45,11.91,-999.00,-999.00
CNRM-CM5,16.03,16.39,19.33,-999.00,-999.00,16.43,19.32,-999.00,14.24,13.82,-999.00,-999.00
CNRM-CM6-1,14.68,-999.00,-999.00,16.62,-999.00,-999.00,-999.00,16.67,13.19,12.86,-999.00,-999.00
COSMOS-ASO,14.87,-999.00,16.59,-999.00,-999.00,-999.00,16.58,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,15.64,16.41,-999.00,-999.00,-999.00,16.41,-999.00,-999.00,14.84,14.44,-999.00,-999.00
CSIRO-Mk3L-1-2,14.84,15.46,-999.00,-999.00,-999.00,15.46,-999.00,-999.00,13.96,-999.00,-999.00,-999.00
EC-EARTH-2-2,13.99,14.19,-999.00,-999.00,-999.00,14.21,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,14.51,15.09,-999.00,-999.00,-999.00,15.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,15.25,16.06,-999.00,17.53,-999.00,16.11,-999.00,17.61,12.89,12.82,-999.00,-999.00
FGOALS-g2,15.65,16.55,17.47,-999.00,-999.00,16.59,17.47,-999.00,14.64,14.10,-999.00,-999.00
FGOALS-g3,15.60,16.86,-999.00,18.11,-999.00,16.90,-999.00,18.21,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,16.51,17.26,-999.00,-999.00,-999.00,17.31,-999.00,-999.00,14.59,14.47,-999.00,-999.00
GISS-E2-1-G,12.69,13.37,-999.00,14.85,11.01,13.41,-999.00,14.94,13.05,12.58,-999.00,-999.00
GISS-E2-R,14.77,15.32,14.09,-999.00,-999.00,15.33,14.08,-999.00,14.25,14.51,-999.00,-999.00
HadCM3,15.66,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,16.13,16.62,-999.00,-999.00,-999.00,16.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,15.84,16.27,-999.00,-999.00,-999.00,16.28,-999.00,-999.00,14.59,14.44,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,15.97,-999.00,17.35,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.23,15.98,18.18,17.30,-999.00,16.01,18.17,17.36,14.32,14.00,-999.00,-999.00
IPSL-CM5A-LR,14.62,15.30,15.62,-999.00,-999.00,15.33,15.61,-999.00,14.12,13.96,-999.00,-999.00
IPSL-CM6A-LR,15.40,16.47,-999.00,18.20,14.52,16.49,-999.00,18.24,13.58,13.02,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.39,15.13,17.33,16.59,-999.00,15.17,17.32,16.69,13.55,13.49,-999.00,-999.00
MIROC-ESM,13.79,14.82,15.87,-999.00,-999.00,14.85,15.85,-999.00,12.72,12.42,-999.00,-999.00
MPI-ESM1-2-LR,13.37,14.16,16.42, 2.63,-999.00,14.19,-999.00, 2.61,12.07,11.94,-999.00,-999.00
MPI-ESM-P,13.56,14.24,16.41,-999.00,-999.00,14.26,16.41,-999.00,12.10,11.55,-999.00,-999.00
MRI-CGCM3,14.74,15.57,18.64,-999.00,-999.00,15.61,18.63,-999.00,12.73,12.53,-999.00,-999.00
MRI-ESM2-0,13.57,14.09,-999.00,-999.00,-999.00,14.12,-999.00,-999.00,12.56,11.91,-999.00,-999.00
NESM3,14.38,14.93,-999.00,17.02,-999.00,14.97,-999.00,17.10,13.08,12.90,-999.00,-999.00
NorESM1-F,14.27,15.30,-999.00,16.93,14.37,15.33,-999.00,17.01,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,12.56,13.33,-999.00,14.88,-999.00,13.35,-999.00,14.95,11.93,11.61,-999.00,-999.00
UofT-CCSM-4,14.71,15.82,18.55,-999.00,-999.00,15.89,18.53,-999.00,-999.00,-999.00,-999.00,-999.00
