MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.76,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00, 0.70, 0.62, 0.57,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.88, 1.20, 0.95,-999.00, 0.86, 1.20, 0.81,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.18, 1.20, 1.24,-999.00,-999.00, 1.15, 1.24,-999.00, 0.92, 0.87,-999.00,-999.00
CESM2, 0.86, 0.82,-999.00, 0.88, 0.73, 0.77,-999.00, 0.74, 0.62, 0.46,-999.00,-999.00
CNRM-CM5, 0.98, 1.10, 1.00,-999.00,-999.00, 1.07, 1.01,-999.00, 0.81, 0.61,-999.00,-999.00
CNRM-CM6-1, 1.04,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00, 0.91, 0.63, 0.54,-999.00,-999.00
COSMOS-ASO, 0.97,-999.00, 0.98,-999.00,-999.00,-999.00, 0.98,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.80, 0.77,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.64, 0.75,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.66, 0.69,-999.00,-999.00,-999.00, 0.66,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.06, 1.11,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.07, 1.23,-999.00,-999.00,-999.00, 1.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.08, 1.07,-999.00, 1.22,-999.00, 0.99,-999.00, 1.04, 1.07, 0.78,-999.00,-999.00
FGOALS-g2, 0.84, 0.90, 0.96,-999.00,-999.00, 0.85, 0.96,-999.00, 0.89, 0.74,-999.00,-999.00
FGOALS-g3, 1.04, 1.02,-999.00, 1.07,-999.00, 0.97,-999.00, 0.91,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.09, 1.15,-999.00,-999.00,-999.00, 1.09,-999.00,-999.00, 0.74, 0.64,-999.00,-999.00
GISS-E2-1-G, 0.94, 0.95,-999.00, 1.15, 0.71, 0.88,-999.00, 0.96, 0.88, 0.75,-999.00,-999.00
GISS-E2-R, 0.85, 0.97, 1.22,-999.00,-999.00, 0.91, 1.22,-999.00, 0.75, 0.94,-999.00,-999.00
HadCM3, 0.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.89, 0.79,-999.00,-999.00,-999.00, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.83, 0.84,-999.00,-999.00,-999.00, 0.80,-999.00,-999.00, 0.60, 0.62,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.94,-999.00, 0.84,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.81, 0.83, 0.84, 0.84,-999.00, 0.79, 0.84, 0.73, 0.55, 0.53,-999.00,-999.00
IPSL-CM5A-LR, 0.87, 0.90, 0.89,-999.00,-999.00, 0.86, 0.90,-999.00, 0.76, 0.72,-999.00,-999.00
IPSL-CM6A-LR, 1.00, 1.12,-999.00, 1.12, 0.82, 1.06,-999.00, 0.98, 0.68, 0.56,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.89, 0.94, 0.96, 0.97,-999.00, 0.90, 0.97, 0.87, 0.76, 0.80,-999.00,-999.00
MIROC-ESM, 0.75, 0.70, 1.10,-999.00,-999.00, 0.68, 1.10,-999.00, 0.67, 0.58,-999.00,-999.00
MPI-ESM1-2-LR, 1.00, 0.92, 1.01, 0.35,-999.00, 0.88,-999.00, 0.37, 0.88, 0.71,-999.00,-999.00
MPI-ESM-P, 0.95, 0.91, 1.00,-999.00,-999.00, 0.87, 1.00,-999.00, 1.02, 0.85,-999.00,-999.00
MRI-CGCM3, 1.08, 1.08, 1.13,-999.00,-999.00, 1.03, 1.13,-999.00, 0.80, 0.66,-999.00,-999.00
MRI-ESM2-0, 0.99, 0.96,-999.00,-999.00,-999.00, 0.93,-999.00,-999.00, 0.73, 0.54,-999.00,-999.00
NESM3, 0.88, 0.93,-999.00, 0.98,-999.00, 0.91,-999.00, 0.88, 0.68, 0.72,-999.00,-999.00
NorESM1-F, 0.95, 0.95,-999.00, 1.19, 0.92, 0.90,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.84, 0.75,-999.00, 0.83,-999.00, 0.69,-999.00, 0.71, 0.52, 0.62,-999.00,-999.00
UofT-CCSM-4, 1.17, 1.18, 1.35,-999.00,-999.00, 1.15, 1.35,-999.00,-999.00,-999.00,-999.00,-999.00
