MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.68,-999.00,-999.00, 1.29,-999.00,-999.00,-999.00, 1.06, 1.22, 1.17,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.89, 1.51, 1.77,-999.00, 1.64, 1.32, 1.51,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.51, 2.39, 2.53,-999.00,-999.00, 2.10, 2.27,-999.00, 2.96, 3.01,-999.00,-999.00
CESM2, 1.63, 1.61,-999.00, 1.49,-999.00, 1.39,-999.00, 1.28, 1.74, 1.61,-999.00,-999.00
CNRM-CM5, 1.80, 1.74, 1.44,-999.00,-999.00, 1.51, 1.28,-999.00, 1.97, 2.07,-999.00,-999.00
CNRM-CM6-1, 1.07,-999.00,-999.00, 0.93,-999.00,-999.00,-999.00,-999.00, 1.04, 0.88,-999.00,-999.00
COSMOS-ASO, 1.69,-999.00, 1.87,-999.00,-999.00,-999.00, 1.66,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.55, 1.55,-999.00,-999.00,-999.00, 1.32,-999.00,-999.00, 1.00, 0.84,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.95, 0.84,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.92,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.59, 1.56,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.84, 1.71,-999.00,-999.00,-999.00, 1.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.24, 1.18,-999.00, 1.03,-999.00, 1.02,-999.00, 0.90, 1.36, 1.29,-999.00,-999.00
FGOALS-g2, 1.70, 1.74, 1.21,-999.00,-999.00, 1.53, 1.08,-999.00, 2.26, 1.30,-999.00,-999.00
FGOALS-g3, 1.97, 1.88,-999.00, 1.76,-999.00, 1.65,-999.00, 1.54,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.46, 1.36,-999.00,-999.00,-999.00, 1.16,-999.00,-999.00, 1.83, 1.75,-999.00,-999.00
GISS-E2-1-G, 1.36, 1.26,-999.00, 1.16,-999.00, 1.12,-999.00, 1.02, 1.31, 1.37,-999.00,-999.00
GISS-E2-R, 1.20, 1.08, 1.40,-999.00,-999.00, 0.97, 1.26,-999.00, 1.23, 1.38,-999.00,-999.00
HadCM3, 1.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.97, 0.96,-999.00,-999.00,-999.00, 0.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.09, 0.97,-999.00,-999.00,-999.00, 0.83,-999.00,-999.00, 1.03, 1.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.28,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.49, 2.43, 2.25, 2.16,-999.00, 2.23, 2.09, 1.95, 2.58, 2.59,-999.00,-999.00
IPSL-CM5A-LR, 0.64, 0.61, 0.71,-999.00,-999.00, 0.53, 0.63,-999.00, 0.61, 0.69,-999.00,-999.00
IPSL-CM6A-LR, 2.39, 2.22,-999.00, 1.81,-999.00, 1.97,-999.00, 1.60, 2.57, 2.43,-999.00,-999.00
KCM1-2-2, 2.70, 2.55,-999.00,-999.00,-999.00, 2.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.06, 1.98, 1.69,-999.00,-999.00, 1.75, 1.53, 1.71, 2.24, 2.24,-999.00,-999.00
MIROC-ESM, 2.51, 2.46, 2.29,-999.00,-999.00, 2.27, 2.09,-999.00, 2.28, 1.93,-999.00,-999.00
MPI-ESM1-2-LR, 1.03, 1.09, 0.96,-999.00,-999.00, 0.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.52, 1.57, 1.45,-999.00,-999.00, 1.34, 1.26,-999.00, 1.28, 1.26,-999.00,-999.00
MRI-CGCM3, 1.45, 1.48, 1.45,-999.00,-999.00, 1.26, 1.28,-999.00, 1.51, 1.43,-999.00,-999.00
MRI-ESM2-0, 1.13, 1.06,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 1.16, 1.19,-999.00,-999.00
NESM3, 2.31, 2.21,-999.00, 1.95,-999.00, 1.85,-999.00, 1.62, 2.82, 2.71,-999.00,-999.00
NorESM1-F, 2.40, 2.21,-999.00, 1.93,-999.00, 1.92,-999.00, 1.64,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.09, 2.05,-999.00,-999.00,-999.00, 1.78,-999.00,-999.00, 1.83, 1.75,-999.00,-999.00
UofT-CCSM-4, 2.89, 2.77, 3.13,-999.00,-999.00, 2.44, 2.87,-999.00,-999.00,-999.00,-999.00,-999.00
