MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.42,-999.00,-999.00, 1.04,-999.00,-999.00,-999.00, 0.87, 1.42, 1.34,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.37, 1.35, 1.15,-999.00, 1.22, 1.20, 1.01,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.12, 1.95, 2.31,-999.00,-999.00, 1.79, 2.13,-999.00, 2.55, 2.27,-999.00,-999.00
CESM2, 1.62, 1.51,-999.00, 1.28,-999.00, 1.35,-999.00, 1.13, 1.74, 1.57,-999.00,-999.00
CNRM-CM5, 1.53, 1.46, 1.28,-999.00,-999.00, 1.32, 1.17,-999.00, 1.82, 1.97,-999.00,-999.00
CNRM-CM6-1, 1.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00, 1.08, 1.08,-999.00,-999.00
COSMOS-ASO, 1.42,-999.00, 1.49,-999.00,-999.00,-999.00, 1.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.82, 1.75,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00, 1.32, 1.18,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.30, 1.08,-999.00,-999.00,-999.00, 0.94,-999.00,-999.00, 1.25,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.51, 1.38,-999.00,-999.00,-999.00, 1.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.04, 1.83,-999.00,-999.00,-999.00, 1.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.19, 1.08,-999.00, 0.95,-999.00, 0.92,-999.00, 0.80, 1.33, 1.34,-999.00,-999.00
FGOALS-g2, 1.45, 1.46, 1.01,-999.00,-999.00, 1.32, 0.92,-999.00, 1.92, 1.38,-999.00,-999.00
FGOALS-g3, 1.81, 1.73,-999.00, 1.62,-999.00, 1.56,-999.00, 1.45,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.38, 1.35,-999.00,-999.00,-999.00, 1.21,-999.00,-999.00, 1.89, 1.68,-999.00,-999.00
GISS-E2-1-G, 1.18, 1.04,-999.00, 0.97,-999.00, 0.97,-999.00, 0.89, 1.18, 1.38,-999.00,-999.00
GISS-E2-R, 0.71, 0.60, 1.10,-999.00,-999.00, 0.55, 1.03,-999.00, 0.76, 0.84,-999.00,-999.00
HadCM3, 1.66,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.00, 0.92,-999.00,-999.00,-999.00, 0.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.12, 0.89,-999.00,-999.00,-999.00, 0.78,-999.00,-999.00, 1.24, 1.22,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.21,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.60, 1.52, 1.65, 1.24,-999.00, 1.46, 1.61, 1.18, 1.71, 1.82,-999.00,-999.00
IPSL-CM5A-LR, 0.71, 0.56, 0.85,-999.00,-999.00, 0.50, 0.76,-999.00, 0.80, 0.92,-999.00,-999.00
IPSL-CM6A-LR, 1.76, 1.53,-999.00, 1.12,-999.00, 1.43,-999.00, 1.02, 2.32, 2.44,-999.00,-999.00
KCM1-2-2, 1.00, 0.93,-999.00,-999.00,-999.00, 0.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.55, 1.41, 1.19,-999.00,-999.00, 1.30, 1.11, 1.11, 1.63, 1.72,-999.00,-999.00
MIROC-ESM, 1.40, 1.31, 1.48,-999.00,-999.00, 1.25, 1.41,-999.00, 1.46, 1.39,-999.00,-999.00
MPI-ESM1-2-LR, 1.31, 1.16, 1.22,-999.00,-999.00, 0.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.44, 1.27, 1.33,-999.00,-999.00, 1.09, 1.17,-999.00, 1.59, 1.69,-999.00,-999.00
MRI-CGCM3, 1.61, 1.55, 1.60,-999.00,-999.00, 1.37, 1.43,-999.00, 1.73, 1.64,-999.00,-999.00
MRI-ESM2-0, 1.23, 1.08,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00, 1.42, 1.43,-999.00,-999.00
NESM3, 2.66, 2.44,-999.00, 1.99,-999.00, 2.08,-999.00, 1.71, 3.23, 3.14,-999.00,-999.00
NorESM1-F, 2.08, 1.87,-999.00, 1.55,-999.00, 1.66,-999.00, 1.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.75, 1.50,-999.00,-999.00,-999.00, 1.34,-999.00,-999.00, 1.69, 1.63,-999.00,-999.00
UofT-CCSM-4, 2.33, 2.17, 2.47,-999.00,-999.00, 2.02, 2.34,-999.00,-999.00,-999.00,-999.00,-999.00
