MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.54,-999.00,-999.00, 3.30,-999.00,-999.00,-999.00, 2.82, 2.57, 2.51,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.89, 2.95, 2.63,-999.00, 2.62, 2.73, 2.34,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.46, 3.55, 3.27,-999.00,-999.00, 3.29, 3.05,-999.00, 3.27, 2.87,-999.00,-999.00
CESM2, 3.99, 3.65,-999.00, 3.76,-999.00, 3.15,-999.00, 3.19, 4.59, 5.00,-999.00,-999.00
CNRM-CM5, 2.88, 2.75, 2.87,-999.00,-999.00, 2.56, 2.69,-999.00, 3.21, 3.27,-999.00,-999.00
CNRM-CM6-1, 4.03,-999.00,-999.00, 3.60,-999.00,-999.00,-999.00,-999.00, 4.45, 4.43,-999.00,-999.00
COSMOS-ASO, 2.94,-999.00, 2.22,-999.00,-999.00,-999.00, 2.09,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.82, 1.77,-999.00,-999.00,-999.00, 1.53,-999.00,-999.00, 2.02, 1.85,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.44, 3.44,-999.00,-999.00,-999.00, 3.07,-999.00,-999.00, 4.05,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.46, 2.48,-999.00,-999.00,-999.00, 2.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.30, 3.17,-999.00,-999.00,-999.00, 2.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.83, 1.72,-999.00, 1.62,-999.00, 1.52,-999.00, 1.43, 1.50, 1.53,-999.00,-999.00
FGOALS-g2, 2.24, 2.11, 2.26,-999.00,-999.00, 1.93, 2.18,-999.00, 2.88, 2.07,-999.00,-999.00
FGOALS-g3, 2.05, 1.74,-999.00, 1.75,-999.00, 1.64,-999.00, 1.60,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.40, 1.37,-999.00,-999.00,-999.00, 1.21,-999.00,-999.00, 2.03, 2.28,-999.00,-999.00
GISS-E2-1-G, 3.13, 2.93,-999.00, 2.84,-999.00, 2.84,-999.00, 2.76, 3.15, 3.57,-999.00,-999.00
GISS-E2-R, 3.33, 3.10, 2.91,-999.00,-999.00, 3.04, 2.82,-999.00, 3.19, 3.06,-999.00,-999.00
HadCM3, 3.36,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.60, 2.57,-999.00,-999.00,-999.00, 2.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.84, 2.97,-999.00,-999.00,-999.00, 2.70,-999.00,-999.00, 3.55, 4.10,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.80,-999.00, 3.48,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.99, 2.93, 2.81, 2.96,-999.00, 2.86, 2.78, 2.92, 3.26, 3.29,-999.00,-999.00
IPSL-CM5A-LR, 2.31, 2.18, 1.98,-999.00,-999.00, 1.88, 1.79,-999.00, 2.96, 3.49,-999.00,-999.00
IPSL-CM6A-LR, 4.01, 3.69,-999.00, 3.67,-999.00, 3.48,-999.00, 3.42, 4.56, 4.66,-999.00,-999.00
KCM1-2-2, 1.52, 1.29,-999.00,-999.00,-999.00, 1.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.17, 3.86, 3.72,-999.00,-999.00, 3.68, 3.63, 3.19, 4.29, 4.52,-999.00,-999.00
MIROC-ESM, 3.16, 3.03, 2.96,-999.00,-999.00, 2.74, 2.76,-999.00, 3.25, 2.84,-999.00,-999.00
MPI-ESM1-2-LR, 3.37, 3.14, 2.89,-999.00,-999.00, 2.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.92, 2.64, 2.60,-999.00,-999.00, 2.25, 2.31,-999.00, 3.63, 3.67,-999.00,-999.00
MRI-CGCM3, 3.63, 3.31, 2.49,-999.00,-999.00, 3.07, 2.38,-999.00, 4.82, 5.38,-999.00,-999.00
MRI-ESM2-0, 3.78, 3.47,-999.00,-999.00,-999.00, 3.04,-999.00,-999.00, 4.84, 5.00,-999.00,-999.00
NESM3, 4.50, 4.55,-999.00, 4.02,-999.00, 4.15,-999.00, 3.59, 6.43, 6.74,-999.00,-999.00
NorESM1-F, 2.69, 2.60,-999.00, 2.65,-999.00, 2.30,-999.00, 2.31,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.13, 4.77,-999.00,-999.00,-999.00, 4.13,-999.00,-999.00, 4.49, 4.32,-999.00,-999.00
UofT-CCSM-4, 3.41, 3.35, 3.03,-999.00,-999.00, 3.09, 2.80,-999.00,-999.00,-999.00,-999.00,-999.00
