MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.58,-999.00,-999.00, 1.18,-999.00,-999.00,-999.00, 0.67, 1.19, 1.09,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.49, 2.07, 2.24,-999.00, 1.98, 1.85, 1.48,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.85, 1.98, 2.28,-999.00,-999.00, 1.49, 2.03,-999.00, 1.62, 1.51,-999.00,-999.00
CESM2, 1.75, 1.60,-999.00, 1.37,-999.00, 1.18,-999.00, 0.80, 1.41, 1.74,-999.00,-999.00
CNRM-CM5, 2.72, 2.63, 2.36,-999.00,-999.00, 2.09, 2.10,-999.00, 2.68, 2.80,-999.00,-999.00
CNRM-CM6-1, 1.43,-999.00,-999.00, 1.17,-999.00,-999.00,-999.00,-999.00, 0.88, 0.92,-999.00,-999.00
COSMOS-ASO, 2.19,-999.00, 2.61,-999.00,-999.00,-999.00, 2.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.15, 1.02,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00, 0.78, 0.76,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.02, 1.66,-999.00,-999.00,-999.00, 1.28,-999.00,-999.00, 1.70,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.34, 2.34,-999.00,-999.00,-999.00, 1.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.52, 1.46,-999.00,-999.00,-999.00, 1.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.98, 0.93,-999.00, 0.89,-999.00, 0.77,-999.00, 0.64, 0.54, 0.53,-999.00,-999.00
FGOALS-g2, 1.52, 1.72, 2.73,-999.00,-999.00, 1.31, 2.52,-999.00, 1.61, 1.22,-999.00,-999.00
FGOALS-g3, 1.95, 1.59,-999.00, 1.41,-999.00, 1.29,-999.00, 0.93,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.64, 0.44,-999.00,-999.00,-999.00, 0.32,-999.00,-999.00, 0.64, 0.87,-999.00,-999.00
GISS-E2-1-G, 1.75, 1.96,-999.00, 1.71,-999.00, 1.57,-999.00, 1.17, 1.75, 1.95,-999.00,-999.00
GISS-E2-R, 3.38, 2.78, 3.87,-999.00,-999.00, 2.37, 3.68,-999.00, 2.11, 1.77,-999.00,-999.00
HadCM3, 2.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.04, 1.64,-999.00,-999.00,-999.00, 1.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.04, 1.83,-999.00,-999.00,-999.00, 1.37,-999.00,-999.00, 1.37, 1.48,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.87,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.10, 2.89, 5.68, 2.77,-999.00, 2.47, 5.57, 2.06, 2.47, 2.40,-999.00,-999.00
IPSL-CM5A-LR, 0.36, 0.31, 0.64,-999.00,-999.00, 0.25, 0.56,-999.00, 0.27, 0.24,-999.00,-999.00
IPSL-CM6A-LR, 3.22, 3.05,-999.00, 2.69,-999.00, 2.45,-999.00, 1.73, 1.36, 0.54,-999.00,-999.00
KCM1-2-2, 8.04, 7.24,-999.00,-999.00,-999.00, 7.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.59, 4.67, 4.16,-999.00,-999.00, 3.89, 3.93, 3.29, 4.02, 4.54,-999.00,-999.00
MIROC-ESM, 1.88, 2.29, 2.27,-999.00,-999.00, 1.75, 2.04,-999.00, 1.17, 1.13,-999.00,-999.00
MPI-ESM1-2-LR, 2.39, 2.68, 2.54,-999.00,-999.00, 2.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.99, 2.05, 2.35,-999.00,-999.00, 1.51, 2.04,-999.00, 1.36, 1.14,-999.00,-999.00
MRI-CGCM3, 3.32, 3.15, 3.37,-999.00,-999.00, 2.43, 3.03,-999.00, 2.04, 2.20,-999.00,-999.00
MRI-ESM2-0, 2.02, 1.50,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00, 1.64, 1.91,-999.00,-999.00
NESM3, 3.34, 4.09,-999.00, 4.33,-999.00, 3.09,-999.00, 2.72, 2.34, 1.89,-999.00,-999.00
NorESM1-F, 1.53, 1.56,-999.00, 1.08,-999.00, 1.16,-999.00, 0.64,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.94, 2.06,-999.00,-999.00,-999.00, 1.51,-999.00,-999.00, 0.95, 1.20,-999.00,-999.00
UofT-CCSM-4, 1.90, 1.93, 2.13,-999.00,-999.00, 1.46, 1.87,-999.00,-999.00,-999.00,-999.00,-999.00
