MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.59,-999.00,-999.00, 2.60,-999.00,-999.00,-999.00, 2.53, 2.80, 2.86,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.13, 1.50, 2.10,-999.00, 2.12, 1.46, 2.10,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.60, 2.51, 1.97,-999.00,-999.00, 2.50, 1.95,-999.00, 2.87, 2.90,-999.00,-999.00
CESM2, 2.47, 2.46,-999.00, 2.40,-999.00, 2.45,-999.00, 2.35, 2.69, 2.84,-999.00,-999.00
CNRM-CM5, 2.09, 2.13, 1.70,-999.00,-999.00, 2.12, 1.63,-999.00, 2.44, 2.53,-999.00,-999.00
CNRM-CM6-1, 2.37,-999.00,-999.00, 2.50,-999.00,-999.00,-999.00,-999.00, 2.83, 2.99,-999.00,-999.00
COSMOS-ASO, 1.78,-999.00, 1.27,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.96, 1.99,-999.00,-999.00,-999.00, 1.99,-999.00,-999.00, 2.24, 2.29,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.76, 1.75,-999.00,-999.00,-999.00, 1.74,-999.00,-999.00, 1.89,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.05, 2.12,-999.00,-999.00,-999.00, 2.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.00, 2.07,-999.00,-999.00,-999.00, 2.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.12, 2.09,-999.00, 2.06,-999.00, 2.03,-999.00, 1.94, 2.67, 2.68,-999.00,-999.00
FGOALS-g2, 1.83, 1.73, 1.26,-999.00,-999.00, 1.72, 1.23,-999.00, 2.36, 2.48,-999.00,-999.00
FGOALS-g3, 2.15, 1.88,-999.00, 1.91,-999.00, 1.87,-999.00, 1.87,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.55, 1.57,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00, 2.01, 2.13,-999.00,-999.00
GISS-E2-1-G, 2.54, 2.53,-999.00, 2.57,-999.00, 2.52,-999.00, 2.53, 2.60, 2.51,-999.00,-999.00
GISS-E2-R, 2.48, 2.53, 1.43,-999.00,-999.00, 2.53, 1.40,-999.00, 2.81, 2.58,-999.00,-999.00
HadCM3, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.10, 2.09,-999.00,-999.00,-999.00, 2.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.19, 2.20,-999.00,-999.00,-999.00, 2.18,-999.00,-999.00, 2.39, 2.43,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.45,-999.00, 2.50,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.31, 2.26, 1.15, 2.26,-999.00, 2.25, 1.12, 2.24, 2.58, 2.73,-999.00,-999.00
IPSL-CM5A-LR, 1.92, 1.98, 1.08,-999.00,-999.00, 1.94, 1.05,-999.00, 2.32, 2.57,-999.00,-999.00
IPSL-CM6A-LR, 2.38, 2.30,-999.00, 2.27,-999.00, 2.28,-999.00, 2.22, 2.89, 3.33,-999.00,-999.00
KCM1-2-2, 1.39, 1.42,-999.00,-999.00,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.14, 2.11, 1.38,-999.00,-999.00, 2.12, 1.36, 2.10, 2.48, 2.61,-999.00,-999.00
MIROC-ESM, 2.39, 2.39, 1.58,-999.00,-999.00, 2.38, 1.57,-999.00, 2.95, 3.16,-999.00,-999.00
MPI-ESM1-2-LR, 2.29, 2.29, 1.39,-999.00,-999.00, 2.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.23, 2.27, 1.27,-999.00,-999.00, 2.26, 1.22,-999.00, 2.64, 2.78,-999.00,-999.00
MRI-CGCM3, 2.45, 2.48, 1.61,-999.00,-999.00, 2.47, 1.58,-999.00, 2.96, 2.99,-999.00,-999.00
MRI-ESM2-0, 2.58, 2.62,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00, 2.85, 2.98,-999.00,-999.00
NESM3, 2.36, 2.43,-999.00, 2.36,-999.00, 2.43,-999.00, 2.36, 3.06, 3.20,-999.00,-999.00
NorESM1-F, 2.36, 2.30,-999.00, 2.28,-999.00, 2.29,-999.00, 2.24,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.39, 3.01,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00, 2.55, 2.86,-999.00,-999.00
UofT-CCSM-4, 2.44, 2.39, 1.53,-999.00,-999.00, 2.38, 1.51,-999.00,-999.00,-999.00,-999.00,-999.00
