MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.27,-999.00,-999.00, 2.21,-999.00,-999.00,-999.00, 2.10, 2.45, 2.52,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.69, 1.27, 1.65,-999.00, 1.68, 1.23, 1.62,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.18, 2.04, 1.64,-999.00,-999.00, 2.03, 1.62,-999.00, 2.46, 2.45,-999.00,-999.00
CESM2, 1.97, 1.92,-999.00, 1.82,-999.00, 1.90,-999.00, 1.79, 2.18, 2.33,-999.00,-999.00
CNRM-CM5, 1.80, 1.77, 1.45,-999.00,-999.00, 1.76, 1.39,-999.00, 2.10, 2.25,-999.00,-999.00
CNRM-CM6-1, 1.99,-999.00,-999.00, 1.91,-999.00,-999.00,-999.00,-999.00, 2.40, 2.51,-999.00,-999.00
COSMOS-ASO, 1.52,-999.00, 1.07,-999.00,-999.00,-999.00, 1.04,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.71, 1.68,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00, 2.06, 2.11,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.45, 1.48,-999.00,-999.00,-999.00, 1.46,-999.00,-999.00, 1.59,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.67, 1.61,-999.00,-999.00,-999.00, 1.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.60, 1.59,-999.00,-999.00,-999.00, 1.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.86, 1.82,-999.00, 1.71,-999.00, 1.75,-999.00, 1.64, 2.46, 2.40,-999.00,-999.00
FGOALS-g2, 1.58, 1.48, 1.13,-999.00,-999.00, 1.47, 1.11,-999.00, 2.05, 2.15,-999.00,-999.00
FGOALS-g3, 1.84, 1.63,-999.00, 1.62,-999.00, 1.62,-999.00, 1.60,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.44, 1.37,-999.00,-999.00,-999.00, 1.32,-999.00,-999.00, 1.86, 2.06,-999.00,-999.00
GISS-E2-1-G, 2.00, 1.93,-999.00, 1.86,-999.00, 1.91,-999.00, 1.84, 2.03, 1.98,-999.00,-999.00
GISS-E2-R, 1.87, 1.89, 1.25,-999.00,-999.00, 1.88, 1.22,-999.00, 2.19, 1.99,-999.00,-999.00
HadCM3, 1.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.87, 1.80,-999.00,-999.00,-999.00, 1.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.96, 2.00,-999.00,-999.00,-999.00, 1.98,-999.00,-999.00, 2.13, 2.18,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.86,-999.00, 1.86,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.06, 1.95, 1.12, 1.96,-999.00, 1.94, 1.09, 1.92, 2.45, 2.60,-999.00,-999.00
IPSL-CM5A-LR, 1.78, 1.76, 1.04,-999.00,-999.00, 1.71, 1.00,-999.00, 1.81, 2.11,-999.00,-999.00
IPSL-CM6A-LR, 2.05, 1.96,-999.00, 1.90,-999.00, 1.92,-999.00, 1.85, 2.49, 2.74,-999.00,-999.00
KCM1-2-2, 1.39, 1.42,-999.00,-999.00,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.67, 1.60, 1.22,-999.00,-999.00, 1.60, 1.20, 1.60, 1.89, 2.06,-999.00,-999.00
MIROC-ESM, 1.97, 1.95, 1.45,-999.00,-999.00, 1.94, 1.43,-999.00, 2.29, 2.53,-999.00,-999.00
MPI-ESM1-2-LR, 1.93, 1.85, 1.17,-999.00,-999.00, 1.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.95, 1.93, 1.07,-999.00,-999.00, 1.92, 1.02,-999.00, 2.32, 2.37,-999.00,-999.00
MRI-CGCM3, 2.03, 2.05, 1.28,-999.00,-999.00, 2.03, 1.25,-999.00, 2.49, 2.54,-999.00,-999.00
MRI-ESM2-0, 2.10, 2.07,-999.00,-999.00,-999.00, 2.07,-999.00,-999.00, 2.42, 2.61,-999.00,-999.00
NESM3, 1.92, 1.93,-999.00, 1.88,-999.00, 1.91,-999.00, 1.85, 2.44, 2.52,-999.00,-999.00
NorESM1-F, 1.97, 1.89,-999.00, 1.85,-999.00, 1.88,-999.00, 1.83,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.98, 2.65,-999.00,-999.00,-999.00, 2.63,-999.00,-999.00, 2.08, 2.34,-999.00,-999.00
UofT-CCSM-4, 2.05, 1.94, 1.30,-999.00,-999.00, 1.93, 1.27,-999.00,-999.00,-999.00,-999.00,-999.00
