MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.95,-999.00,-999.00, 4.71,-999.00,-999.00,-999.00, 6.28, 9.62,11.42,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.68,-15.89, 1.38,-999.00, 3.51,-15.96, 3.82,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.30, 4.26,-15.87,-999.00,-999.00, 5.07,-15.95,-999.00, 8.78, 8.72,-999.00,-999.00
CESM2, 5.21, 5.38,-999.00, 4.59, 9.25, 6.03,-999.00, 6.45, 8.19,10.41,-999.00,-999.00
CNRM-CM5, 2.87, 3.88,-15.15,-999.00,-999.00, 4.76,-15.28,-999.00, 7.81, 8.76,-999.00,-999.00
CNRM-CM6-1, 3.92,-999.00,-999.00, 4.29,-999.00,-999.00,-999.00, 6.63,10.01,10.75,-999.00,-999.00
COSMOS-ASO, 0.72,-999.00,-19.71,-999.00,-999.00,-999.00,-19.76,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.83, 1.57,-999.00,-999.00,-999.00, 2.50,-999.00,-999.00, 6.16, 8.29,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.73, 3.96,-999.00,-999.00,-999.00, 4.81,-999.00,-999.00, 7.35,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.25, 2.62,-999.00,-999.00,-999.00, 3.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.20, 1.74,-999.00,-999.00,-999.00, 2.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.55, 0.69,-999.00,-0.69,-999.00, 1.46,-999.00, 1.80, 7.88, 8.13,-999.00,-999.00
FGOALS-g2,-2.64,-3.11,-21.99,-999.00,-999.00,-1.92,-22.06,-999.00, 4.15, 5.27,-999.00,-999.00
FGOALS-g3,-2.00,-1.91,-999.00,-2.56,-999.00,-0.76,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.08, 3.53,-999.00,-999.00,-999.00, 4.53,-999.00,-999.00, 8.97, 9.22,-999.00,-999.00
GISS-E2-1-G, 1.18, 1.43,-999.00, 1.30, 1.91, 2.28,-999.00, 3.55, 2.72, 3.97,-999.00,-999.00
GISS-E2-R, 1.35, 2.03,-21.25,-999.00,-999.00, 3.00,-21.33,-999.00, 6.35, 6.53,-999.00,-999.00
HadCM3,-0.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.05, 3.16,-999.00,-999.00,-999.00, 4.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.32, 4.32,-999.00,-999.00,-999.00, 5.18,-999.00,-999.00, 9.79,12.03,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.36,-999.00, 7.36,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.73, 2.85,-23.59, 1.95,-999.00, 3.64,-23.67, 4.12, 6.01, 7.08,-999.00,-999.00
IPSL-CM5A-LR,-0.75, 0.12,-21.96,-999.00,-999.00, 1.05,-22.02,-999.00, 6.07, 8.23,-999.00,-999.00
IPSL-CM6A-LR, 3.24, 3.24,-999.00, 2.98, 7.05, 4.15,-999.00, 5.64,11.17,16.55,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.31, 4.17,-18.01, 2.84,-999.00, 5.05,-18.11, 5.37, 9.31,10.04,-999.00,-999.00
MIROC-ESM, 5.69, 5.73,-19.99,-999.00,-999.00, 6.43,-20.06,-999.00,11.17,12.78,-999.00,-999.00
MPI-ESM1-2-LR, 2.30, 2.64,-17.37,-2.41,-999.00, 3.44,-999.00,-2.84, 9.07, 9.18,-999.00,-999.00
MPI-ESM-P, 2.84, 3.52,-19.13,-999.00,-999.00, 4.28,-19.20,-999.00, 8.19, 9.81,-999.00,-999.00
MRI-CGCM3, 0.50, 1.15,-17.95,-999.00,-999.00, 1.96,-18.04,-999.00, 6.12, 6.91,-999.00,-999.00
MRI-ESM2-0, 4.17, 4.81,-999.00,-999.00,-999.00, 5.51,-999.00,-999.00, 7.09, 8.26,-999.00,-999.00
NESM3, 1.69, 2.52,-999.00, 0.73,-999.00, 3.38,-999.00, 3.30,11.01,11.82,-999.00,-999.00
NorESM1-F, 5.26, 5.25,-999.00, 4.37, 7.93, 5.96,-999.00, 6.53,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.05, 5.15,-999.00, 4.05,-999.00, 5.79,-999.00, 5.93, 8.74,10.75,-999.00,-999.00
UofT-CCSM-4, 1.63, 2.25,-19.62,-999.00,-999.00, 3.12,-19.69,-999.00,-999.00,-999.00,-999.00,-999.00
