MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.41,-999.00,-999.00, 3.25,-999.00,-999.00,-999.00, 2.83, 7.94, 9.52,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-0.89,-17.30,-0.40,-999.00,-0.73,-17.34,-0.68,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.83, 1.40,-17.20,-999.00,-999.00, 1.53,-17.24,-999.00, 7.54, 7.85,-999.00,-999.00
CESM2, 3.29, 2.52,-999.00, 2.96, 8.30, 2.63,-999.00, 2.74, 6.21, 8.47,-999.00,-999.00
CNRM-CM5,-1.26,-1.33,-19.00,-999.00,-999.00,-1.20,-19.05,-999.00, 4.33, 4.97,-999.00,-999.00
CNRM-CM6-1, 0.82,-999.00,-999.00, 0.61,-999.00,-999.00,-999.00, 0.36, 6.62, 7.26,-999.00,-999.00
COSMOS-ASO,-1.16,-999.00,-20.99,-999.00,-999.00,-999.00,-21.03,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-1.74,-2.18,-999.00,-999.00,-999.00,-2.03,-999.00,-999.00, 2.47, 4.79,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.88, 0.77,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00, 4.67,-999.00,-999.00,-999.00
EC-EARTH-2-2,-0.16,-0.43,-999.00,-999.00,-999.00,-0.34,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-3.00,-2.73,-999.00,-999.00,-999.00,-2.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-0.82,-1.90,-999.00,-0.86,-999.00,-1.58,-999.00,-1.14, 6.57, 6.72,-999.00,-999.00
FGOALS-g2,-3.69,-5.22,-22.70,-999.00,-999.00,-5.07,-22.74,-999.00, 1.33, 2.12,-999.00,-999.00
FGOALS-g3,-2.62,-3.70,-999.00,-2.07,-999.00,-3.55,-999.00,-2.37,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.07, 0.14,-999.00,-999.00,-999.00, 0.28,-999.00,-999.00, 5.12, 5.11,-999.00,-999.00
GISS-E2-1-G,-2.03,-2.78,-999.00,-2.18,-0.73,-2.65,-999.00,-2.42,-1.03, 0.40,-999.00,-999.00
GISS-E2-R,-1.31,-1.31,-19.94,-999.00,-999.00,-1.19,-19.98,-999.00, 3.06, 3.49,-999.00,-999.00
HadCM3,-0.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.17, 1.41,-999.00,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.19, 3.28,-999.00,-999.00,-999.00, 3.41,-999.00,-999.00, 8.86,10.27,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.47,-999.00, 1.27,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.37,-0.48,-20.69,-0.21,-999.00,-0.35,-20.73,-0.46, 4.40, 5.86,-999.00,-999.00
IPSL-CM5A-LR,-2.49,-2.96,-21.65,-999.00,-999.00,-2.82,-21.70,-999.00, 3.59, 5.32,-999.00,-999.00
IPSL-CM6A-LR, 0.32,-0.85,-999.00,-0.17, 3.56,-0.74,-999.00,-0.42, 7.03,12.39,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.53, 0.44,-16.86, 0.84,-999.00, 0.57,-16.90, 0.56, 6.66, 7.62,-999.00,-999.00
MIROC-ESM, 3.11, 2.30,-18.27,-999.00,-999.00, 2.43,-18.31,-999.00, 9.30,10.44,-999.00,-999.00
MPI-ESM1-2-LR, 0.24,-0.71,-18.47, 0.43,-999.00,-0.56,-999.00, 0.47, 6.91, 7.55,-999.00,-999.00
MPI-ESM-P, 1.70, 0.99,-20.62,-999.00,-999.00, 1.11,-20.65,-999.00, 6.39, 7.56,-999.00,-999.00
MRI-CGCM3,-1.12,-1.32,-18.30,-999.00,-999.00,-1.20,-18.35,-999.00, 3.96, 4.54,-999.00,-999.00
MRI-ESM2-0, 2.32, 1.88,-999.00,-999.00,-999.00, 1.99,-999.00,-999.00, 4.17, 5.83,-999.00,-999.00
NESM3,-2.26,-2.78,-999.00,-3.34,-999.00,-2.61,-999.00,-3.66, 6.99, 8.35,-999.00,-999.00
NorESM1-F, 4.52, 3.58,-999.00, 4.00, 6.31, 3.69,-999.00, 3.78,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.75, 2.12,-999.00, 2.68,-999.00, 2.23,-999.00, 2.47, 6.47, 8.87,-999.00,-999.00
UofT-CCSM-4,-2.25,-2.79,-19.64,-999.00,-999.00,-2.67,-19.69,-999.00,-999.00,-999.00,-999.00,-999.00
