MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.70,-999.00,-999.00, 4.98,-999.00,-999.00,-999.00, 5.02, 5.63, 6.05,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.88, 4.79, 4.73,-999.00, 4.78, 4.63, 4.59,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.31, 5.20, 5.07,-999.00,-999.00, 5.12, 4.96,-999.00, 5.36, 5.36,-999.00,-999.00
CESM2, 5.07, 5.04,-999.00, 5.00,-999.00, 4.98,-999.00, 4.93, 4.51, 4.26,-999.00,-999.00
CNRM-CM5, 4.87, 4.92, 4.76,-999.00,-999.00, 4.88, 4.68,-999.00, 4.74, 4.77,-999.00,-999.00
CNRM-CM6-1, 3.88,-999.00,-999.00, 4.20,-999.00,-999.00,-999.00,-999.00, 3.95, 4.04,-999.00,-999.00
COSMOS-ASO, 4.40,-999.00, 4.38,-999.00,-999.00,-999.00, 4.26,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 6.13, 5.67,-999.00,-999.00,-999.00, 5.60,-999.00,-999.00, 6.45, 6.80,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.89, 4.91,-999.00,-999.00,-999.00, 4.82,-999.00,-999.00, 4.58,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.73, 4.68,-999.00,-999.00,-999.00, 4.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.87, 4.93,-999.00,-999.00,-999.00, 4.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.98, 4.84,-999.00, 4.85,-999.00, 4.71,-999.00, 4.70, 5.27, 5.19,-999.00,-999.00
FGOALS-g2, 3.58, 3.71, 3.93,-999.00,-999.00, 3.57, 3.70,-999.00, 4.01, 4.16,-999.00,-999.00
FGOALS-g3, 4.22, 4.18,-999.00, 4.16,-999.00, 4.04,-999.00, 4.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.59, 5.42,-999.00,-999.00,-999.00, 5.22,-999.00,-999.00, 5.75, 5.62,-999.00,-999.00
GISS-E2-1-G, 5.47, 5.44,-999.00, 5.38,-999.00, 5.29,-999.00, 5.22, 5.56, 5.78,-999.00,-999.00
GISS-E2-R, 5.34, 4.76, 4.70,-999.00,-999.00, 4.76, 4.64,-999.00, 5.20, 4.98,-999.00,-999.00
HadCM3, 3.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.64, 4.87,-999.00,-999.00,-999.00, 4.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.70, 5.17,-999.00,-999.00,-999.00, 5.03,-999.00,-999.00, 5.42, 5.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.25,-999.00, 5.23,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 5.45, 5.24, 5.57, 5.06,-999.00, 5.20, 5.48, 5.02, 5.85, 5.92,-999.00,-999.00
IPSL-CM5A-LR, 5.03, 4.91, 4.38,-999.00,-999.00, 4.89, 4.31,-999.00, 5.74, 5.48,-999.00,-999.00
IPSL-CM6A-LR, 4.95, 4.87,-999.00, 4.89,-999.00, 4.75,-999.00, 4.72, 5.25, 5.31,-999.00,-999.00
KCM1-2-2, 2.15, 2.14,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.52, 4.87, 4.41,-999.00,-999.00, 4.87, 4.37, 4.80, 3.96, 4.00,-999.00,-999.00
MIROC-ESM, 4.39, 4.17, 3.70,-999.00,-999.00, 4.14, 3.63,-999.00, 4.13, 3.82,-999.00,-999.00
MPI-ESM1-2-LR, 5.55, 5.52, 5.15,-999.00,-999.00, 5.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 6.54, 6.43, 5.77,-999.00,-999.00, 6.30, 5.58,-999.00, 7.29, 7.22,-999.00,-999.00
MRI-CGCM3, 4.88, 4.85, 4.91,-999.00,-999.00, 4.61, 4.61,-999.00, 5.35, 5.50,-999.00,-999.00
MRI-ESM2-0, 5.14, 5.27,-999.00,-999.00,-999.00, 5.13,-999.00,-999.00, 6.00, 6.06,-999.00,-999.00
NESM3, 4.65, 4.49,-999.00, 4.30,-999.00, 4.30,-999.00, 4.14, 5.19, 5.25,-999.00,-999.00
NorESM1-F, 4.95, 4.87,-999.00, 4.61,-999.00, 4.79,-999.00, 4.46,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.25, 4.22,-999.00,-999.00,-999.00, 4.15,-999.00,-999.00, 5.01, 4.47,-999.00,-999.00
UofT-CCSM-4, 5.76, 5.60, 5.48,-999.00,-999.00, 5.54, 5.39,-999.00,-999.00,-999.00,-999.00,-999.00
