MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.00,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00, 2.09, 2.87, 3.22,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.91, 1.87, 2.20,-999.00, 1.86, 1.84, 2.11,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.90, 1.85, 1.69,-999.00,-999.00, 1.80, 1.67,-999.00, 2.29, 2.21,-999.00,-999.00
CESM2, 1.88, 1.79,-999.00, 1.78,-999.00, 1.76,-999.00, 1.74, 2.80, 2.88,-999.00,-999.00
CNRM-CM5, 1.69, 1.59, 1.57,-999.00,-999.00, 1.57, 1.56,-999.00, 2.01, 2.28,-999.00,-999.00
CNRM-CM6-1, 1.85,-999.00,-999.00, 2.27,-999.00,-999.00,-999.00,-999.00, 2.45, 2.64,-999.00,-999.00
COSMOS-ASO, 1.33,-999.00, 1.21,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.62, 2.59,-999.00,-999.00,-999.00, 2.56,-999.00,-999.00, 3.06, 3.55,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.59, 2.25,-999.00,-999.00,-999.00, 2.22,-999.00,-999.00, 3.40,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.21, 1.29,-999.00,-999.00,-999.00, 1.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.59, 1.55,-999.00,-999.00,-999.00, 1.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.86, 1.74,-999.00, 1.74,-999.00, 1.67,-999.00, 1.67, 2.49, 2.50,-999.00,-999.00
FGOALS-g2, 1.43, 1.31, 2.01,-999.00,-999.00, 1.27, 1.94,-999.00, 1.53, 1.81,-999.00,-999.00
FGOALS-g3, 1.65, 1.63,-999.00, 1.75,-999.00, 1.57,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.70, 1.59,-999.00,-999.00,-999.00, 1.53,-999.00,-999.00, 1.86, 2.15,-999.00,-999.00
GISS-E2-1-G, 2.26, 2.13,-999.00, 2.21,-999.00, 2.09,-999.00, 2.15, 2.33, 3.06,-999.00,-999.00
GISS-E2-R, 1.54, 1.52, 1.63,-999.00,-999.00, 1.50, 1.63,-999.00, 2.09, 2.17,-999.00,-999.00
HadCM3, 1.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.48, 2.46,-999.00,-999.00,-999.00, 2.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.37, 2.36,-999.00,-999.00,-999.00, 2.32,-999.00,-999.00, 3.14, 3.35,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.87,-999.00, 2.12,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.32, 1.08, 1.91, 1.07,-999.00, 1.07, 1.90, 1.04, 1.64, 1.61,-999.00,-999.00
IPSL-CM5A-LR, 1.45, 1.51, 1.62,-999.00,-999.00, 1.50, 1.61,-999.00, 2.01, 2.32,-999.00,-999.00
IPSL-CM6A-LR, 1.17, 1.26,-999.00, 1.56,-999.00, 1.21,-999.00, 1.48, 1.68, 1.79,-999.00,-999.00
KCM1-2-2, 0.80, 0.77,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.18, 1.17, 1.18,-999.00,-999.00, 1.15, 1.18, 1.06, 1.26, 1.25,-999.00,-999.00
MIROC-ESM, 1.33, 1.26, 1.42,-999.00,-999.00, 1.24, 1.41,-999.00, 1.47, 1.45,-999.00,-999.00
MPI-ESM1-2-LR, 2.24, 2.22, 2.36,-999.00,-999.00, 2.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.01, 2.00, 1.61,-999.00,-999.00, 1.94, 1.56,-999.00, 2.36, 2.96,-999.00,-999.00
MRI-CGCM3, 2.61, 2.39, 2.44,-999.00,-999.00, 2.24, 2.31,-999.00, 3.12, 3.23,-999.00,-999.00
MRI-ESM2-0, 2.21, 1.93,-999.00,-999.00,-999.00, 1.87,-999.00,-999.00, 2.82, 3.05,-999.00,-999.00
NESM3, 2.82, 2.76,-999.00, 2.82,-999.00, 2.64,-999.00, 2.70, 3.68, 3.91,-999.00,-999.00
NorESM1-F, 2.38, 2.25,-999.00, 2.24,-999.00, 2.21,-999.00, 2.19,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.09, 1.87,-999.00,-999.00,-999.00, 1.85,-999.00,-999.00, 2.61, 2.84,-999.00,-999.00
UofT-CCSM-4, 1.56, 1.53, 1.14,-999.00,-999.00, 1.49, 1.13,-999.00,-999.00,-999.00,-999.00,-999.00
