MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.40,-999.00,-999.00,26.52,-999.00,-999.00,-999.00,26.54,30.04,30.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.84,22.71,23.97,-999.00,23.87,22.70,24.02,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,25.87,25.57,23.85,-999.00,-999.00,25.61,23.85,-999.00,28.85,29.19,-999.00,-999.00
CESM2,25.82,25.55,-999.00,25.61,29.16,25.59,-999.00,25.66,29.62,30.99,-999.00,-999.00
CNRM-CM5,24.67,24.74,23.28,-999.00,-999.00,24.79,23.27,-999.00,27.73,28.68,-999.00,-999.00
CNRM-CM6-1,24.20,-999.00,-999.00,24.38,-999.00,-999.00,-999.00,24.44,28.31,29.25,-999.00,-999.00
COSMOS-ASO,24.57,-999.00,22.02,-999.00,-999.00,-999.00,22.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.60,24.41,-999.00,-999.00,-999.00,24.44,-999.00,-999.00,27.83,29.37,-999.00,-999.00
CSIRO-Mk3L-1-2,26.19,26.04,-999.00,-999.00,-999.00,26.07,-999.00,-999.00,28.64,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.35,23.09,-999.00,-999.00,-999.00,23.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,24.35,24.15,-999.00,-999.00,-999.00,24.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,24.53,24.17,-999.00,24.17,-999.00,24.19,-999.00,24.22,28.46,28.43,-999.00,-999.00
FGOALS-g2,24.65,23.88,21.79,-999.00,-999.00,23.92,21.78,-999.00,27.39,29.04,-999.00,-999.00
FGOALS-g3,25.61,25.08,-999.00,25.32,-999.00,25.11,-999.00,25.36,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.26,24.99,-999.00,-999.00,-999.00,25.03,-999.00,-999.00,28.18,29.15,-999.00,-999.00
GISS-E2-1-G,25.65,25.28,-999.00,25.42,26.52,25.32,-999.00,25.48,26.24,29.01,-999.00,-999.00
GISS-E2-R,25.95,25.48,23.08,-999.00,-999.00,25.50,23.07,-999.00,28.49,28.53,-999.00,-999.00
HadCM3,25.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.69,24.69,-999.00,-999.00,-999.00,24.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,24.94,25.05,-999.00,-999.00,-999.00,25.10,-999.00,-999.00,28.79,29.85,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.51,-999.00,25.95,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,24.27,23.94,22.95,24.14,-999.00,23.97,22.94,24.19,26.67,26.99,-999.00,-999.00
IPSL-CM5A-LR,24.08,23.78,21.08,-999.00,-999.00,23.83,21.07,-999.00,28.10,29.62,-999.00,-999.00
IPSL-CM6A-LR,24.79,24.35,-999.00,24.49,26.92,24.39,-999.00,24.54,29.35,32.20,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.35,24.05,22.26,24.02,-999.00,24.08,22.25,24.06,27.46,27.84,-999.00,-999.00
MIROC-ESM,23.67,23.28,21.68,-999.00,-999.00,23.31,21.67,-999.00,27.28,28.89,-999.00,-999.00
MPI-ESM1-2-LR,25.42,24.93,23.68,25.55,-999.00,24.97,-999.00,25.54,29.41,29.47,-999.00,-999.00
MPI-ESM-P,25.37,25.02,23.34,-999.00,-999.00,25.05,23.33,-999.00,29.34,30.56,-999.00,-999.00
MRI-CGCM3,25.55,25.38,23.08,-999.00,-999.00,25.42,23.08,-999.00,28.15,28.81,-999.00,-999.00
MRI-ESM2-0,26.13,25.77,-999.00,-999.00,-999.00,25.81,-999.00,-999.00,29.07,29.77,-999.00,-999.00
NESM3,25.89,25.62,-999.00,25.73,-999.00,25.66,-999.00,25.82,30.64,31.28,-999.00,-999.00
NorESM1-F,25.76,25.45,-999.00,25.56,26.70,25.48,-999.00,25.60,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.43,25.19,-999.00,25.23,-999.00,25.23,-999.00,25.27,28.61,30.76,-999.00,-999.00
UofT-CCSM-4,25.62,25.30,23.19,-999.00,-999.00,25.32,23.18,-999.00,-999.00,-999.00,-999.00,-999.00
