MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.98,-999.00,-999.00, 2.26,-999.00,-999.00,-999.00, 2.01, 2.79, 2.63,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.65, 2.86, 2.46,-999.00, 2.31, 2.62, 2.07,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.14, 3.03, 3.22,-999.00,-999.00, 2.72, 2.99,-999.00, 3.15, 3.04,-999.00,-999.00
CESM2, 2.72, 2.49,-999.00, 2.33,-999.00, 2.17,-999.00, 1.99, 2.40, 2.28,-999.00,-999.00
CNRM-CM5, 2.90, 2.79, 2.90,-999.00,-999.00, 2.47, 2.66,-999.00, 2.88, 2.85,-999.00,-999.00
CNRM-CM6-1, 2.38,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00, 1.91, 1.72,-999.00,-999.00
COSMOS-ASO, 2.51,-999.00, 2.54,-999.00,-999.00,-999.00, 2.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.57, 2.43,-999.00,-999.00,-999.00, 2.06,-999.00,-999.00, 2.18, 2.08,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.07, 1.81,-999.00,-999.00,-999.00, 1.54,-999.00,-999.00, 2.10,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.55, 2.41,-999.00,-999.00,-999.00, 2.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.20, 3.10,-999.00,-999.00,-999.00, 2.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.48, 1.35,-999.00, 1.20,-999.00, 1.21,-999.00, 1.07, 1.31, 1.29,-999.00,-999.00
FGOALS-g2, 2.55, 2.48, 3.26,-999.00,-999.00, 2.27, 3.14,-999.00, 2.43, 2.15,-999.00,-999.00
FGOALS-g3, 3.01, 2.79,-999.00, 2.68,-999.00, 2.54,-999.00, 2.40,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.11, 2.07,-999.00,-999.00,-999.00, 1.79,-999.00,-999.00, 2.44, 2.39,-999.00,-999.00
GISS-E2-1-G, 2.12, 2.07,-999.00, 1.84,-999.00, 1.91,-999.00, 1.68, 2.07, 1.88,-999.00,-999.00
GISS-E2-R, 2.09, 2.05, 2.86,-999.00,-999.00, 1.92, 2.74,-999.00, 1.70, 1.66,-999.00,-999.00
HadCM3, 2.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.63, 2.45,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.66, 2.52,-999.00,-999.00,-999.00, 2.20,-999.00,-999.00, 2.45, 2.32,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.30,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.00, 2.59, 3.65, 2.32,-999.00, 2.38, 3.47, 2.12, 3.10, 3.15,-999.00,-999.00
IPSL-CM5A-LR, 2.19, 1.85, 2.40,-999.00,-999.00, 1.60, 2.19,-999.00, 2.24, 2.17,-999.00,-999.00
IPSL-CM6A-LR, 3.32, 3.14,-999.00, 2.85,-999.00, 2.81,-999.00, 2.49, 3.29, 3.25,-999.00,-999.00
KCM1-2-2, 5.89, 5.45,-999.00,-999.00,-999.00, 5.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.98, 3.90, 3.95,-999.00,-999.00, 3.60, 3.79, 3.36, 3.71, 3.65,-999.00,-999.00
MIROC-ESM, 2.54, 2.30, 2.99,-999.00,-999.00, 2.03, 2.78,-999.00, 2.22, 2.00,-999.00,-999.00
MPI-ESM1-2-LR, 2.43, 2.36, 2.76,-999.00,-999.00, 2.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.31, 2.25, 2.66,-999.00,-999.00, 1.93, 2.41,-999.00, 2.03, 1.95,-999.00,-999.00
MRI-CGCM3, 2.77, 2.70, 2.56,-999.00,-999.00, 2.36, 2.33,-999.00, 2.74, 2.65,-999.00,-999.00
MRI-ESM2-0, 2.59, 2.42,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00, 2.61, 2.70,-999.00,-999.00
NESM3, 3.47, 3.31,-999.00, 3.04,-999.00, 2.91,-999.00, 2.60, 3.69, 3.64,-999.00,-999.00
NorESM1-F, 2.84, 2.76,-999.00, 2.72,-999.00, 2.42,-999.00, 2.33,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.26, 2.02,-999.00,-999.00,-999.00, 1.75,-999.00,-999.00, 1.81, 1.76,-999.00,-999.00
UofT-CCSM-4, 3.19, 3.06, 3.62,-999.00,-999.00, 2.75, 3.38,-999.00,-999.00,-999.00,-999.00,-999.00
