MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.09,-999.00,-999.00, 1.57,-999.00,-999.00,-999.00, 1.10, 1.64, 1.46,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.23, 2.54, 1.99,-999.00, 1.75, 2.30, 1.32,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.45, 2.90, 2.80,-999.00,-999.00, 2.37, 2.54,-999.00, 2.24, 2.17,-999.00,-999.00
CESM2, 1.48, 1.36,-999.00, 1.26,-999.00, 1.04,-999.00, 0.81, 0.99, 0.91,-999.00,-999.00
CNRM-CM5, 2.32, 2.47, 2.34,-999.00,-999.00, 1.99, 2.09,-999.00, 1.94, 1.80,-999.00,-999.00
CNRM-CM6-1, 1.46,-999.00,-999.00, 1.28,-999.00,-999.00,-999.00,-999.00, 0.89, 0.77,-999.00,-999.00
COSMOS-ASO, 2.05,-999.00, 2.57,-999.00,-999.00,-999.00, 2.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.92, 1.95,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.51, 1.45,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.76, 1.94,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.59,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.93, 2.06,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.77, 1.94,-999.00,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.97, 1.04,-999.00, 0.88,-999.00, 0.88,-999.00, 0.69, 0.72, 0.70,-999.00,-999.00
FGOALS-g2, 2.08, 2.23, 3.04,-999.00,-999.00, 1.90, 2.91,-999.00, 1.72, 1.59,-999.00,-999.00
FGOALS-g3, 2.52, 2.58,-999.00, 2.33,-999.00, 2.18,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.41, 1.72,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.45, 1.40,-999.00,-999.00
GISS-E2-1-G, 1.55, 1.74,-999.00, 1.56,-999.00, 1.48,-999.00, 1.23, 1.40, 1.37,-999.00,-999.00
GISS-E2-R, 1.64, 1.91, 2.26,-999.00,-999.00, 1.71, 2.13,-999.00, 1.42, 1.45,-999.00,-999.00
HadCM3, 2.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.20, 2.27,-999.00,-999.00,-999.00, 1.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.23, 2.25,-999.00,-999.00,-999.00, 1.75,-999.00,-999.00, 1.60, 1.51,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.88,-999.00, 1.21,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.19, 2.29, 3.11, 2.03,-999.00, 1.92, 2.91, 1.60, 2.13, 2.22,-999.00,-999.00
IPSL-CM5A-LR, 1.24, 1.04, 2.02,-999.00,-999.00, 0.77, 1.79,-999.00, 0.71, 0.52,-999.00,-999.00
IPSL-CM6A-LR, 2.33, 2.45,-999.00, 2.18,-999.00, 1.94,-999.00, 1.48, 1.82, 1.27,-999.00,-999.00
KCM1-2-2, 5.89, 5.45,-999.00,-999.00,-999.00, 5.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.65, 3.85, 3.83,-999.00,-999.00, 3.34, 3.66, 2.95, 2.75, 2.56,-999.00,-999.00
MIROC-ESM, 1.55, 1.67, 2.42,-999.00,-999.00, 1.29, 2.22,-999.00, 0.97, 0.81,-999.00,-999.00
MPI-ESM1-2-LR, 1.77, 1.96, 2.38,-999.00,-999.00, 1.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.82, 1.99, 2.48,-999.00,-999.00, 1.55, 2.21,-999.00, 1.08, 0.94,-999.00,-999.00
MRI-CGCM3, 2.09, 2.26, 1.94,-999.00,-999.00, 1.77, 1.71,-999.00, 1.89, 1.70,-999.00,-999.00
MRI-ESM2-0, 1.68, 1.69,-999.00,-999.00,-999.00, 1.27,-999.00,-999.00, 1.41, 1.46,-999.00,-999.00
NESM3, 2.15, 2.33,-999.00, 2.09,-999.00, 1.85,-999.00, 1.42, 1.22, 0.88,-999.00,-999.00
NorESM1-F, 1.84, 2.00,-999.00, 1.83,-999.00, 1.55,-999.00, 1.18,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.50, 1.31,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00, 0.82, 0.56,-999.00,-999.00
UofT-CCSM-4, 2.51, 2.83, 3.15,-999.00,-999.00, 2.32, 2.88,-999.00,-999.00,-999.00,-999.00,-999.00
