MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,21.23,-999.00,-999.00,22.00,-999.00,-999.00,-999.00,21.68,26.48,27.81,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,17.98,16.13,18.90,-999.00,17.93,16.14,18.78,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,19.65,19.40,16.28,-999.00,-999.00,19.33,16.29,-999.00,24.31,25.02,-999.00,-999.00
CESM2,21.58,21.48,-999.00,21.85,25.93,21.40,-999.00,21.68,28.19,30.92,-999.00,-999.00
CNRM-CM5,18.02,18.07,15.51,-999.00,-999.00,18.01,15.51,-999.00,22.36,23.71,-999.00,-999.00
CNRM-CM6-1,19.33,-999.00,-999.00,20.35,-999.00,-999.00,-999.00,20.22,26.37,28.19,-999.00,-999.00
COSMOS-ASO,20.16,-999.00,14.83,-999.00,-999.00,-999.00,14.83,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,20.65,20.44,-999.00,-999.00,-999.00,20.38,-999.00,-999.00,25.66,28.14,-999.00,-999.00
CSIRO-Mk3L-1-2,21.30,21.26,-999.00,-999.00,-999.00,21.19,-999.00,-999.00,25.17,-999.00,-999.00,-999.00
EC-EARTH-2-2,18.05,18.10,-999.00,-999.00,-999.00,18.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,18.94,18.83,-999.00,-999.00,-999.00,18.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,20.60,20.22,-999.00,20.58,-999.00,20.15,-999.00,20.41,26.53,26.66,-999.00,-999.00
FGOALS-g2,19.19,18.32,14.56,-999.00,-999.00,18.29,14.56,-999.00,23.25,25.65,-999.00,-999.00
FGOALS-g3,20.80,20.80,-999.00,21.43,-999.00,20.74,-999.00,21.30,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,21.09,20.85,-999.00,-999.00,-999.00,20.80,-999.00,-999.00,25.59,27.55,-999.00,-999.00
GISS-E2-1-G,21.25,20.73,-999.00,21.48,23.18,20.66,-999.00,21.33,22.30,27.56,-999.00,-999.00
GISS-E2-R,22.24,21.78,18.16,-999.00,-999.00,21.71,18.17,-999.00,26.86,27.35,-999.00,-999.00
HadCM3,19.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,19.41,19.51,-999.00,-999.00,-999.00,19.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,19.94,20.19,-999.00,-999.00,-999.00,20.14,-999.00,-999.00,25.95,27.90,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,20.18,-999.00,21.31,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,19.64,19.63,17.00,20.33,-999.00,19.55,17.01,20.16,23.16,23.56,-999.00,-999.00
IPSL-CM5A-LR,18.84,18.73,14.89,-999.00,-999.00,18.66,14.90,-999.00,24.28,26.37,-999.00,-999.00
IPSL-CM6A-LR,18.88,18.50,-999.00,18.98,21.22,18.44,-999.00,18.85,25.08,29.15,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,20.94,20.55,18.77,20.95,-999.00,20.50,18.77,20.83,24.97,25.67,-999.00,-999.00
MIROC-ESM,20.83,20.82,17.86,-999.00,-999.00,20.76,17.87,-999.00,26.36,28.99,-999.00,-999.00
MPI-ESM1-2-LR,19.33,18.98,16.06,21.94,-999.00,18.94,-999.00,22.44,25.27,25.63,-999.00,-999.00
MPI-ESM-P,19.41,19.15,15.59,-999.00,-999.00,19.08,15.60,-999.00,25.58,27.57,-999.00,-999.00
MRI-CGCM3,20.80,20.67,16.91,-999.00,-999.00,20.63,16.91,-999.00,25.01,26.21,-999.00,-999.00
MRI-ESM2-0,21.14,20.87,-999.00,-999.00,-999.00,20.83,-999.00,-999.00,25.65,26.80,-999.00,-999.00
NESM3,19.47,19.43,-999.00,20.51,-999.00,19.36,-999.00,20.34,26.33,27.43,-999.00,-999.00
NorESM1-F,21.67,21.35,-999.00,21.73,22.80,21.29,-999.00,21.58,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,21.89,21.72,-999.00,22.15,-999.00,21.64,-999.00,21.98,26.39,30.40,-999.00,-999.00
UofT-CCSM-4,19.18,19.06,15.98,-999.00,-999.00,19.00,15.98,-999.00,-999.00,-999.00,-999.00,-999.00
