MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,23.10,-999.00,-999.00,22.96,-999.00,-999.00,-999.00,23.56,28.82,30.01,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,22.32,20.61,21.51,-999.00,22.54,20.60,22.05,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.04,22.45,18.65,-999.00,-999.00,22.68,18.63,-999.00,28.15,28.58,-999.00,-999.00
CESM2,24.07,23.63,-999.00,23.70,29.93,23.88,-999.00,24.34,30.08,32.61,-999.00,-999.00
CNRM-CM5,22.24,22.25,19.88,-999.00,-999.00,22.49,19.86,-999.00,27.17,28.45,-999.00,-999.00
CNRM-CM6-1,23.28,-999.00,-999.00,22.51,-999.00,-999.00,-999.00,23.09,30.10,31.45,-999.00,-999.00
COSMOS-ASO,22.07,-999.00,16.26,-999.00,-999.00,-999.00,16.23,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.80,24.45,-999.00,-999.00,-999.00,24.69,-999.00,-999.00,30.07,32.46,-999.00,-999.00
CSIRO-Mk3L-1-2,24.29,24.14,-999.00,-999.00,-999.00,24.38,-999.00,-999.00,28.46,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.35,21.27,-999.00,-999.00,-999.00,21.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,21.40,21.15,-999.00,-999.00,-999.00,21.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,22.90,22.27,-999.00,22.17,-999.00,22.50,-999.00,22.75,29.48,29.33,-999.00,-999.00
FGOALS-g2,24.61,23.23,19.61,-999.00,-999.00,23.42,19.59,-999.00,29.24,31.86,-999.00,-999.00
FGOALS-g3,23.78,23.31,-999.00,23.71,-999.00,23.54,-999.00,24.30,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.14,24.31,-999.00,-999.00,-999.00,24.53,-999.00,-999.00,30.25,31.68,-999.00,-999.00
GISS-E2-1-G,26.77,25.72,-999.00,25.32,28.69,25.94,-999.00,25.86,27.99,32.60,-999.00,-999.00
GISS-E2-R,27.38,26.63,22.73,-999.00,-999.00,26.83,22.71,-999.00,31.88,32.25,-999.00,-999.00
HadCM3,24.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,21.98,22.08,-999.00,-999.00,-999.00,22.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,22.67,22.71,-999.00,-999.00,-999.00,22.96,-999.00,-999.00,28.65,30.37,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,23.39,-999.00,24.41,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.22,22.92,17.63,22.95,-999.00,23.17,17.61,23.57,27.49,28.24,-999.00,-999.00
IPSL-CM5A-LR,19.98,19.89,15.15,-999.00,-999.00,20.16,15.13,-999.00,25.43,27.87,-999.00,-999.00
IPSL-CM6A-LR,21.84,21.26,-999.00,21.17,25.48,21.51,-999.00,21.76,28.86,33.77,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.03,24.90,21.76,24.26,-999.00,25.13,21.74,24.85,31.30,31.81,-999.00,-999.00
MIROC-ESM,23.31,22.50,19.72,-999.00,-999.00,22.72,19.71,-999.00,29.18,31.67,-999.00,-999.00
MPI-ESM1-2-LR,24.50,23.45,20.97,20.42,-999.00,23.68,-999.00,20.34,30.75,30.93,-999.00,-999.00
MPI-ESM-P,24.43,23.57,20.49,-999.00,-999.00,23.80,20.47,-999.00,30.29,32.23,-999.00,-999.00
MRI-CGCM3,22.78,22.70,19.22,-999.00,-999.00,22.96,19.20,-999.00,27.43,28.62,-999.00,-999.00
MRI-ESM2-0,25.62,25.04,-999.00,-999.00,-999.00,25.28,-999.00,-999.00,30.20,31.43,-999.00,-999.00
NESM3,24.74,23.70,-999.00,23.29,-999.00,23.98,-999.00,23.93,32.41,33.52,-999.00,-999.00
NorESM1-F,24.38,23.66,-999.00,23.14,26.08,23.90,-999.00,23.74,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.23,23.05,-999.00,23.29,-999.00,23.30,-999.00,23.91,28.47,32.31,-999.00,-999.00
UofT-CCSM-4,22.22,21.65,18.39,-999.00,-999.00,21.88,18.37,-999.00,-999.00,-999.00,-999.00,-999.00
