MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,23.30,-999.00,-999.00,21.68,-999.00,-999.00,-999.00,24.09,29.31,30.59,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.25,20.76,20.10,-999.00,23.98,20.70,21.97,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.81,23.84,18.49,-999.00,-999.00,24.58,18.44,-999.00,28.92,29.40,-999.00,-999.00
CESM2,24.52,24.75,-999.00,22.77,31.17,25.56,-999.00,25.26,30.72,33.41,-999.00,-999.00
CNRM-CM5,23.25,23.86,20.70,-999.00,-999.00,24.61,20.64,-999.00,28.64,30.03,-999.00,-999.00
CNRM-CM6-1,24.09,-999.00,-999.00,22.04,-999.00,-999.00,-999.00,24.24,31.66,33.19,-999.00,-999.00
COSMOS-ASO,22.91,-999.00,16.23,-999.00,-999.00,-999.00,16.16,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.13,25.32,-999.00,-999.00,-999.00,26.17,-999.00,-999.00,30.40,33.02,-999.00,-999.00
CSIRO-Mk3L-1-2,25.00,25.55,-999.00,-999.00,-999.00,26.37,-999.00,-999.00,29.38,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.88,21.76,-999.00,-999.00,-999.00,22.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,22.44,23.10,-999.00,-999.00,-999.00,23.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.60,23.38,-999.00,21.44,-999.00,24.15,-999.00,23.75,30.38,30.26,-999.00,-999.00
FGOALS-g2,25.08,24.32,19.28,-999.00,-999.00,24.89,19.23,-999.00,29.71,32.32,-999.00,-999.00
FGOALS-g3,24.24,24.34,-999.00,22.70,-999.00,25.11,-999.00,25.12,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.74,25.46,-999.00,-999.00,-999.00,26.15,-999.00,-999.00,31.14,32.74,-999.00,-999.00
GISS-E2-1-G,27.51,27.13,-999.00,25.49,29.02,27.79,-999.00,27.48,28.88,33.30,-999.00,-999.00
GISS-E2-R,28.13,27.94,22.90,-999.00,-999.00,28.63,22.85,-999.00,32.44,32.99,-999.00,-999.00
HadCM3,25.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,22.17,22.99,-999.00,-999.00,-999.00,23.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,23.03,23.78,-999.00,-999.00,-999.00,24.61,-999.00,-999.00,29.45,31.07,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.30,-999.00,25.76,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.13,24.16,17.19,21.83,-999.00,25.05,17.13,24.18,27.98,28.87,-999.00,-999.00
IPSL-CM5A-LR,20.76,21.56,15.18,-999.00,-999.00,22.43,15.11,-999.00,26.72,29.02,-999.00,-999.00
IPSL-CM6A-LR,22.79,23.13,-999.00,21.00,26.68,23.96,-999.00,23.17,30.82,35.71,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.32,25.76,21.71,23.16,-999.00,26.52,21.65,25.42,31.75,32.26,-999.00,-999.00
MIROC-ESM,23.29,23.14,19.16,-999.00,-999.00,23.86,19.10,-999.00,29.09,31.54,-999.00,-999.00
MPI-ESM1-2-LR,25.37,24.71,21.35,21.01,-999.00,25.47,-999.00,20.84,32.03,31.87,-999.00,-999.00
MPI-ESM-P,25.35,24.98,20.85,-999.00,-999.00,25.76,20.79,-999.00,31.79,33.65,-999.00,-999.00
MRI-CGCM3,23.37,23.96,19.10,-999.00,-999.00,24.81,19.03,-999.00,28.25,29.41,-999.00,-999.00
MRI-ESM2-0,26.45,26.49,-999.00,-999.00,-999.00,27.28,-999.00,-999.00,31.61,32.78,-999.00,-999.00
NESM3,26.34,26.08,-999.00,23.71,-999.00,26.90,-999.00,25.96,34.26,35.05,-999.00,-999.00
NorESM1-F,24.51,24.59,-999.00,22.13,26.27,25.38,-999.00,24.36,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.67,24.38,-999.00,22.57,-999.00,25.19,-999.00,25.10,29.58,33.39,-999.00,-999.00
UofT-CCSM-4,22.98,22.96,18.28,-999.00,-999.00,23.71,18.23,-999.00,-999.00,-999.00,-999.00,-999.00
