MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.78,-999.00,-999.00, 4.17,-999.00,-999.00,-999.00, 4.12, 3.48, 3.61,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.12, 2.49, 3.72,-999.00, 2.93, 2.25, 3.59,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.69, 3.88, 3.20,-999.00,-999.00, 3.67, 2.96,-999.00, 4.24, 4.19,-999.00,-999.00
CESM2, 3.13, 3.36,-999.00, 3.82,-999.00, 3.16,-999.00, 3.68, 3.65, 3.65,-999.00,-999.00
CNRM-CM5, 2.94, 3.25, 3.05,-999.00,-999.00, 3.08, 2.82,-999.00, 3.45, 3.50,-999.00,-999.00
CNRM-CM6-1, 3.25,-999.00,-999.00, 4.08,-999.00,-999.00,-999.00,-999.00, 3.77, 3.65,-999.00,-999.00
COSMOS-ASO, 2.59,-999.00, 2.54,-999.00,-999.00,-999.00, 2.32,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.81, 2.22,-999.00,-999.00,-999.00, 2.07,-999.00,-999.00, 2.05, 2.24,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.91, 2.19,-999.00,-999.00,-999.00, 2.01,-999.00,-999.00, 1.82,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.71, 2.95,-999.00,-999.00,-999.00, 2.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.48, 2.81,-999.00,-999.00,-999.00, 2.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.98, 3.33,-999.00, 3.77,-999.00, 3.12,-999.00, 3.61, 3.95, 3.84,-999.00,-999.00
FGOALS-g2, 2.39, 2.74, 2.19,-999.00,-999.00, 2.59, 2.06,-999.00, 2.92, 2.74,-999.00,-999.00
FGOALS-g3, 2.24, 2.33,-999.00, 2.41,-999.00, 2.20,-999.00, 2.32,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.65, 2.96,-999.00,-999.00,-999.00, 2.78,-999.00,-999.00, 3.67, 3.49,-999.00,-999.00
GISS-E2-1-G, 3.36, 3.62,-999.00, 4.24,-999.00, 3.49,-999.00, 4.18, 3.69, 4.08,-999.00,-999.00
GISS-E2-R, 3.18, 3.31, 2.59,-999.00,-999.00, 3.22, 2.47,-999.00, 3.70, 3.67,-999.00,-999.00
HadCM3, 2.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.47, 2.92,-999.00,-999.00,-999.00, 2.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.42, 2.90,-999.00,-999.00,-999.00, 2.78,-999.00,-999.00, 2.88, 3.18,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.12,-999.00, 3.81,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.16, 4.24, 2.71, 4.27,-999.00, 4.09, 2.55, 4.21, 4.73, 4.68,-999.00,-999.00
IPSL-CM5A-LR, 1.70, 2.17, 1.15,-999.00,-999.00, 2.02, 1.04,-999.00, 1.93, 1.76,-999.00,-999.00
IPSL-CM6A-LR, 3.03, 3.28,-999.00, 3.70,-999.00, 3.12,-999.00, 3.61, 3.81, 4.45,-999.00,-999.00
KCM1-2-2, 0.38, 0.38,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.83, 3.91, 2.92,-999.00,-999.00, 3.76, 2.70, 4.18, 4.11, 4.25,-999.00,-999.00
MIROC-ESM, 3.43, 3.76, 2.97,-999.00,-999.00, 3.57, 2.73,-999.00, 3.57, 3.47,-999.00,-999.00
MPI-ESM1-2-LR, 2.38, 2.76, 2.04,-999.00,-999.00, 2.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.53, 3.02, 2.42,-999.00,-999.00, 2.81, 2.19,-999.00, 2.53, 2.68,-999.00,-999.00
MRI-CGCM3, 1.60, 2.01, 1.21,-999.00,-999.00, 1.90, 1.10,-999.00, 2.22, 2.25,-999.00,-999.00
MRI-ESM2-0, 2.42, 2.76,-999.00,-999.00,-999.00, 2.60,-999.00,-999.00, 2.59, 2.78,-999.00,-999.00
NESM3, 3.09, 3.32,-999.00, 3.88,-999.00, 3.14,-999.00, 3.74, 4.07, 4.24,-999.00,-999.00
NorESM1-F, 3.60, 3.84,-999.00, 4.26,-999.00, 3.62,-999.00, 4.11,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.43, 2.94,-999.00,-999.00,-999.00, 2.76,-999.00,-999.00, 3.31, 3.41,-999.00,-999.00
UofT-CCSM-4, 3.64, 3.75, 3.29,-999.00,-999.00, 3.54, 3.04,-999.00,-999.00,-999.00,-999.00,-999.00
