MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,23.06,-999.00,-999.00,21.03,-999.00,-999.00,-999.00,21.44,27.86,28.90,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,18.98,18.87,18.01,-999.00,19.14,18.87,18.46,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,20.69,19.52,17.51,-999.00,-999.00,19.69,17.50,-999.00,25.36,25.79,-999.00,-999.00
CESM2,23.79,22.56,-999.00,21.84,26.35,22.72,-999.00,22.29,29.46,31.65,-999.00,-999.00
CNRM-CM5,20.77,20.25,18.32,-999.00,-999.00,20.40,18.31,-999.00,24.81,25.93,-999.00,-999.00
CNRM-CM6-1,21.14,-999.00,-999.00,19.85,-999.00,-999.00,-999.00,20.30,27.11,28.40,-999.00,-999.00
COSMOS-ASO,22.52,-999.00,18.37,-999.00,-999.00,-999.00,18.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,22.83,22.05,-999.00,-999.00,-999.00,22.24,-999.00,-999.00,27.61,29.66,-999.00,-999.00
CSIRO-Mk3L-1-2,22.80,22.02,-999.00,-999.00,-999.00,22.19,-999.00,-999.00,27.04,-999.00,-999.00,-999.00
EC-EARTH-2-2,16.36,15.50,-999.00,-999.00,-999.00,15.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,20.66,19.65,-999.00,-999.00,-999.00,19.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,21.16,19.95,-999.00,19.32,-999.00,20.12,-999.00,19.79,26.78,26.68,-999.00,-999.00
FGOALS-g2,19.96,18.24,15.79,-999.00,-999.00,18.40,15.78,-999.00,23.80,26.38,-999.00,-999.00
FGOALS-g3,22.41,21.25,-999.00,20.88,-999.00,21.43,-999.00,21.39,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,21.92,20.91,-999.00,-999.00,-999.00,21.06,-999.00,-999.00,26.40,27.99,-999.00,-999.00
GISS-E2-1-G,24.10,22.66,-999.00,21.89,25.08,22.81,-999.00,22.29,24.93,29.22,-999.00,-999.00
GISS-E2-R,24.69,23.79,21.07,-999.00,-999.00,23.94,21.06,-999.00,28.70,29.04,-999.00,-999.00
HadCM3,22.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,21.03,20.30,-999.00,-999.00,-999.00,20.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,21.66,21.19,-999.00,-999.00,-999.00,21.35,-999.00,-999.00,27.01,28.49,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,21.58,-999.00,21.92,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,20.34,19.40,17.26,19.15,-999.00,19.55,17.24,19.59,23.55,24.07,-999.00,-999.00
IPSL-CM5A-LR,19.40,18.54,15.11,-999.00,-999.00,18.74,15.09,-999.00,25.18,27.45,-999.00,-999.00
IPSL-CM6A-LR,19.81,18.74,-999.00,18.44,21.97,18.91,-999.00,18.90,26.29,30.62,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,21.67,20.46,19.22,19.67,-999.00,20.61,19.21,20.08,25.88,26.22,-999.00,-999.00
MIROC-ESM,20.40,18.69,17.14,-999.00,-999.00,18.85,17.13,-999.00,25.53,27.90,-999.00,-999.00
MPI-ESM1-2-LR,21.49,19.95,19.39,20.26,-999.00,20.10,-999.00,20.22,26.68,26.63,-999.00,-999.00
MPI-ESM-P,22.13,20.95,19.04,-999.00,-999.00,21.11,19.03,-999.00,27.98,29.75,-999.00,-999.00
MRI-CGCM3,22.11,21.05,18.29,-999.00,-999.00,21.24,18.27,-999.00,25.90,26.89,-999.00,-999.00
MRI-ESM2-0,22.37,21.09,-999.00,-999.00,-999.00,21.27,-999.00,-999.00,26.68,27.51,-999.00,-999.00
NESM3,21.50,20.37,-999.00,19.52,-999.00,20.55,-999.00,20.02,27.44,28.25,-999.00,-999.00
NorESM1-F,22.53,21.41,-999.00,20.56,23.10,21.57,-999.00,21.03,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.79,22.80,-999.00,22.12,-999.00,22.96,-999.00,22.56,27.79,30.98,-999.00,-999.00
UofT-CCSM-4,19.87,18.80,17.60,-999.00,-999.00,18.97,17.59,-999.00,-999.00,-999.00,-999.00,-999.00
