MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.71,-999.00,-999.00, 3.65,-999.00,-999.00,-999.00, 3.32, 3.57, 3.57,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.95, 3.50, 4.47,-999.00, 3.65, 3.17, 4.13,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.27, 4.13, 3.50,-999.00,-999.00, 3.86, 3.22,-999.00, 4.48, 4.54,-999.00,-999.00
CESM2, 3.48, 3.58,-999.00, 3.76,-999.00, 3.33,-999.00, 3.46, 3.83, 3.73,-999.00,-999.00
CNRM-CM5, 3.30, 3.37, 3.25,-999.00,-999.00, 3.17, 2.98,-999.00, 3.69, 3.85,-999.00,-999.00
CNRM-CM6-1, 3.73,-999.00,-999.00, 3.88,-999.00,-999.00,-999.00,-999.00, 4.72, 4.54,-999.00,-999.00
COSMOS-ASO, 3.94,-999.00, 3.49,-999.00,-999.00,-999.00, 3.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.33, 2.80,-999.00,-999.00,-999.00, 2.53,-999.00,-999.00, 3.12, 3.72,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.55, 4.88,-999.00,-999.00,-999.00, 4.53,-999.00,-999.00, 4.74,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.36, 4.33,-999.00,-999.00,-999.00, 4.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.03, 3.32,-999.00,-999.00,-999.00, 3.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.90, 3.98,-999.00, 4.16,-999.00, 3.65,-999.00, 3.80, 4.49, 4.40,-999.00,-999.00
FGOALS-g2, 3.91, 3.88, 3.25,-999.00,-999.00, 3.62, 2.96,-999.00, 4.89, 4.86,-999.00,-999.00
FGOALS-g3, 3.67, 3.64,-999.00, 3.62,-999.00, 3.30,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.16, 4.20,-999.00,-999.00,-999.00, 3.88,-999.00,-999.00, 5.12, 4.97,-999.00,-999.00
GISS-E2-1-G, 3.11, 3.12,-999.00, 3.24,-999.00, 2.90,-999.00, 3.01, 3.14, 3.14,-999.00,-999.00
GISS-E2-R, 3.05, 2.50, 2.46,-999.00,-999.00, 2.33, 2.25,-999.00, 3.49, 3.43,-999.00,-999.00
HadCM3, 3.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.12, 3.59,-999.00,-999.00,-999.00, 3.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.19, 3.89,-999.00,-999.00,-999.00, 3.60,-999.00,-999.00, 4.24, 4.55,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.41,-999.00, 3.86,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.16, 3.96, 2.70, 3.91,-999.00, 3.76, 2.52, 3.63, 4.33, 4.22,-999.00,-999.00
IPSL-CM5A-LR, 2.99, 3.11, 2.00,-999.00,-999.00, 2.96, 1.85,-999.00, 3.52, 3.51,-999.00,-999.00
IPSL-CM6A-LR, 2.92, 2.90,-999.00, 3.19,-999.00, 2.71,-999.00, 2.92, 3.37, 4.04,-999.00,-999.00
KCM1-2-2, 1.38, 1.42,-999.00,-999.00,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.13, 3.93, 3.59,-999.00,-999.00, 3.65, 3.25, 3.69, 4.96, 5.25,-999.00,-999.00
MIROC-ESM, 5.69, 5.21, 4.67,-999.00,-999.00, 4.92, 4.26,-999.00, 5.71, 5.78,-999.00,-999.00
MPI-ESM1-2-LR, 3.62, 3.56, 2.98,-999.00,-999.00, 3.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.77, 3.94, 3.26,-999.00,-999.00, 3.62, 2.91,-999.00, 4.26, 4.70,-999.00,-999.00
MRI-CGCM3, 2.08, 2.37, 1.83,-999.00,-999.00, 2.16, 1.62,-999.00, 2.76, 2.79,-999.00,-999.00
MRI-ESM2-0, 3.36, 3.49,-999.00,-999.00,-999.00, 3.22,-999.00,-999.00, 3.80, 3.78,-999.00,-999.00
NESM3, 3.14, 3.11,-999.00, 3.27,-999.00, 2.88,-999.00, 3.04, 3.67, 3.91,-999.00,-999.00
NorESM1-F, 3.37, 3.25,-999.00, 3.32,-999.00, 3.00,-999.00, 3.04,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.38, 2.46,-999.00,-999.00,-999.00, 2.27,-999.00,-999.00, 3.16, 3.32,-999.00,-999.00
UofT-CCSM-4, 4.19, 4.02, 3.57,-999.00,-999.00, 3.78, 3.29,-999.00,-999.00,-999.00,-999.00,-999.00
