MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.64,-999.00,-999.00,27.89,-999.00,-999.00,-999.00,28.24,31.24,32.04,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,26.09,23.86,26.39,-999.00,26.15,23.86,26.77,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.65,26.78,24.39,-999.00,-999.00,26.82,24.38,-999.00,29.76,30.23,-999.00,-999.00
CESM2,27.04,27.15,-999.00,27.25,30.41,27.19,-999.00,27.55,31.56,33.36,-999.00,-999.00
CNRM-CM5,26.74,27.13,25.22,-999.00,-999.00,27.22,25.20,-999.00,29.77,30.70,-999.00,-999.00
CNRM-CM6-1,25.84,-999.00,-999.00,26.48,-999.00,-999.00,-999.00,26.83,30.17,31.11,-999.00,-999.00
COSMOS-ASO,25.82,-999.00,22.37,-999.00,-999.00,-999.00,22.37,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.61,27.08,-999.00,-999.00,-999.00,27.16,-999.00,-999.00,30.07,31.86,-999.00,-999.00
CSIRO-Mk3L-1-2,27.24,27.24,-999.00,-999.00,-999.00,27.28,-999.00,-999.00,30.10,-999.00,-999.00,-999.00
EC-EARTH-2-2,24.32,24.46,-999.00,-999.00,-999.00,24.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.49,25.48,-999.00,-999.00,-999.00,25.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.00,26.00,-999.00,25.89,-999.00,26.06,-999.00,26.24,30.01,30.00,-999.00,-999.00
FGOALS-g2,25.93,25.48,22.91,-999.00,-999.00,25.52,22.90,-999.00,28.67,30.28,-999.00,-999.00
FGOALS-g3,27.09,26.95,-999.00,27.32,-999.00,26.97,-999.00,27.54,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.54,26.80,-999.00,-999.00,-999.00,26.84,-999.00,-999.00,29.85,31.14,-999.00,-999.00
GISS-E2-1-G,27.25,27.11,-999.00,27.26,28.13,27.16,-999.00,27.54,27.85,31.23,-999.00,-999.00
GISS-E2-R,27.68,27.87,25.48,-999.00,-999.00,27.89,25.47,-999.00,30.46,30.75,-999.00,-999.00
HadCM3,27.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.18,26.48,-999.00,-999.00,-999.00,26.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,26.52,26.95,-999.00,-999.00,-999.00,27.04,-999.00,-999.00,30.24,31.48,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,27.42,-999.00,28.24,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,26.18,26.61,23.55,26.77,-999.00,26.69,23.54,27.16,28.77,29.17,-999.00,-999.00
IPSL-CM5A-LR,25.29,25.76,21.73,-999.00,-999.00,25.84,21.72,-999.00,29.68,31.27,-999.00,-999.00
IPSL-CM6A-LR,26.27,26.47,-999.00,26.48,28.57,26.55,-999.00,26.85,30.99,33.99,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.27,26.28,24.06,26.12,-999.00,26.30,24.06,26.35,29.46,29.97,-999.00,-999.00
MIROC-ESM,25.90,25.94,23.65,-999.00,-999.00,26.00,23.65,-999.00,29.61,31.15,-999.00,-999.00
MPI-ESM1-2-LR,25.99,26.26,24.13,24.71,-999.00,26.29,-999.00,24.62,30.23,30.42,-999.00,-999.00
MPI-ESM-P,26.04,26.37,23.66,-999.00,-999.00,26.42,23.65,-999.00,30.07,31.38,-999.00,-999.00
MRI-CGCM3,26.38,26.44,23.70,-999.00,-999.00,26.51,23.69,-999.00,29.20,30.00,-999.00,-999.00
MRI-ESM2-0,26.94,26.93,-999.00,-999.00,-999.00,26.99,-999.00,-999.00,30.13,31.03,-999.00,-999.00
NESM3,26.28,26.62,-999.00,26.94,-999.00,26.63,-999.00,27.16,31.01,31.78,-999.00,-999.00
NorESM1-F,26.66,26.84,-999.00,26.66,28.04,26.92,-999.00,27.02,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.01,27.20,-999.00,27.22,-999.00,27.26,-999.00,27.59,30.05,32.76,-999.00,-999.00
UofT-CCSM-4,26.36,26.36,24.06,-999.00,-999.00,26.41,24.06,-999.00,-999.00,-999.00,-999.00,-999.00
