MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.95,-999.00,-999.00, 3.78,-999.00,-999.00,-999.00, 3.85, 4.93, 4.97,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.34, 4.89, 3.36,-999.00, 4.34, 4.89, 3.38,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.51, 4.33, 4.86,-999.00,-999.00, 4.34, 4.86,-999.00, 4.68, 4.70,-999.00,-999.00
CESM2, 4.43, 4.17,-999.00, 3.33, 4.49, 4.17,-999.00, 3.35, 4.69, 4.83,-999.00,-999.00
CNRM-CM5, 5.08, 4.85, 5.25,-999.00,-999.00, 4.86, 5.25,-999.00, 5.43, 5.53,-999.00,-999.00
CNRM-CM6-1, 4.85,-999.00,-999.00, 3.73,-999.00,-999.00,-999.00, 3.77, 5.55, 5.59,-999.00,-999.00
COSMOS-ASO, 4.09,-999.00, 4.46,-999.00,-999.00,-999.00, 4.46,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.46, 5.24,-999.00,-999.00,-999.00, 5.25,-999.00,-999.00, 5.62, 5.79,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.86, 4.67,-999.00,-999.00,-999.00, 4.67,-999.00,-999.00, 4.87,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.64, 4.49,-999.00,-999.00,-999.00, 4.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 5.08, 4.83,-999.00,-999.00,-999.00, 4.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.41, 4.19,-999.00, 3.26,-999.00, 4.21,-999.00, 3.29, 4.67, 4.64,-999.00,-999.00
FGOALS-g2, 4.30, 4.13, 5.14,-999.00,-999.00, 4.14, 5.14,-999.00, 4.52, 4.38,-999.00,-999.00
FGOALS-g3, 4.31, 4.27,-999.00, 3.46,-999.00, 4.28,-999.00, 3.49,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.19, 4.02,-999.00,-999.00,-999.00, 4.03,-999.00,-999.00, 4.64, 4.81,-999.00,-999.00
GISS-E2-1-G, 4.80, 4.64,-999.00, 3.73, 5.27, 4.65,-999.00, 3.76, 4.77, 4.93,-999.00,-999.00
GISS-E2-R, 5.04, 4.66, 5.29,-999.00,-999.00, 4.66, 5.29,-999.00, 4.92, 4.91,-999.00,-999.00
HadCM3, 4.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.72, 4.55,-999.00,-999.00,-999.00, 4.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.86, 4.68,-999.00,-999.00,-999.00, 4.68,-999.00,-999.00, 5.11, 5.09,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.44,-999.00, 3.55,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.84, 4.67, 4.99, 3.72,-999.00, 4.67, 4.99, 3.75, 5.32, 5.35,-999.00,-999.00
IPSL-CM5A-LR, 4.28, 4.15, 4.18,-999.00,-999.00, 4.15, 4.18,-999.00, 5.01, 5.27,-999.00,-999.00
IPSL-CM6A-LR, 4.29, 4.11,-999.00, 3.22, 4.44, 4.11,-999.00, 3.24, 4.80, 4.90,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.12, 3.98, 4.19, 3.10,-999.00, 3.99, 4.19, 3.13, 4.31, 4.35,-999.00,-999.00
MIROC-ESM, 3.79, 3.61, 3.84,-999.00,-999.00, 3.61, 3.84,-999.00, 4.20, 4.42,-999.00,-999.00
MPI-ESM1-2-LR, 5.40, 5.12, 5.39, 6.23,-999.00, 5.12,-999.00, 6.22, 5.65, 5.55,-999.00,-999.00
MPI-ESM-P, 4.77, 4.50, 4.76,-999.00,-999.00, 4.50, 4.76,-999.00, 5.23, 5.32,-999.00,-999.00
MRI-CGCM3, 5.08, 4.86, 5.55,-999.00,-999.00, 4.86, 5.55,-999.00, 5.20, 5.20,-999.00,-999.00
MRI-ESM2-0, 4.54, 4.34,-999.00,-999.00,-999.00, 4.35,-999.00,-999.00, 4.65, 4.72,-999.00,-999.00
NESM3, 5.72, 5.55,-999.00, 4.43,-999.00, 5.55,-999.00, 4.46, 6.12, 6.11,-999.00,-999.00
NorESM1-F, 4.57, 4.31,-999.00, 3.48, 4.10, 4.31,-999.00, 3.51,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.28, 4.02,-999.00, 3.17,-999.00, 4.02,-999.00, 3.19, 4.35, 4.58,-999.00,-999.00
UofT-CCSM-4, 4.39, 4.29, 4.83,-999.00,-999.00, 4.29, 4.83,-999.00,-999.00,-999.00,-999.00,-999.00
