MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 8.19,-999.00,-999.00, 8.04,-999.00,-999.00,-999.00, 7.78, 8.36, 8.15,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 6.78, 5.97, 6.46,-999.00, 6.67, 5.77, 6.29,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 7.14, 7.18, 6.05,-999.00,-999.00, 7.08, 5.92,-999.00, 8.46, 8.46,-999.00,-999.00
CESM2, 8.67, 8.74,-999.00, 8.75,-999.00, 8.50,-999.00, 8.57, 8.97, 9.10,-999.00,-999.00
CNRM-CM5, 6.48, 6.52, 5.79,-999.00,-999.00, 6.41, 5.63,-999.00, 6.74, 6.85,-999.00,-999.00
CNRM-CM6-1, 6.84,-999.00,-999.00, 7.06,-999.00,-999.00,-999.00,-999.00, 7.53, 7.52,-999.00,-999.00
COSMOS-ASO, 5.94,-999.00, 4.77,-999.00,-999.00,-999.00, 4.65,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.44, 7.39,-999.00,-999.00,-999.00, 6.92,-999.00,-999.00, 7.56, 7.21,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.31, 4.24,-999.00,-999.00,-999.00, 3.93,-999.00,-999.00, 4.60,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.59, 5.33,-999.00,-999.00,-999.00, 5.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 7.11, 7.05,-999.00,-999.00,-999.00, 6.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 6.37, 6.27,-999.00, 6.30,-999.00, 5.98,-999.00, 6.05, 7.51, 7.54,-999.00,-999.00
FGOALS-g2, 7.30, 7.20, 7.43,-999.00,-999.00, 7.03, 7.21,-999.00, 7.88, 7.49,-999.00,-999.00
FGOALS-g3,10.89,11.31,-999.00,11.36,-999.00,11.13,-999.00,11.21,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.61, 4.58,-999.00,-999.00,-999.00, 4.39,-999.00,-999.00, 4.19, 3.97,-999.00,-999.00
GISS-E2-1-G, 7.49, 7.30,-999.00, 7.13,-999.00, 7.07,-999.00, 6.95, 7.48, 7.47,-999.00,-999.00
GISS-E2-R,10.00, 9.66, 8.04,-999.00,-999.00, 9.54, 7.88,-999.00, 9.79, 9.57,-999.00,-999.00
HadCM3, 7.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.50, 5.57,-999.00,-999.00,-999.00, 5.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.88, 5.87,-999.00,-999.00,-999.00, 5.65,-999.00,-999.00, 5.91, 6.16,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 6.12,-999.00, 6.25,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 8.86, 8.41, 7.34, 8.20,-999.00, 8.37, 7.26, 8.16,10.39,10.63,-999.00,-999.00
IPSL-CM5A-LR, 6.43, 6.36, 5.47,-999.00,-999.00, 6.27, 5.23,-999.00, 7.86, 8.47,-999.00,-999.00
IPSL-CM6A-LR,10.48,10.14,-999.00, 9.89,-999.00,10.02,-999.00, 9.77,12.67,12.29,-999.00,-999.00
KCM1-2-2, 6.15, 5.82,-999.00,-999.00,-999.00, 5.82,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.35, 6.25, 6.14,-999.00,-999.00, 6.18, 6.05, 6.21, 7.05, 7.11,-999.00,-999.00
MIROC-ESM, 6.62, 6.52, 6.41,-999.00,-999.00, 6.44, 6.30,-999.00, 6.99, 7.10,-999.00,-999.00
MPI-ESM1-2-LR, 6.03, 6.10, 5.44,-999.00,-999.00, 5.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 5.94, 5.81, 5.24,-999.00,-999.00, 5.58, 4.97,-999.00, 6.98, 6.72,-999.00,-999.00
MRI-CGCM3, 8.85, 8.78, 6.60,-999.00,-999.00, 8.46, 6.24,-999.00, 9.47, 9.74,-999.00,-999.00
MRI-ESM2-0, 8.60, 8.65,-999.00,-999.00,-999.00, 8.42,-999.00,-999.00, 8.26, 8.16,-999.00,-999.00
NESM3, 8.04, 8.07,-999.00, 8.22,-999.00, 7.87,-999.00, 8.07, 9.61, 9.78,-999.00,-999.00
NorESM1-F, 6.94, 7.00,-999.00, 7.31,-999.00, 6.74,-999.00, 7.13,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 7.39, 7.50,-999.00,-999.00,-999.00, 7.29,-999.00,-999.00, 7.32, 7.17,-999.00,-999.00
UofT-CCSM-4, 7.18, 7.16, 7.80,-999.00,-999.00, 7.11, 7.69,-999.00,-999.00,-999.00,-999.00,-999.00
