MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.09,-999.00,-999.00, 1.65,-999.00,-999.00,-999.00, 1.51, 1.35, 1.45,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.07, 0.98, 1.11,-999.00, 1.04, 0.91, 1.07,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.02, 1.19, 1.07,-999.00,-999.00, 1.16, 1.05,-999.00, 1.41, 1.07,-999.00,-999.00
CESM2, 1.56, 1.82,-999.00, 2.19,-999.00, 1.72,-999.00, 2.04, 1.79, 1.65,-999.00,-999.00
CNRM-CM5, 1.01, 1.13, 1.12,-999.00,-999.00, 1.11, 1.10,-999.00, 1.17, 1.41,-999.00,-999.00
CNRM-CM6-1, 1.04,-999.00,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00, 1.23, 1.32,-999.00,-999.00
COSMOS-ASO, 1.26,-999.00, 0.75,-999.00,-999.00,-999.00, 0.72,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.53, 1.64,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00, 1.83, 1.74,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.30, 1.24,-999.00,-999.00,-999.00, 1.11,-999.00,-999.00, 1.15,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.85, 0.94,-999.00,-999.00,-999.00, 0.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.96, 1.12,-999.00,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.34, 1.50,-999.00, 1.83,-999.00, 1.34,-999.00, 1.63, 1.45, 1.45,-999.00,-999.00
FGOALS-g2, 1.92, 2.08, 1.15,-999.00,-999.00, 1.93, 1.08,-999.00, 1.59, 1.92,-999.00,-999.00
FGOALS-g3, 1.56, 1.57,-999.00, 1.96,-999.00, 1.48,-999.00, 1.81,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.84, 1.05,-999.00,-999.00,-999.00, 0.99,-999.00,-999.00, 1.11, 1.10,-999.00,-999.00
GISS-E2-1-G, 1.33, 1.26,-999.00, 1.35,-999.00, 1.21,-999.00, 1.27, 1.23, 1.37,-999.00,-999.00
GISS-E2-R, 1.06, 1.19, 0.82,-999.00,-999.00, 1.17, 0.81,-999.00, 0.98, 1.01,-999.00,-999.00
HadCM3, 0.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.70, 0.76,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.72, 0.77,-999.00,-999.00,-999.00, 0.75,-999.00,-999.00, 0.98, 1.01,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.05,-999.00, 1.51,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.77, 0.71, 1.04, 0.84,-999.00, 0.71, 1.03, 0.82, 0.82, 0.88,-999.00,-999.00
IPSL-CM5A-LR, 0.83, 1.09, 0.90,-999.00,-999.00, 1.07, 0.87,-999.00, 1.22, 1.47,-999.00,-999.00
IPSL-CM6A-LR, 0.97, 1.00,-999.00, 1.04,-999.00, 0.98,-999.00, 1.01, 1.46, 1.54,-999.00,-999.00
KCM1-2-2, 0.82, 0.70,-999.00,-999.00,-999.00, 0.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.33, 1.58, 1.11,-999.00,-999.00, 1.55, 1.08, 1.84, 1.38, 1.33,-999.00,-999.00
MIROC-ESM, 0.65, 0.83, 0.74,-999.00,-999.00, 0.79, 0.71,-999.00, 0.80, 0.87,-999.00,-999.00
MPI-ESM1-2-LR, 1.43, 1.74, 0.87,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.33, 1.38, 0.98,-999.00,-999.00, 1.29, 0.88,-999.00, 1.68, 1.82,-999.00,-999.00
MRI-CGCM3, 1.46, 1.34, 1.39,-999.00,-999.00, 1.28, 1.32,-999.00, 1.90, 1.91,-999.00,-999.00
MRI-ESM2-0, 1.16, 1.19,-999.00,-999.00,-999.00, 1.14,-999.00,-999.00, 1.51, 1.60,-999.00,-999.00
NESM3, 1.54, 1.43,-999.00, 2.12,-999.00, 1.40,-999.00, 2.00, 1.93, 1.94,-999.00,-999.00
NorESM1-F, 1.36, 1.52,-999.00, 2.08,-999.00, 1.44,-999.00, 1.95,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.53, 1.95,-999.00,-999.00,-999.00, 1.84,-999.00,-999.00, 1.73, 1.74,-999.00,-999.00
UofT-CCSM-4, 1.01, 1.30, 1.03,-999.00,-999.00, 1.28, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00
