MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,28.35,-999.00,-999.00,27.78,-999.00,-999.00,-999.00,27.73,32.53,33.38,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.32,22.64,23.42,-999.00,23.32,22.64,23.40,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,24.76,23.82,21.95,-999.00,-999.00,23.82,21.95,-999.00,28.38,28.83,-999.00,-999.00
CESM2,26.10,25.13,-999.00,25.22,29.43,25.14,-999.00,25.20,30.82,32.55,-999.00,-999.00
CNRM-CM5,24.95,24.15,22.94,-999.00,-999.00,24.14,22.95,-999.00,28.35,29.44,-999.00,-999.00
CNRM-CM6-1,24.52,-999.00,-999.00,23.95,-999.00,-999.00,-999.00,23.94,29.88,31.00,-999.00,-999.00
COSMOS-ASO,26.79,-999.00,22.40,-999.00,-999.00,-999.00,22.40,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,27.47,26.47,-999.00,-999.00,-999.00,26.47,-999.00,-999.00,31.48,33.59,-999.00,-999.00
CSIRO-Mk3L-1-2,26.66,25.90,-999.00,-999.00,-999.00,25.89,-999.00,-999.00,29.85,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.63,20.92,-999.00,-999.00,-999.00,20.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.78,22.84,-999.00,-999.00,-999.00,22.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.27,24.09,-999.00,24.03,-999.00,24.10,-999.00,24.01,29.78,29.79,-999.00,-999.00
FGOALS-g2,24.74,23.24,21.05,-999.00,-999.00,23.23,21.05,-999.00,27.20,29.51,-999.00,-999.00
FGOALS-g3,25.53,24.79,-999.00,25.00,-999.00,24.79,-999.00,24.98,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.25,25.33,-999.00,-999.00,-999.00,25.32,-999.00,-999.00,29.66,31.21,-999.00,-999.00
GISS-E2-1-G,26.28,25.23,-999.00,25.43,27.91,25.23,-999.00,25.42,27.00,30.32,-999.00,-999.00
GISS-E2-R,25.65,24.84,23.17,-999.00,-999.00,24.83,23.17,-999.00,28.89,29.57,-999.00,-999.00
HadCM3,26.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.61,25.86,-999.00,-999.00,-999.00,25.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,27.10,26.45,-999.00,-999.00,-999.00,26.45,-999.00,-999.00,31.68,33.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.29,-999.00,25.88,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.53,24.60,23.82,24.77,-999.00,24.60,23.82,24.76,27.97,28.30,-999.00,-999.00
IPSL-CM5A-LR,24.48,23.38,21.53,-999.00,-999.00,23.39,21.53,-999.00,28.96,30.65,-999.00,-999.00
IPSL-CM6A-LR,24.60,23.42,-999.00,23.56,27.30,23.42,-999.00,23.54,29.56,32.70,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.05,24.76,24.00,25.04,-999.00,24.76,24.00,25.03,28.91,29.36,-999.00,-999.00
MIROC-ESM,25.61,24.62,23.30,-999.00,-999.00,24.61,23.30,-999.00,29.69,31.53,-999.00,-999.00
MPI-ESM1-2-LR,25.37,24.06,23.05,25.23,-999.00,24.06,-999.00,25.22,29.36,29.58,-999.00,-999.00
MPI-ESM-P,26.14,24.98,23.40,-999.00,-999.00,24.98,23.40,-999.00,30.80,32.48,-999.00,-999.00
MRI-CGCM3,24.97,23.95,22.24,-999.00,-999.00,23.95,22.24,-999.00,28.24,29.07,-999.00,-999.00
MRI-ESM2-0,26.16,24.95,-999.00,-999.00,-999.00,24.95,-999.00,-999.00,29.68,30.46,-999.00,-999.00
NESM3,24.65,23.52,-999.00,23.80,-999.00,23.52,-999.00,23.78,29.76,30.51,-999.00,-999.00
NorESM1-F,25.90,24.81,-999.00,24.94,26.86,24.81,-999.00,24.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.60,25.57,-999.00,25.56,-999.00,25.58,-999.00,25.54,29.78,32.37,-999.00,-999.00
UofT-CCSM-4,24.65,23.77,22.54,-999.00,-999.00,23.77,22.54,-999.00,-999.00,-999.00,-999.00,-999.00
