MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.22,-999.00,-999.00, 1.10,-999.00,-999.00,-999.00, 1.09, 1.57, 1.66,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.19, 1.14, 1.21,-999.00, 1.17, 1.12, 1.16,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.09, 1.02, 0.81,-999.00,-999.00, 1.00, 0.81,-999.00, 1.08, 0.81,-999.00,-999.00
CESM2, 1.34, 1.18,-999.00, 1.35,-999.00, 1.15,-999.00, 1.30, 1.71, 1.63,-999.00,-999.00
CNRM-CM5, 1.17, 1.22, 0.96,-999.00,-999.00, 1.19, 0.94,-999.00, 1.36, 1.49,-999.00,-999.00
CNRM-CM6-1, 1.28,-999.00,-999.00, 1.46,-999.00,-999.00,-999.00,-999.00, 1.44, 1.55,-999.00,-999.00
COSMOS-ASO, 1.44,-999.00, 1.16,-999.00,-999.00,-999.00, 1.13,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.21, 1.14,-999.00,-999.00,-999.00, 1.10,-999.00,-999.00, 1.66, 2.24,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.12, 1.07,-999.00,-999.00,-999.00, 1.05,-999.00,-999.00, 1.05,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.03, 0.97,-999.00,-999.00,-999.00, 0.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.07, 0.91,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.34, 1.27,-999.00, 1.45,-999.00, 1.20,-999.00, 1.37, 1.52, 1.47,-999.00,-999.00
FGOALS-g2, 1.10, 1.10, 0.88,-999.00,-999.00, 1.07, 0.85,-999.00, 0.84, 1.30,-999.00,-999.00
FGOALS-g3, 1.16, 0.97,-999.00, 1.09,-999.00, 0.93,-999.00, 1.05,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.25, 1.29,-999.00,-999.00,-999.00, 1.25,-999.00,-999.00, 1.51, 1.50,-999.00,-999.00
GISS-E2-1-G, 1.45, 1.26,-999.00, 1.34,-999.00, 1.21,-999.00, 1.28, 1.43, 1.60,-999.00,-999.00
GISS-E2-R, 0.76, 0.79, 0.75,-999.00,-999.00, 0.78, 0.74,-999.00, 1.11, 1.11,-999.00,-999.00
HadCM3, 1.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.16, 0.98,-999.00,-999.00,-999.00, 0.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.15, 0.92,-999.00,-999.00,-999.00, 0.88,-999.00,-999.00, 1.26, 1.46,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.88,-999.00, 1.03,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.53, 0.61, 0.62, 0.84,-999.00, 0.60, 0.61, 0.80, 0.63, 0.61,-999.00,-999.00
IPSL-CM5A-LR, 0.88, 0.69, 0.61,-999.00,-999.00, 0.68, 0.62,-999.00, 0.84, 0.90,-999.00,-999.00
IPSL-CM6A-LR, 1.12, 0.83,-999.00, 0.89,-999.00, 0.81,-999.00, 0.85, 1.12, 1.25,-999.00,-999.00
KCM1-2-2, 1.02, 0.84,-999.00,-999.00,-999.00, 0.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.54, 1.66, 1.23,-999.00,-999.00, 1.62, 1.22, 1.66, 1.43, 1.47,-999.00,-999.00
MIROC-ESM, 0.75, 0.67, 0.83,-999.00,-999.00, 0.66, 0.82,-999.00, 0.88, 0.96,-999.00,-999.00
MPI-ESM1-2-LR, 1.89, 1.64, 1.42,-999.00,-999.00, 1.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.60, 1.41, 1.33,-999.00,-999.00, 1.37, 1.29,-999.00, 1.88, 2.11,-999.00,-999.00
MRI-CGCM3, 1.31, 0.99, 0.96,-999.00,-999.00, 0.97, 0.94,-999.00, 1.80, 1.79,-999.00,-999.00
MRI-ESM2-0, 1.25, 1.00,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 1.55, 1.56,-999.00,-999.00
NESM3, 1.67, 1.24,-999.00, 0.99,-999.00, 1.21,-999.00, 0.95, 1.91, 1.83,-999.00,-999.00
NorESM1-F, 1.21, 1.26,-999.00, 1.52,-999.00, 1.22,-999.00, 1.46,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.59, 1.45,-999.00,-999.00,-999.00, 1.40,-999.00,-999.00, 1.75, 1.66,-999.00,-999.00
UofT-CCSM-4, 0.84, 0.73, 0.75,-999.00,-999.00, 0.72, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00
