MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 7.73,-999.00,-999.00, 7.70,-999.00,-999.00,-999.00, 7.14, 7.34, 7.09,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 8.16, 8.27, 7.87,-999.00, 7.91, 8.05, 7.26,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 6.37, 6.16, 6.11,-999.00,-999.00, 5.95, 5.97,-999.00, 6.83, 6.78,-999.00,-999.00
CESM2, 7.46, 7.23,-999.00, 7.58,-999.00, 7.00,-999.00, 7.22, 7.53, 7.38,-999.00,-999.00
CNRM-CM5, 6.71, 6.44, 6.06,-999.00,-999.00, 6.29, 5.91,-999.00, 7.04, 7.19,-999.00,-999.00
CNRM-CM6-1, 6.17,-999.00,-999.00, 6.23,-999.00,-999.00,-999.00,-999.00, 6.54, 6.57,-999.00,-999.00
COSMOS-ASO, 7.88,-999.00, 6.76,-999.00,-999.00,-999.00, 6.63,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.47, 8.14,-999.00,-999.00,-999.00, 7.72,-999.00,-999.00, 9.19, 8.48,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.64, 6.84,-999.00,-999.00,-999.00, 6.62,-999.00,-999.00, 6.43,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.56, 5.75,-999.00,-999.00,-999.00, 5.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.50, 6.42,-999.00,-999.00,-999.00, 6.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 6.77, 6.72,-999.00, 7.25,-999.00, 6.43,-999.00, 6.96, 6.93, 6.84,-999.00,-999.00
FGOALS-g2, 6.46, 6.42, 5.20,-999.00,-999.00, 6.16, 4.93,-999.00, 6.77, 6.44,-999.00,-999.00
FGOALS-g3, 6.80, 6.23,-999.00, 6.75,-999.00, 5.91,-999.00, 6.31,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 6.19, 6.04,-999.00,-999.00,-999.00, 5.74,-999.00,-999.00, 5.87, 5.79,-999.00,-999.00
GISS-E2-1-G, 6.41, 6.20,-999.00, 6.54,-999.00, 5.89,-999.00, 6.15, 6.42, 6.54,-999.00,-999.00
GISS-E2-R, 6.99, 6.79, 5.82,-999.00,-999.00, 6.61, 5.68,-999.00, 7.20, 7.09,-999.00,-999.00
HadCM3, 9.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.16, 7.40,-999.00,-999.00,-999.00, 7.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 7.57, 7.58,-999.00,-999.00,-999.00, 7.19,-999.00,-999.00, 7.79, 8.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 7.45,-999.00, 7.89,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 6.43, 5.66, 7.11, 5.54,-999.00, 5.52, 7.00, 5.15, 6.73, 6.68,-999.00,-999.00
IPSL-CM5A-LR, 7.04, 6.59, 5.66,-999.00,-999.00, 6.45, 5.48,-999.00, 8.05, 8.80,-999.00,-999.00
IPSL-CM6A-LR, 7.01, 6.34,-999.00, 6.22,-999.00, 6.13,-999.00, 5.82, 6.77, 6.98,-999.00,-999.00
KCM1-2-2, 8.68, 8.38,-999.00,-999.00,-999.00, 8.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 7.49, 7.43, 7.23,-999.00,-999.00, 7.19, 7.09, 6.95, 7.34, 7.33,-999.00,-999.00
MIROC-ESM, 7.17, 6.87, 7.22,-999.00,-999.00, 6.73, 7.11,-999.00, 7.30, 7.64,-999.00,-999.00
MPI-ESM1-2-LR, 8.57, 8.70, 7.20,-999.00,-999.00, 8.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 8.53, 8.12, 7.87,-999.00,-999.00, 7.72, 7.50,-999.00, 8.90, 8.74,-999.00,-999.00
MRI-CGCM3, 6.34, 6.42, 4.81,-999.00,-999.00, 6.13, 4.54,-999.00, 6.62, 6.61,-999.00,-999.00
MRI-ESM2-0, 7.13, 6.98,-999.00,-999.00,-999.00, 6.69,-999.00,-999.00, 6.89, 6.93,-999.00,-999.00
NESM3, 6.91, 6.91,-999.00, 7.09,-999.00, 6.74,-999.00, 6.88, 7.89, 8.00,-999.00,-999.00
NorESM1-F, 7.06, 7.07,-999.00, 7.62,-999.00, 6.72,-999.00, 7.24,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.14, 8.01,-999.00,-999.00,-999.00, 7.76,-999.00,-999.00, 7.84, 7.31,-999.00,-999.00
UofT-CCSM-4, 6.53, 6.27, 5.97,-999.00,-999.00, 6.12, 5.85,-999.00,-999.00,-999.00,-999.00,-999.00
