MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,28.13,-999.00,-999.00,28.04,-999.00,-999.00,-999.00,28.03,31.39,32.10,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,25.69,24.19,25.80,-999.00,25.71,24.19,25.84,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.79,26.50,24.28,-999.00,-999.00,26.52,24.28,-999.00,29.91,30.28,-999.00,-999.00
CESM2,27.35,27.05,-999.00,27.11,30.46,27.07,-999.00,27.15,31.34,32.84,-999.00,-999.00
CNRM-CM5,26.55,26.49,24.88,-999.00,-999.00,26.51,24.87,-999.00,29.45,30.31,-999.00,-999.00
CNRM-CM6-1,25.56,-999.00,-999.00,25.87,-999.00,-999.00,-999.00,25.92,29.85,30.78,-999.00,-999.00
COSMOS-ASO,26.71,-999.00,23.28,-999.00,-999.00,-999.00,23.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,27.13,26.93,-999.00,-999.00,-999.00,26.96,-999.00,-999.00,30.44,31.93,-999.00,-999.00
CSIRO-Mk3L-1-2,27.22,27.05,-999.00,-999.00,-999.00,27.07,-999.00,-999.00,29.98,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.98,23.77,-999.00,-999.00,-999.00,23.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.18,24.89,-999.00,-999.00,-999.00,24.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.87,25.44,-999.00,25.45,-999.00,25.46,-999.00,25.50,29.77,29.76,-999.00,-999.00
FGOALS-g2,25.68,24.86,22.66,-999.00,-999.00,24.88,22.66,-999.00,28.24,29.89,-999.00,-999.00
FGOALS-g3,26.97,26.52,-999.00,26.76,-999.00,26.54,-999.00,26.79,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.61,26.32,-999.00,-999.00,-999.00,26.34,-999.00,-999.00,29.57,30.81,-999.00,-999.00
GISS-E2-1-G,26.97,26.54,-999.00,26.75,28.08,26.56,-999.00,26.80,27.60,30.64,-999.00,-999.00
GISS-E2-R,27.44,27.10,24.72,-999.00,-999.00,27.11,24.72,-999.00,30.16,30.40,-999.00,-999.00
HadCM3,28.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.93,26.86,-999.00,-999.00,-999.00,26.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,27.33,27.32,-999.00,-999.00,-999.00,27.34,-999.00,-999.00,30.72,31.80,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,27.15,-999.00,27.69,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,26.24,25.85,24.46,25.94,-999.00,25.87,24.46,25.97,28.61,28.93,-999.00,-999.00
IPSL-CM5A-LR,25.28,25.02,22.25,-999.00,-999.00,25.04,22.25,-999.00,29.21,30.78,-999.00,-999.00
IPSL-CM6A-LR,26.19,25.71,-999.00,25.83,28.29,25.73,-999.00,25.88,30.60,33.47,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.45,25.92,24.39,25.84,-999.00,25.95,24.39,25.91,29.47,29.89,-999.00,-999.00
MIROC-ESM,25.66,25.22,23.55,-999.00,-999.00,25.24,23.54,-999.00,29.05,30.58,-999.00,-999.00
MPI-ESM1-2-LR,26.61,26.22,24.59,26.37,-999.00,26.25,-999.00,26.37,30.53,30.69,-999.00,-999.00
MPI-ESM-P,26.63,26.30,24.31,-999.00,-999.00,26.32,24.31,-999.00,30.51,31.68,-999.00,-999.00
MRI-CGCM3,26.41,26.19,23.81,-999.00,-999.00,26.21,23.81,-999.00,29.12,29.84,-999.00,-999.00
MRI-ESM2-0,27.26,26.87,-999.00,-999.00,-999.00,26.90,-999.00,-999.00,30.16,30.90,-999.00,-999.00
NESM3,26.27,26.00,-999.00,26.35,-999.00,26.01,-999.00,26.40,30.95,31.68,-999.00,-999.00
NorESM1-F,26.83,26.45,-999.00,26.49,28.01,26.47,-999.00,26.54,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.31,26.98,-999.00,26.94,-999.00,27.01,-999.00,27.00,30.01,32.24,-999.00,-999.00
UofT-CCSM-4,26.62,26.27,24.46,-999.00,-999.00,26.29,24.46,-999.00,-999.00,-999.00,-999.00,-999.00
