MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.71,-999.00,-999.00, 1.38,-999.00,-999.00,-999.00, 1.31, 2.12, 2.20,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.99, 0.91, 0.84,-999.00, 0.97, 0.89, 0.81,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.67, 1.59, 1.51,-999.00,-999.00, 1.54, 1.48,-999.00, 1.94, 1.84,-999.00,-999.00
CESM2, 1.40, 1.31,-999.00, 1.17,-999.00, 1.22,-999.00, 1.07, 1.70, 1.75,-999.00,-999.00
CNRM-CM5, 1.33, 1.32, 1.24,-999.00,-999.00, 1.28, 1.22,-999.00, 1.47, 1.50,-999.00,-999.00
CNRM-CM6-1, 1.17,-999.00,-999.00, 1.04,-999.00,-999.00,-999.00,-999.00, 1.37, 1.47,-999.00,-999.00
COSMOS-ASO, 0.85,-999.00, 1.02,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.59, 1.50,-999.00,-999.00,-999.00, 1.39,-999.00,-999.00, 1.62, 1.66,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.12, 1.05,-999.00,-999.00,-999.00, 0.96,-999.00,-999.00, 1.16,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.29, 1.25,-999.00,-999.00,-999.00, 1.21,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.28, 1.22,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.85, 0.80,-999.00, 0.71,-999.00, 0.73,-999.00, 0.63, 1.14, 1.20,-999.00,-999.00
FGOALS-g2, 0.94, 0.94, 1.16,-999.00,-999.00, 0.92, 1.15,-999.00, 0.99, 0.89,-999.00,-999.00
FGOALS-g3, 1.32, 1.11,-999.00, 1.11,-999.00, 1.09,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.15, 1.09,-999.00,-999.00,-999.00, 1.02,-999.00,-999.00, 1.27, 1.26,-999.00,-999.00
GISS-E2-1-G, 0.86, 0.79,-999.00, 0.70,-999.00, 0.76,-999.00, 0.67, 0.89, 0.82,-999.00,-999.00
GISS-E2-R, 0.82, 0.78, 0.82,-999.00,-999.00, 0.75, 0.80,-999.00, 1.00, 0.99,-999.00,-999.00
HadCM3, 1.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.24, 1.12,-999.00,-999.00,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.23, 1.11,-999.00,-999.00,-999.00, 1.09,-999.00,-999.00, 1.22, 1.19,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.48,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.34, 1.26, 1.21, 1.05,-999.00, 1.20, 1.19, 0.99, 1.34, 1.33,-999.00,-999.00
IPSL-CM5A-LR, 1.16, 1.07, 1.03,-999.00,-999.00, 0.99, 1.00,-999.00, 1.24, 1.27,-999.00,-999.00
IPSL-CM6A-LR, 1.68, 1.56,-999.00, 1.31,-999.00, 1.47,-999.00, 1.22, 1.99, 2.13,-999.00,-999.00
KCM1-2-2, 0.57, 0.48,-999.00,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.34, 1.26, 1.19,-999.00,-999.00, 1.23, 1.17, 1.12, 1.37, 1.36,-999.00,-999.00
MIROC-ESM, 1.19, 1.08, 1.16,-999.00,-999.00, 1.04, 1.14,-999.00, 1.34, 1.42,-999.00,-999.00
MPI-ESM1-2-LR, 1.02, 0.97, 0.93,-999.00,-999.00, 0.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.02, 1.00, 0.95,-999.00,-999.00, 0.97, 0.93,-999.00, 1.15, 1.30,-999.00,-999.00
MRI-CGCM3, 1.24, 1.16, 0.98,-999.00,-999.00, 1.12, 0.96,-999.00, 1.51, 1.52,-999.00,-999.00
MRI-ESM2-0, 1.16, 1.09,-999.00,-999.00,-999.00, 1.06,-999.00,-999.00, 1.37, 1.43,-999.00,-999.00
NESM3, 1.08, 1.02,-999.00, 0.94,-999.00, 0.99,-999.00, 0.88, 1.20, 1.22,-999.00,-999.00
NorESM1-F, 1.53, 1.42,-999.00, 1.20,-999.00, 1.37,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.00, 0.95,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00, 1.33, 1.49,-999.00,-999.00
UofT-CCSM-4, 1.67, 1.58, 1.70,-999.00,-999.00, 1.51, 1.66,-999.00,-999.00,-999.00,-999.00,-999.00
