MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.96,-999.00,-999.00, 3.93,-999.00,-999.00,-999.00, 3.41, 4.42, 4.64,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.80, 2.44, 2.41,-999.00, 2.61, 2.31, 2.10,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.38, 3.48, 2.83,-999.00,-999.00, 3.15, 2.70,-999.00, 3.61, 3.74,-999.00,-999.00
CESM2, 2.62, 2.67,-999.00, 2.59,-999.00, 2.35,-999.00, 2.07, 3.30, 4.05,-999.00,-999.00
CNRM-CM5, 2.67, 2.69, 2.44,-999.00,-999.00, 2.43, 2.34,-999.00, 2.78, 2.78,-999.00,-999.00
CNRM-CM6-1, 2.87,-999.00,-999.00, 2.39,-999.00,-999.00,-999.00,-999.00, 3.02, 3.19,-999.00,-999.00
COSMOS-ASO, 2.03,-999.00, 2.32,-999.00,-999.00,-999.00, 2.28,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.94, 2.06,-999.00,-999.00,-999.00, 1.72,-999.00,-999.00, 1.85, 2.13,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.47, 1.61,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.77,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.78, 2.85,-999.00,-999.00,-999.00, 2.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.43, 3.28,-999.00,-999.00,-999.00, 3.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.91, 1.83,-999.00, 1.68,-999.00, 1.59,-999.00, 1.34, 2.24, 2.28,-999.00,-999.00
FGOALS-g2, 2.28, 2.23, 2.37,-999.00,-999.00, 2.06, 2.33,-999.00, 2.03, 2.58,-999.00,-999.00
FGOALS-g3, 2.86, 2.56,-999.00, 2.52,-999.00, 2.38,-999.00, 2.15,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.52, 1.45,-999.00,-999.00,-999.00, 1.22,-999.00,-999.00, 1.32, 1.48,-999.00,-999.00
GISS-E2-1-G, 1.99, 1.90,-999.00, 1.69,-999.00, 1.74,-999.00, 1.45, 1.97, 2.34,-999.00,-999.00
GISS-E2-R, 1.82, 1.97, 1.79,-999.00,-999.00, 1.80, 1.69,-999.00, 2.24, 2.31,-999.00,-999.00
HadCM3, 3.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.87, 3.91,-999.00,-999.00,-999.00, 3.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.86, 3.90,-999.00,-999.00,-999.00, 3.72,-999.00,-999.00, 4.14, 4.28,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.86,-999.00, 3.16,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.35, 2.35, 2.20, 2.26,-999.00, 2.06, 2.09, 1.83, 2.09, 2.18,-999.00,-999.00
IPSL-CM5A-LR, 1.12, 1.01, 1.23,-999.00,-999.00, 0.82, 1.13,-999.00, 0.86, 0.93,-999.00,-999.00
IPSL-CM6A-LR, 2.51, 2.52,-999.00, 2.18,-999.00, 2.18,-999.00, 1.67, 2.52, 2.25,-999.00,-999.00
KCM1-2-2, 3.87, 3.68,-999.00,-999.00,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.82, 2.99, 2.51,-999.00,-999.00, 2.79, 2.43, 2.44, 3.01, 2.96,-999.00,-999.00
MIROC-ESM, 2.58, 2.67, 2.48,-999.00,-999.00, 2.44, 2.38,-999.00, 2.25, 2.40,-999.00,-999.00
MPI-ESM1-2-LR, 3.03, 2.71, 2.90,-999.00,-999.00, 2.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.78, 2.84, 2.65,-999.00,-999.00, 2.62, 2.55,-999.00, 2.85, 2.92,-999.00,-999.00
MRI-CGCM3, 3.30, 3.33, 2.61,-999.00,-999.00, 3.07, 2.50,-999.00, 3.94, 3.90,-999.00,-999.00
MRI-ESM2-0, 3.21, 3.05,-999.00,-999.00,-999.00, 2.82,-999.00,-999.00, 3.82, 4.08,-999.00,-999.00
NESM3, 2.90, 2.66,-999.00, 2.03,-999.00, 2.49,-999.00, 1.74, 2.24, 2.07,-999.00,-999.00
NorESM1-F, 2.77, 2.88,-999.00, 2.75,-999.00, 2.56,-999.00, 2.28,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.52, 2.49,-999.00,-999.00,-999.00, 2.27,-999.00,-999.00, 2.97, 4.00,-999.00,-999.00
UofT-CCSM-4, 3.01, 3.13, 3.31,-999.00,-999.00, 2.79, 3.18,-999.00,-999.00,-999.00,-999.00,-999.00
