MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.55,-999.00,-999.00, 3.73,-999.00,-999.00,-999.00, 3.76, 4.84, 4.78,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.35, 4.58, 3.60,-999.00, 4.35, 4.58, 3.64,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.06, 4.06, 4.65,-999.00,-999.00, 4.06, 4.65,-999.00, 4.29, 4.32,-999.00,-999.00
CESM2, 4.37, 4.26,-999.00, 3.48, 4.30, 4.27,-999.00, 3.53, 4.40, 4.35,-999.00,-999.00
CNRM-CM5, 4.43, 4.30, 4.70,-999.00,-999.00, 4.30, 4.70,-999.00, 4.55, 4.64,-999.00,-999.00
CNRM-CM6-1, 4.05,-999.00,-999.00, 3.13,-999.00,-999.00,-999.00, 3.17, 4.59, 4.63,-999.00,-999.00
COSMOS-ASO, 4.59,-999.00, 4.43,-999.00,-999.00,-999.00, 4.43,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.68, 4.60,-999.00,-999.00,-999.00, 4.61,-999.00,-999.00, 4.66, 4.81,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.96, 4.78,-999.00,-999.00,-999.00, 4.79,-999.00,-999.00, 4.98,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.01, 3.92,-999.00,-999.00,-999.00, 3.93,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.28, 4.14,-999.00,-999.00,-999.00, 4.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.13, 4.06,-999.00, 3.30,-999.00, 4.05,-999.00, 3.34, 4.25, 4.23,-999.00,-999.00
FGOALS-g2, 3.82, 3.61, 3.68,-999.00,-999.00, 3.62, 3.68,-999.00, 3.95, 4.26,-999.00,-999.00
FGOALS-g3, 4.22, 4.46,-999.00, 3.63,-999.00, 4.46,-999.00, 3.66,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.16, 4.10,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00, 4.65, 4.67,-999.00,-999.00
GISS-E2-1-G, 4.46, 4.42,-999.00, 3.67, 4.64, 4.42,-999.00, 3.71, 4.54, 4.71,-999.00,-999.00
GISS-E2-R, 4.45, 4.16, 4.50,-999.00,-999.00, 4.17, 4.50,-999.00, 4.40, 4.36,-999.00,-999.00
HadCM3, 5.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.58, 4.52,-999.00,-999.00,-999.00, 4.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.63, 4.48,-999.00,-999.00,-999.00, 4.48,-999.00,-999.00, 5.09, 5.34,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.35,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.71, 4.70, 4.84, 4.01,-999.00, 4.71, 4.84, 4.04, 4.92, 4.95,-999.00,-999.00
IPSL-CM5A-LR, 4.54, 4.48, 4.21,-999.00,-999.00, 4.49, 4.21,-999.00, 5.43, 5.59,-999.00,-999.00
IPSL-CM6A-LR, 4.31, 4.17,-999.00, 3.34, 4.49, 4.18,-999.00, 3.38, 4.80, 4.99,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.91, 3.77, 3.98, 2.83,-999.00, 3.78, 3.98, 2.86, 4.12, 4.12,-999.00,-999.00
MIROC-ESM, 4.15, 4.00, 4.22,-999.00,-999.00, 4.01, 4.22,-999.00, 4.17, 4.35,-999.00,-999.00
MPI-ESM1-2-LR, 4.48, 4.39, 4.62, 4.49,-999.00, 4.40,-999.00, 4.51, 4.67, 4.76,-999.00,-999.00
MPI-ESM-P, 4.19, 4.04, 4.31,-999.00,-999.00, 4.05, 4.31,-999.00, 4.52, 4.55,-999.00,-999.00
MRI-CGCM3, 4.29, 4.15, 4.70,-999.00,-999.00, 4.15, 4.70,-999.00, 4.21, 4.31,-999.00,-999.00
MRI-ESM2-0, 4.39, 4.22,-999.00,-999.00,-999.00, 4.22,-999.00,-999.00, 4.53, 4.59,-999.00,-999.00
NESM3, 5.30, 5.32,-999.00, 4.61,-999.00, 5.33,-999.00, 4.64, 5.82, 5.88,-999.00,-999.00
NorESM1-F, 4.28, 4.14,-999.00, 3.30, 3.95, 4.14,-999.00, 3.34,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.61, 4.44,-999.00, 3.67,-999.00, 4.45,-999.00, 3.71, 4.58, 4.58,-999.00,-999.00
UofT-CCSM-4, 4.19, 4.08, 4.37,-999.00,-999.00, 4.09, 4.37,-999.00,-999.00,-999.00,-999.00,-999.00
