MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,17.39,-999.00,-999.00,19.20,-999.00,-999.00,-999.00,18.37,21.46,22.19,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,16.92,14.58,18.27,-999.00,16.56,14.62,17.56,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,17.21,18.05,14.04,-999.00,-999.00,17.77,14.07,-999.00,21.83,22.38,-999.00,-999.00
CESM2,18.87,19.78,-999.00,20.48,23.30,19.49,-999.00,19.86,23.71,25.43,-999.00,-999.00
CNRM-CM5,16.46,17.55,14.51,-999.00,-999.00,17.21,14.55,-999.00,20.51,22.05,-999.00,-999.00
CNRM-CM6-1,16.63,-999.00,-999.00,19.40,-999.00,-999.00,-999.00,18.84,21.90,22.99,-999.00,-999.00
COSMOS-ASO,19.07,-999.00,13.76,-999.00,-999.00,-999.00,13.80,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,17.89,18.94,-999.00,-999.00,-999.00,18.62,-999.00,-999.00,21.94,23.56,-999.00,-999.00
CSIRO-Mk3L-1-2,19.33,20.19,-999.00,-999.00,-999.00,19.80,-999.00,-999.00,22.47,-999.00,-999.00,-999.00
EC-EARTH-2-2,14.82,15.72,-999.00,-999.00,-999.00,15.40,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,16.84,17.95,-999.00,-999.00,-999.00,17.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,17.45,18.30,-999.00,19.05,-999.00,17.95,-999.00,18.41,22.02,22.20,-999.00,-999.00
FGOALS-g2,14.85,15.31,12.89,-999.00,-999.00,15.02,12.91,-999.00,18.97,19.51,-999.00,-999.00
FGOALS-g3,16.69,18.08,-999.00,19.11,-999.00,17.71,-999.00,18.39,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,18.03,19.30,-999.00,-999.00,-999.00,18.99,-999.00,-999.00,22.87,24.05,-999.00,-999.00
GISS-E2-1-G,18.01,18.83,-999.00,19.99,19.58,18.49,-999.00,19.34,18.47,22.27,-999.00,-999.00
GISS-E2-R,19.15,20.13,16.36,-999.00,-999.00,19.77,16.39,-999.00,21.63,22.06,-999.00,-999.00
HadCM3,16.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,15.86,16.90,-999.00,-999.00,-999.00,16.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,16.00,17.39,-999.00,-999.00,-999.00,17.03,-999.00,-999.00,20.86,22.44,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,18.32,-999.00,19.33,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,17.15,17.84,15.08,18.40,-999.00,17.47,15.12,17.56,20.65,20.91,-999.00,-999.00
IPSL-CM5A-LR,16.84,18.13,13.32,-999.00,-999.00,17.77,13.35,-999.00,21.98,24.12,-999.00,-999.00
IPSL-CM6A-LR,16.56,17.42,-999.00,18.52,18.95,17.08,-999.00,17.84,22.57,26.31,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,20.88,21.30,18.12,21.68,-999.00,20.99,18.15,21.17,24.00,24.71,-999.00,-999.00
MIROC-ESM,17.31,18.02,14.37,-999.00,-999.00,17.67,14.41,-999.00,21.91,23.85,-999.00,-999.00
MPI-ESM1-2-LR,16.54,17.83,14.17,21.65,-999.00,17.48,-999.00,22.74,22.46,22.46,-999.00,-999.00
MPI-ESM-P,16.79,17.58,13.86,-999.00,-999.00,17.23,13.89,-999.00,21.89,23.27,-999.00,-999.00
MRI-CGCM3,17.42,18.24,13.89,-999.00,-999.00,17.90,13.93,-999.00,20.22,21.18,-999.00,-999.00
MRI-ESM2-0,16.83,17.96,-999.00,-999.00,-999.00,17.62,-999.00,-999.00,20.55,21.55,-999.00,-999.00
NESM3,16.44,17.90,-999.00,20.31,-999.00,17.43,-999.00,19.29,23.72,24.92,-999.00,-999.00
NorESM1-F,18.24,19.02,-999.00,19.47,19.76,18.70,-999.00,18.86,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,19.09,19.93,-999.00,20.65,-999.00,19.60,-999.00,19.95,21.71,24.03,-999.00,-999.00
UofT-CCSM-4,16.96,17.86,13.42,-999.00,-999.00,17.56,13.45,-999.00,-999.00,-999.00,-999.00,-999.00
