MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.10,-999.00,-999.00, 2.36,-999.00,-999.00,-999.00, 2.33, 2.30, 2.43,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.17, 1.83, 2.35,-999.00, 2.15, 1.82, 2.32,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.63, 1.87, 1.37,-999.00,-999.00, 1.85, 1.36,-999.00, 2.07, 1.87,-999.00,-999.00
CESM2, 1.77, 1.91,-999.00, 1.98,-999.00, 1.90,-999.00, 1.98, 2.33, 2.74,-999.00,-999.00
CNRM-CM5, 1.36, 1.49, 1.32,-999.00,-999.00, 1.47, 1.31,-999.00, 1.82, 1.96,-999.00,-999.00
CNRM-CM6-1, 1.32,-999.00,-999.00, 1.66,-999.00,-999.00,-999.00,-999.00, 1.69, 1.90,-999.00,-999.00
COSMOS-ASO, 1.07,-999.00, 1.11,-999.00,-999.00,-999.00, 1.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.49, 1.95,-999.00,-999.00,-999.00, 1.93,-999.00,-999.00, 1.86, 2.11,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.72, 2.15,-999.00,-999.00,-999.00, 2.13,-999.00,-999.00, 2.04,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.17, 1.39,-999.00,-999.00,-999.00, 1.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.46, 1.63,-999.00,-999.00,-999.00, 1.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.65, 1.80,-999.00, 1.88,-999.00, 1.78,-999.00, 1.87, 2.03, 2.07,-999.00,-999.00
FGOALS-g2, 1.29, 1.60, 1.71,-999.00,-999.00, 1.57, 1.70,-999.00, 1.35, 1.45,-999.00,-999.00
FGOALS-g3, 1.97, 2.24,-999.00, 2.45,-999.00, 2.16,-999.00, 2.37,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.46, 1.61,-999.00,-999.00,-999.00, 1.57,-999.00,-999.00, 1.87, 2.04,-999.00,-999.00
GISS-E2-1-G, 1.72, 1.78,-999.00, 1.71,-999.00, 1.77,-999.00, 1.69, 1.76, 2.39,-999.00,-999.00
GISS-E2-R, 1.19, 1.29, 1.25,-999.00,-999.00, 1.29, 1.25,-999.00, 1.64, 1.76,-999.00,-999.00
HadCM3, 1.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.08, 2.16,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.07, 2.15,-999.00,-999.00,-999.00, 2.12,-999.00,-999.00, 2.34, 2.51,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.75,-999.00, 2.08,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.24, 1.39, 1.06, 1.63,-999.00, 1.39, 1.05, 1.62, 1.57, 1.58,-999.00,-999.00
IPSL-CM5A-LR, 1.18, 1.14, 1.07,-999.00,-999.00, 1.13, 1.07,-999.00, 1.70, 1.92,-999.00,-999.00
IPSL-CM6A-LR, 1.19, 1.35,-999.00, 1.38,-999.00, 1.31,-999.00, 1.35, 1.14, 1.18,-999.00,-999.00
KCM1-2-2, 0.75, 0.71,-999.00,-999.00,-999.00, 0.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.60, 1.71, 1.33,-999.00,-999.00, 1.70, 1.33, 1.75, 1.44, 1.40,-999.00,-999.00
MIROC-ESM, 0.95, 1.04, 1.18,-999.00,-999.00, 1.03, 1.17,-999.00, 0.97, 1.24,-999.00,-999.00
MPI-ESM1-2-LR, 2.07, 2.25, 1.91,-999.00,-999.00, 2.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.79, 1.84, 1.43,-999.00,-999.00, 1.81, 1.41,-999.00, 2.28, 2.63,-999.00,-999.00
MRI-CGCM3, 1.79, 1.72, 1.48,-999.00,-999.00, 1.67, 1.45,-999.00, 2.41, 2.51,-999.00,-999.00
MRI-ESM2-0, 1.68, 1.72,-999.00,-999.00,-999.00, 1.70,-999.00,-999.00, 2.02, 2.35,-999.00,-999.00
NESM3, 2.58, 2.84,-999.00, 3.00,-999.00, 2.74,-999.00, 2.88, 3.34, 3.51,-999.00,-999.00
NorESM1-F, 1.83, 2.10,-999.00, 2.17,-999.00, 2.08,-999.00, 2.16,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.13, 2.26,-999.00,-999.00,-999.00, 2.25,-999.00,-999.00, 2.16, 2.73,-999.00,-999.00
UofT-CCSM-4, 1.39, 1.57, 1.18,-999.00,-999.00, 1.56, 1.18,-999.00,-999.00,-999.00,-999.00,-999.00
