MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.00,-999.00,-999.00, 1.65,-999.00,-999.00,-999.00, 1.62, 1.26, 1.34,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.79, 0.55, 0.97,-999.00, 0.79, 0.54, 0.97,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.72, 0.88, 0.50,-999.00,-999.00, 0.88, 0.50,-999.00, 0.73, 0.71,-999.00,-999.00
CESM2, 0.77, 0.99,-999.00, 1.31,-999.00, 0.99,-999.00, 1.30, 0.82, 0.85,-999.00,-999.00
CNRM-CM5, 0.64, 0.82, 0.61,-999.00,-999.00, 0.82, 0.60,-999.00, 0.78, 0.84,-999.00,-999.00
CNRM-CM6-1, 0.60,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00, 0.67, 0.69,-999.00,-999.00
COSMOS-ASO, 0.39,-999.00, 0.40,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.51, 0.63,-999.00,-999.00,-999.00, 0.62,-999.00,-999.00, 0.47, 0.55,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.46, 0.52,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.45, 0.51,-999.00,-999.00,-999.00, 0.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.45, 0.58,-999.00,-999.00,-999.00, 0.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.27, 0.32,-999.00, 0.37,-999.00, 0.31,-999.00, 0.37, 0.31, 0.30,-999.00,-999.00
FGOALS-g2, 0.41, 0.45, 0.25,-999.00,-999.00, 0.44, 0.25,-999.00, 0.53, 0.50,-999.00,-999.00
FGOALS-g3, 0.37, 0.45,-999.00, 0.68,-999.00, 0.44,-999.00, 0.69,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.25, 0.40,-999.00,-999.00,-999.00, 0.40,-999.00,-999.00, 0.36, 0.40,-999.00,-999.00
GISS-E2-1-G, 0.30, 0.35,-999.00, 0.34,-999.00, 0.35,-999.00, 0.34, 0.35, 0.36,-999.00,-999.00
GISS-E2-R, 0.32, 0.43, 0.24,-999.00,-999.00, 0.43, 0.24,-999.00, 0.30, 0.30,-999.00,-999.00
HadCM3, 0.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.22, 1.45,-999.00,-999.00,-999.00, 1.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.20, 1.38,-999.00,-999.00,-999.00, 1.37,-999.00,-999.00, 1.26, 1.35,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.77,-999.00, 0.99,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.66, 0.69, 0.46, 0.88,-999.00, 0.68, 0.46, 0.88, 0.80, 0.85,-999.00,-999.00
IPSL-CM5A-LR, 0.23, 0.29, 0.19,-999.00,-999.00, 0.29, 0.19,-999.00, 0.24, 0.26,-999.00,-999.00
IPSL-CM6A-LR, 0.33, 0.38,-999.00, 0.53,-999.00, 0.38,-999.00, 0.52, 0.39, 0.61,-999.00,-999.00
KCM1-2-2, 0.19, 0.17,-999.00,-999.00,-999.00, 0.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.60, 0.64, 0.37,-999.00,-999.00, 0.64, 0.37, 0.71, 0.70, 0.72,-999.00,-999.00
MIROC-ESM, 0.92, 1.03, 0.50,-999.00,-999.00, 1.04, 0.49,-999.00, 1.19, 1.18,-999.00,-999.00
MPI-ESM1-2-LR, 0.51, 0.69, 0.46,-999.00,-999.00, 0.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.58, 0.79, 0.46,-999.00,-999.00, 0.79, 0.45,-999.00, 0.49, 0.51,-999.00,-999.00
MRI-CGCM3, 0.45, 0.58, 0.35,-999.00,-999.00, 0.58, 0.35,-999.00, 0.56, 0.57,-999.00,-999.00
MRI-ESM2-0, 0.60, 0.75,-999.00,-999.00,-999.00, 0.75,-999.00,-999.00, 0.65, 0.66,-999.00,-999.00
NESM3, 0.50, 0.68,-999.00, 0.82,-999.00, 0.68,-999.00, 0.82, 0.48, 0.50,-999.00,-999.00
NorESM1-F, 0.70, 0.96,-999.00, 1.29,-999.00, 0.96,-999.00, 1.30,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.54, 0.68,-999.00,-999.00,-999.00, 0.67,-999.00,-999.00, 0.66, 0.73,-999.00,-999.00
UofT-CCSM-4, 0.63, 0.75, 0.50,-999.00,-999.00, 0.75, 0.49,-999.00,-999.00,-999.00,-999.00,-999.00
