MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.32,-999.00,-999.00, 2.77,-999.00,-999.00,-999.00, 2.38, 7.40, 8.71,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-0.77,-1.47, 0.89,-999.00,-0.62,-1.50, 0.61,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-0.01,-1.86,-3.74,-999.00,-999.00,-1.70,-3.78,-999.00, 5.90, 6.09,-999.00,-999.00
CESM2, 3.88, 2.09,-999.00, 3.15, 9.19, 2.21,-999.00, 2.90,10.32,12.69,-999.00,-999.00
CNRM-CM5,-2.41,-3.63,-5.19,-999.00,-999.00,-3.50,-5.22,-999.00, 2.28, 3.56,-999.00,-999.00
CNRM-CM6-1,-4.28,-999.00,-999.00,-4.27,-999.00,-999.00,-999.00,-4.59, 3.31, 4.52,-999.00,-999.00
COSMOS-ASO, 4.05,-999.00, 0.39,-999.00,-999.00,-999.00, 0.36,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.48,-0.84,-999.00,-999.00,-999.00,-0.69,-999.00,-999.00, 4.88, 6.66,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.42,-0.98,-999.00,-999.00,-999.00,-0.85,-999.00,-999.00, 4.06,-999.00,-999.00,-999.00
EC-EARTH-2-2,-2.07,-3.58,-999.00,-999.00,-999.00,-3.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-1.33,-2.87,-999.00,-999.00,-999.00,-2.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-2.72,-4.61,-999.00,-3.57,-999.00,-4.50,-999.00,-3.89, 4.77, 4.19,-999.00,-999.00
FGOALS-g2,-4.29,-6.56,-7.86,-999.00,-999.00,-6.41,-7.89,-999.00, 1.42, 3.23,-999.00,-999.00
FGOALS-g3,-3.65,-5.78,-999.00,-4.03,-999.00,-5.60,-999.00,-4.38,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.49,-0.85,-999.00,-999.00,-999.00,-0.71,-999.00,-999.00, 7.41, 8.74,-999.00,-999.00
GISS-E2-1-G, 0.52,-1.26,-999.00,-0.14, 2.09,-1.15,-999.00,-0.38, 1.99, 6.11,-999.00,-999.00
GISS-E2-R, 0.08,-1.61,-5.25,-999.00,-999.00,-1.50,-5.28,-999.00, 4.78, 5.02,-999.00,-999.00
HadCM3, 0.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.44,-0.48,-999.00,-999.00,-999.00,-0.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.82, 0.16,-999.00,-999.00,-999.00, 0.31,-999.00,-999.00, 7.59, 9.13,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.13,-999.00, 1.62,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.56,-0.32,-3.21, 1.14,-999.00,-0.20,-3.25, 0.88, 5.71, 6.15,-999.00,-999.00
IPSL-CM5A-LR,-3.86,-5.36,-8.19,-999.00,-999.00,-5.24,-8.22,-999.00, 2.36, 5.18,-999.00,-999.00
IPSL-CM6A-LR,-5.46,-7.43,-999.00,-5.99,-1.63,-7.29,-999.00,-6.30, 1.62, 7.89,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.36, 0.19,-2.89, 1.70,-999.00, 0.34,-2.93, 1.38, 8.06, 8.56,-999.00,-999.00
MIROC-ESM,-2.35,-5.51,-9.86,-999.00,-999.00,-5.31,-9.90,-999.00, 5.82, 8.63,-999.00,-999.00
MPI-ESM1-2-LR, 1.64,-0.24,-1.36,11.98,-999.00,-0.11,-999.00,12.01, 7.28, 7.57,-999.00,-999.00
MPI-ESM-P, 1.98, 0.34,-1.15,-999.00,-999.00, 0.45,-1.18,-999.00, 7.11, 9.18,-999.00,-999.00
MRI-CGCM3,-1.07,-2.46,-4.06,-999.00,-999.00,-2.31,-4.09,-999.00, 3.47, 4.79,-999.00,-999.00
MRI-ESM2-0, 0.49,-1.06,-999.00,-999.00,-999.00,-0.92,-999.00,-999.00, 4.02, 5.36,-999.00,-999.00
NESM3, 1.28,-0.88,-999.00, 0.14,-999.00,-0.74,-999.00,-0.17, 8.26, 9.23,-999.00,-999.00
NorESM1-F, 2.31, 0.18,-999.00, 1.65, 4.93, 0.33,-999.00, 1.34,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.85, 2.05,-999.00, 2.98,-999.00, 2.17,-999.00, 2.73, 9.56,12.96,-999.00,-999.00
UofT-CCSM-4,-1.11,-3.22,-2.39,-999.00,-999.00,-3.07,-2.42,-999.00,-999.00,-999.00,-999.00,-999.00
