MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.85,-999.00,-999.00, 4.87,-999.00,-999.00,-999.00, 4.54, 4.09, 4.03,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.94, 2.93, 4.30,-999.00, 3.61, 2.67, 4.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.12, 4.47, 3.57,-999.00,-999.00, 4.23, 3.38,-999.00, 4.53, 4.46,-999.00,-999.00
CESM2, 3.86, 4.25,-999.00, 4.70,-999.00, 3.99,-999.00, 4.47, 3.64, 3.41,-999.00,-999.00
CNRM-CM5, 3.71, 4.11, 3.86,-999.00,-999.00, 3.88, 3.62,-999.00, 3.97, 3.87,-999.00,-999.00
CNRM-CM6-1, 3.12,-999.00,-999.00, 4.64,-999.00,-999.00,-999.00,-999.00, 3.42, 3.25,-999.00,-999.00
COSMOS-ASO, 3.01,-999.00, 2.63,-999.00,-999.00,-999.00, 2.47,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.36, 4.13,-999.00,-999.00,-999.00, 3.75,-999.00,-999.00, 3.91, 3.79,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.75, 2.77,-999.00,-999.00,-999.00, 2.50,-999.00,-999.00, 2.41,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.10, 3.62,-999.00,-999.00,-999.00, 3.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.15, 3.66,-999.00,-999.00,-999.00, 3.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.43, 2.76,-999.00, 3.02,-999.00, 2.54,-999.00, 2.84, 2.93, 2.88,-999.00,-999.00
FGOALS-g2, 3.82, 4.10, 3.87,-999.00,-999.00, 3.97, 3.76,-999.00, 4.22, 3.75,-999.00,-999.00
FGOALS-g3, 3.43, 3.40,-999.00, 3.74,-999.00, 3.22,-999.00, 3.59,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.48, 2.60,-999.00,-999.00,-999.00, 2.50,-999.00,-999.00, 2.94, 2.80,-999.00,-999.00
GISS-E2-1-G, 3.01, 3.37,-999.00, 3.56,-999.00, 3.28,-999.00, 3.51, 2.94, 2.75,-999.00,-999.00
GISS-E2-R, 4.33, 4.58, 3.62,-999.00,-999.00, 4.39, 3.44,-999.00, 4.48, 4.51,-999.00,-999.00
HadCM3, 4.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.88, 3.48,-999.00,-999.00,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.95, 3.56,-999.00,-999.00,-999.00, 3.34,-999.00,-999.00, 3.04, 3.03,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.38,-999.00, 3.99,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.77, 3.52, 2.12, 4.17,-999.00, 3.36, 2.03, 3.98, 3.17, 3.34,-999.00,-999.00
IPSL-CM5A-LR, 3.74, 4.23, 3.44,-999.00,-999.00, 4.03, 3.27,-999.00, 3.75, 3.71,-999.00,-999.00
IPSL-CM6A-LR, 3.80, 4.22,-999.00, 4.63,-999.00, 4.11,-999.00, 4.55, 4.32, 4.59,-999.00,-999.00
KCM1-2-2, 1.47, 1.20,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.69, 5.23, 4.10,-999.00,-999.00, 4.91, 3.90, 5.50, 4.95, 4.88,-999.00,-999.00
MIROC-ESM, 5.01, 5.15, 4.01,-999.00,-999.00, 4.84, 3.80,-999.00, 5.54, 5.34,-999.00,-999.00
MPI-ESM1-2-LR, 3.18, 3.98, 3.19,-999.00,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.56, 3.99, 3.47,-999.00,-999.00, 3.67, 3.20,-999.00, 3.84, 3.64,-999.00,-999.00
MRI-CGCM3, 2.73, 3.09, 2.36,-999.00,-999.00, 2.81, 2.12,-999.00, 3.05, 3.09,-999.00,-999.00
MRI-ESM2-0, 3.90, 4.34,-999.00,-999.00,-999.00, 3.95,-999.00,-999.00, 3.86, 3.80,-999.00,-999.00
NESM3, 3.75, 4.67,-999.00, 5.43,-999.00, 4.28,-999.00, 5.02, 5.26, 5.39,-999.00,-999.00
NorESM1-F, 4.56, 4.76,-999.00, 4.94,-999.00, 4.49,-999.00, 4.66,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.10, 3.34,-999.00,-999.00,-999.00, 3.09,-999.00,-999.00, 3.48, 3.35,-999.00,-999.00
UofT-CCSM-4, 4.02, 4.36, 3.76,-999.00,-999.00, 4.11, 3.55,-999.00,-999.00,-999.00,-999.00,-999.00
