MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.60,-999.00,-999.00, 2.57,-999.00,-999.00,-999.00, 2.22, 1.74, 1.58,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.37, 1.04, 2.60,-999.00, 2.10, 0.93, 2.19,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.45, 1.90, 1.27,-999.00,-999.00, 1.71, 1.19,-999.00, 1.60, 1.40,-999.00,-999.00
CESM2, 1.60, 2.18,-999.00, 2.92,-999.00, 2.00,-999.00, 2.61, 1.39, 1.10,-999.00,-999.00
CNRM-CM5, 1.73, 2.49, 1.89,-999.00,-999.00, 2.30, 1.74,-999.00, 1.86, 1.75,-999.00,-999.00
CNRM-CM6-1, 1.68,-999.00,-999.00, 3.16,-999.00,-999.00,-999.00,-999.00, 1.81, 1.50,-999.00,-999.00
COSMOS-ASO, 1.18,-999.00, 1.11,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.57, 2.51,-999.00,-999.00,-999.00, 2.20,-999.00,-999.00, 2.37, 2.13,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.19, 1.53,-999.00,-999.00,-999.00, 1.37,-999.00,-999.00, 1.00,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.34, 2.02,-999.00,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.39, 2.04,-999.00,-999.00,-999.00, 2.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.98, 1.65,-999.00, 2.10,-999.00, 1.47,-999.00, 1.83, 1.20, 1.18,-999.00,-999.00
FGOALS-g2, 1.19, 1.73, 0.99,-999.00,-999.00, 1.64, 0.96,-999.00, 1.62, 0.99,-999.00,-999.00
FGOALS-g3, 1.11, 1.44,-999.00, 2.03,-999.00, 1.33,-999.00, 1.83,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.93, 1.15,-999.00,-999.00,-999.00, 1.10,-999.00,-999.00, 1.24, 1.17,-999.00,-999.00
GISS-E2-1-G, 1.06, 1.65,-999.00, 1.89,-999.00, 1.60,-999.00, 1.79, 0.98, 0.84,-999.00,-999.00
GISS-E2-R, 1.16, 1.91, 0.96,-999.00,-999.00, 1.80, 0.90,-999.00, 1.10, 1.07,-999.00,-999.00
HadCM3, 1.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.14, 1.80,-999.00,-999.00,-999.00, 1.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.28, 1.84,-999.00,-999.00,-999.00, 1.74,-999.00,-999.00, 1.28, 1.23,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.80,-999.00, 2.32,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.10, 2.08, 0.73, 2.58,-999.00, 1.96, 0.68, 2.29, 1.38, 1.46,-999.00,-999.00
IPSL-CM5A-LR, 1.24, 1.86, 1.26,-999.00,-999.00, 1.76, 1.20,-999.00, 1.28, 1.18,-999.00,-999.00
IPSL-CM6A-LR, 1.52, 2.26,-999.00, 2.67,-999.00, 2.19,-999.00, 2.52, 1.67, 1.60,-999.00,-999.00
KCM1-2-2, 0.31, 0.29,-999.00,-999.00,-999.00, 0.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.92, 2.71, 1.40,-999.00,-999.00, 2.56, 1.33, 2.69, 2.04, 1.99,-999.00,-999.00
MIROC-ESM, 1.40, 1.96, 1.22,-999.00,-999.00, 1.79, 1.16,-999.00, 1.53, 1.35,-999.00,-999.00
MPI-ESM1-2-LR, 1.40, 2.38, 1.23,-999.00,-999.00, 2.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.52, 2.20, 1.33,-999.00,-999.00, 1.98, 1.20,-999.00, 1.75, 1.70,-999.00,-999.00
MRI-CGCM3, 1.14, 1.61, 1.00,-999.00,-999.00, 1.44, 0.90,-999.00, 1.16, 1.12,-999.00,-999.00
MRI-ESM2-0, 1.25, 1.88,-999.00,-999.00,-999.00, 1.66,-999.00,-999.00, 1.22, 1.16,-999.00,-999.00
NESM3, 2.00, 3.18,-999.00, 3.77,-999.00, 2.87,-999.00, 3.29, 3.29, 3.42,-999.00,-999.00
NorESM1-F, 1.22, 1.73,-999.00, 2.25,-999.00, 1.55,-999.00, 1.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.48, 1.85,-999.00,-999.00,-999.00, 1.69,-999.00,-999.00, 1.51, 1.35,-999.00,-999.00
UofT-CCSM-4, 1.50, 1.96, 1.38,-999.00,-999.00, 1.75, 1.28,-999.00,-999.00,-999.00,-999.00,-999.00
