MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.74,-999.00,-999.00, 5.05,-999.00,-999.00,-999.00, 5.22, 5.08, 4.95,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.57, 3.59, 4.63,-999.00, 5.37, 3.26, 4.94,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.11, 6.04, 4.19,-999.00,-999.00, 5.83, 3.96,-999.00, 5.71, 5.55,-999.00,-999.00
CESM2, 4.38, 5.19,-999.00, 4.67,-999.00, 5.05,-999.00, 5.15, 4.35, 3.73,-999.00,-999.00
CNRM-CM5, 4.51, 5.50, 4.66,-999.00,-999.00, 5.45, 4.36,-999.00, 4.96, 4.81,-999.00,-999.00
CNRM-CM6-1, 4.68,-999.00,-999.00, 5.97,-999.00,-999.00,-999.00,-999.00, 5.15, 4.77,-999.00,-999.00
COSMOS-ASO, 3.99,-999.00, 3.42,-999.00,-999.00,-999.00, 3.22,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.02, 4.54,-999.00,-999.00,-999.00, 4.34,-999.00,-999.00, 4.54, 4.61,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.52, 3.92,-999.00,-999.00,-999.00, 3.68,-999.00,-999.00, 3.19,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.96, 5.04,-999.00,-999.00,-999.00, 5.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.34, 5.45,-999.00,-999.00,-999.00, 5.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.92, 3.64,-999.00, 2.70,-999.00, 3.55,-999.00, 3.11, 3.58, 3.53,-999.00,-999.00
FGOALS-g2, 4.71, 5.25, 4.56,-999.00,-999.00, 5.24, 4.42,-999.00, 5.57, 4.76,-999.00,-999.00
FGOALS-g3, 4.07, 4.11,-999.00, 3.39,-999.00, 4.00,-999.00, 3.64,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.06, 3.42,-999.00,-999.00,-999.00, 3.39,-999.00,-999.00, 4.18, 3.95,-999.00,-999.00
GISS-E2-1-G, 3.82, 4.51,-999.00, 3.61,-999.00, 4.55,-999.00, 4.13, 3.67, 3.59,-999.00,-999.00
GISS-E2-R, 5.28, 5.95, 4.31,-999.00,-999.00, 5.91, 4.10,-999.00, 5.45, 5.38,-999.00,-999.00
HadCM3, 5.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.53, 4.65,-999.00,-999.00,-999.00, 4.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.61, 4.88,-999.00,-999.00,-999.00, 4.80,-999.00,-999.00, 3.85, 3.88,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.75,-999.00, 5.07,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.16, 4.90, 2.46, 4.95,-999.00, 4.94, 2.36, 5.43, 4.16, 4.47,-999.00,-999.00
IPSL-CM5A-LR, 4.92, 6.06, 4.27,-999.00,-999.00, 5.93, 4.06,-999.00, 5.12, 5.04,-999.00,-999.00
IPSL-CM6A-LR, 4.69, 5.53,-999.00, 5.22,-999.00, 5.59,-999.00, 5.73, 5.88, 6.48,-999.00,-999.00
KCM1-2-2, 1.47, 1.20,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.42, 7.44, 5.56,-999.00,-999.00, 7.34, 5.29, 7.17, 6.72, 6.61,-999.00,-999.00
MIROC-ESM, 5.72, 6.11, 4.33,-999.00,-999.00, 5.89, 4.07,-999.00, 6.63, 6.32,-999.00,-999.00
MPI-ESM1-2-LR, 4.24, 5.91, 4.05,-999.00,-999.00, 5.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 4.87, 5.74, 4.44,-999.00,-999.00, 5.52, 4.10,-999.00, 5.56, 5.51,-999.00,-999.00
MRI-CGCM3, 3.55, 4.05, 2.79,-999.00,-999.00, 3.84, 2.50,-999.00, 3.99, 4.00,-999.00,-999.00
MRI-ESM2-0, 4.55, 5.57,-999.00,-999.00,-999.00, 5.20,-999.00,-999.00, 4.92, 4.91,-999.00,-999.00
NESM3, 5.27, 7.61,-999.00, 7.20,-999.00, 7.23,-999.00, 7.51, 8.93, 9.27,-999.00,-999.00
NorESM1-F, 5.06, 5.73,-999.00, 5.66,-999.00, 5.49,-999.00, 5.74,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.79, 4.20,-999.00,-999.00,-999.00, 4.01,-999.00,-999.00, 4.43, 3.94,-999.00,-999.00
UofT-CCSM-4, 5.06, 5.91, 4.16,-999.00,-999.00, 5.69, 3.92,-999.00,-999.00,-999.00,-999.00,-999.00
