MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.88,-999.00,-999.00, 5.02,-999.00,-999.00,-999.00, 4.40, 3.99, 3.89,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.03, 2.90, 4.45,-999.00, 2.66, 2.63, 3.90,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.38, 4.34, 4.05,-999.00,-999.00, 3.99, 3.83,-999.00, 4.88, 4.80,-999.00,-999.00
CESM2, 3.57, 3.48,-999.00, 4.23,-999.00, 3.13,-999.00, 3.70, 3.26, 3.20,-999.00,-999.00
CNRM-CM5, 3.28, 3.06, 3.39,-999.00,-999.00, 2.74, 3.12,-999.00, 3.46, 3.38,-999.00,-999.00
CNRM-CM6-1, 2.44,-999.00,-999.00, 3.32,-999.00,-999.00,-999.00,-999.00, 2.61, 2.55,-999.00,-999.00
COSMOS-ASO, 2.57,-999.00, 2.25,-999.00,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.00, 4.99,-999.00,-999.00,-999.00, 4.45,-999.00,-999.00, 4.55, 4.35,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.32, 3.15,-999.00,-999.00,-999.00, 2.82,-999.00,-999.00, 2.94,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.22, 2.95,-999.00,-999.00,-999.00, 2.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.79, 2.70,-999.00,-999.00,-999.00, 2.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.46, 2.15,-999.00, 2.98,-999.00, 1.89,-999.00, 2.57, 2.97, 2.90,-999.00,-999.00
FGOALS-g2, 4.07, 4.02, 4.16,-999.00,-999.00, 3.79, 4.03,-999.00, 4.25, 3.95,-999.00,-999.00
FGOALS-g3, 4.23, 3.99,-999.00, 5.02,-999.00, 3.71,-999.00, 4.59,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.89, 2.81,-999.00,-999.00,-999.00, 2.63,-999.00,-999.00, 3.13, 3.05,-999.00,-999.00
GISS-E2-1-G, 2.90, 2.85,-999.00, 3.47,-999.00, 2.69,-999.00, 3.27, 2.92, 2.67,-999.00,-999.00
GISS-E2-R, 4.28, 3.97, 3.78,-999.00,-999.00, 3.67, 3.58,-999.00, 4.35, 4.51,-999.00,-999.00
HadCM3, 4.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.71, 2.77,-999.00,-999.00,-999.00, 2.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.76, 2.84,-999.00,-999.00,-999.00, 2.51,-999.00,-999.00, 2.85, 2.91,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.64,-999.00, 3.40,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.86, 2.72, 2.30, 3.60,-999.00, 2.45, 2.20, 3.12, 2.80, 2.82,-999.00,-999.00
IPSL-CM5A-LR, 3.34, 3.34, 2.97,-999.00,-999.00, 3.08, 2.81,-999.00, 3.31, 3.33,-999.00,-999.00
IPSL-CM6A-LR, 3.31, 3.24,-999.00, 3.89,-999.00, 3.05,-999.00, 3.64, 3.60, 3.94,-999.00,-999.00
KCM1-2-2, 1.47, 1.20,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.99, 5.04, 4.46,-999.00,-999.00, 4.52, 4.23, 5.27, 5.01, 5.01,-999.00,-999.00
MIROC-ESM, 5.45, 4.95, 4.64,-999.00,-999.00, 4.50, 4.39,-999.00, 5.51, 5.38,-999.00,-999.00
MPI-ESM1-2-LR, 2.80, 2.97, 2.97,-999.00,-999.00, 2.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.33, 3.38, 3.41,-999.00,-999.00, 2.95, 3.12,-999.00, 3.27, 3.08,-999.00,-999.00
MRI-CGCM3, 2.49, 2.45, 2.26,-999.00,-999.00, 2.10, 2.00,-999.00, 2.85, 3.02,-999.00,-999.00
MRI-ESM2-0, 3.89, 3.71,-999.00,-999.00,-999.00, 3.26,-999.00,-999.00, 3.70, 3.62,-999.00,-999.00
NESM3, 2.83, 2.70,-999.00, 3.68,-999.00, 2.33,-999.00, 3.17, 3.04, 2.99,-999.00,-999.00
NorESM1-F, 4.78, 4.56,-999.00, 5.05,-999.00, 4.21,-999.00, 4.53,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.55, 2.56,-999.00,-999.00,-999.00, 2.29,-999.00,-999.00, 2.86, 2.95,-999.00,-999.00
UofT-CCSM-4, 4.17, 4.05, 4.21,-999.00,-999.00, 3.72, 3.97,-999.00,-999.00,-999.00,-999.00,-999.00
