MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.27,-999.00,-999.00,25.22,-999.00,-999.00,-999.00,25.30,31.21,32.30,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,22.18,22.26,21.77,-999.00,22.19,22.26,21.90,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.69,22.77,20.74,-999.00,-999.00,22.80,20.73,-999.00,27.99,28.49,-999.00,-999.00
CESM2,26.15,25.17,-999.00,24.74,29.59,25.20,-999.00,24.88,32.10,34.69,-999.00,-999.00
CNRM-CM5,23.91,23.35,21.27,-999.00,-999.00,23.36,21.27,-999.00,28.11,29.42,-999.00,-999.00
CNRM-CM6-1,25.11,-999.00,-999.00,23.09,-999.00,-999.00,-999.00,23.25,31.49,33.09,-999.00,-999.00
COSMOS-ASO,24.24,-999.00,19.13,-999.00,-999.00,-999.00,19.13,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.29,24.70,-999.00,-999.00,-999.00,24.71,-999.00,-999.00,30.30,32.76,-999.00,-999.00
CSIRO-Mk3L-1-2,25.57,24.87,-999.00,-999.00,-999.00,24.90,-999.00,-999.00,29.80,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.66,21.46,-999.00,-999.00,-999.00,21.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.32,22.05,-999.00,-999.00,-999.00,22.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.06,23.96,-999.00,23.65,-999.00,23.98,-999.00,23.76,30.28,30.28,-999.00,-999.00
FGOALS-g2,23.98,22.71,20.03,-999.00,-999.00,22.70,20.03,-999.00,27.18,30.02,-999.00,-999.00
FGOALS-g3,25.94,25.49,-999.00,25.37,-999.00,25.52,-999.00,25.48,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.01,24.17,-999.00,-999.00,-999.00,24.18,-999.00,-999.00,29.27,31.27,-999.00,-999.00
GISS-E2-1-G,26.82,25.69,-999.00,25.52,27.89,25.69,-999.00,25.58,27.79,32.34,-999.00,-999.00
GISS-E2-R,27.00,26.07,23.71,-999.00,-999.00,26.07,23.71,-999.00,30.82,31.52,-999.00,-999.00
HadCM3,25.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.84,24.02,-999.00,-999.00,-999.00,24.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.41,24.84,-999.00,-999.00,-999.00,24.87,-999.00,-999.00,31.21,33.07,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.49,-999.00,25.49,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,24.44,23.37,21.78,23.05,-999.00,23.39,21.78,23.19,27.51,27.86,-999.00,-999.00
IPSL-CM5A-LR,23.62,22.99,19.53,-999.00,-999.00,23.03,19.54,-999.00,28.98,31.22,-999.00,-999.00
IPSL-CM6A-LR,23.68,22.73,-999.00,22.61,25.78,22.76,-999.00,22.74,29.93,33.67,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.99,23.86,22.78,23.39,-999.00,23.88,22.78,23.50,28.63,29.18,-999.00,-999.00
MIROC-ESM,25.05,23.79,22.45,-999.00,-999.00,23.79,22.45,-999.00,29.25,31.65,-999.00,-999.00
MPI-ESM1-2-LR,24.96,23.00,22.04,22.87,-999.00,23.02,-999.00,22.93,30.00,30.16,-999.00,-999.00
MPI-ESM-P,24.83,23.28,21.17,-999.00,-999.00,23.31,21.17,-999.00,30.53,32.44,-999.00,-999.00
MRI-CGCM3,25.53,24.48,21.75,-999.00,-999.00,24.52,21.76,-999.00,29.37,30.50,-999.00,-999.00
MRI-ESM2-0,26.00,24.87,-999.00,-999.00,-999.00,24.88,-999.00,-999.00,30.34,31.61,-999.00,-999.00
NESM3,25.04,23.45,-999.00,23.26,-999.00,23.48,-999.00,23.44,30.69,31.60,-999.00,-999.00
NorESM1-F,25.27,24.33,-999.00,23.79,25.41,24.34,-999.00,23.92,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.99,25.26,-999.00,24.91,-999.00,25.29,-999.00,25.05,30.07,33.71,-999.00,-999.00
UofT-CCSM-4,23.25,22.24,20.44,-999.00,-999.00,22.27,20.44,-999.00,-999.00,-999.00,-999.00,-999.00
