MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.13,-999.00,-999.00,24.87,-999.00,-999.00,-999.00,25.37,31.08,32.14,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,21.87,21.92,21.27,-999.00,21.99,21.91,21.86,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.76,23.44,20.77,-999.00,-999.00,23.55,20.76,-999.00,27.89,28.36,-999.00,-999.00
CESM2,26.22,25.76,-999.00,24.90,29.24,25.85,-999.00,25.39,31.97,34.60,-999.00,-999.00
CNRM-CM5,23.62,23.40,20.89,-999.00,-999.00,23.50,20.88,-999.00,27.88,29.35,-999.00,-999.00
CNRM-CM6-1,24.06,-999.00,-999.00,22.70,-999.00,-999.00,-999.00,23.42,30.35,32.13,-999.00,-999.00
COSMOS-ASO,24.01,-999.00,18.86,-999.00,-999.00,-999.00,18.84,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.07,25.34,-999.00,-999.00,-999.00,25.45,-999.00,-999.00,29.98,32.22,-999.00,-999.00
CSIRO-Mk3L-1-2,25.77,25.58,-999.00,-999.00,-999.00,25.72,-999.00,-999.00,29.87,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.23,21.38,-999.00,-999.00,-999.00,21.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.10,22.38,-999.00,-999.00,-999.00,22.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,24.88,24.26,-999.00,23.69,-999.00,24.37,-999.00,24.23,30.10,30.03,-999.00,-999.00
FGOALS-g2,23.28,22.85,19.39,-999.00,-999.00,22.80,19.39,-999.00,26.19,29.05,-999.00,-999.00
FGOALS-g3,25.72,26.05,-999.00,25.71,-999.00,26.17,-999.00,26.27,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,24.40,24.29,-999.00,-999.00,-999.00,24.33,-999.00,-999.00,28.21,30.33,-999.00,-999.00
GISS-E2-1-G,26.33,25.90,-999.00,26.05,27.07,25.89,-999.00,26.23,27.34,31.59,-999.00,-999.00
GISS-E2-R,26.70,26.26,24.06,-999.00,-999.00,26.27,24.05,-999.00,30.34,31.16,-999.00,-999.00
HadCM3,25.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.56,24.10,-999.00,-999.00,-999.00,24.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.09,24.95,-999.00,-999.00,-999.00,25.12,-999.00,-999.00,31.04,32.89,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.02,-999.00,25.82,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,24.18,23.69,21.88,22.74,-999.00,23.85,21.86,23.43,26.98,27.38,-999.00,-999.00
IPSL-CM5A-LR,23.77,23.97,19.31,-999.00,-999.00,24.13,19.29,-999.00,29.28,31.44,-999.00,-999.00
IPSL-CM6A-LR,23.56,23.38,-999.00,22.94,25.61,23.50,-999.00,23.43,29.58,32.98,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.84,24.38,22.66,23.49,-999.00,24.46,22.65,23.95,28.25,28.78,-999.00,-999.00
MIROC-ESM,24.54,23.71,22.30,-999.00,-999.00,23.79,22.29,-999.00,28.35,30.78,-999.00,-999.00
MPI-ESM1-2-LR,24.24,22.71,21.41,22.97,-999.00,22.83,-999.00,23.22,28.90,29.03,-999.00,-999.00
MPI-ESM-P,24.52,23.58,20.65,-999.00,-999.00,23.73,20.63,-999.00,30.09,31.83,-999.00,-999.00
MRI-CGCM3,25.52,25.20,21.65,-999.00,-999.00,25.39,21.63,-999.00,29.40,30.57,-999.00,-999.00
MRI-ESM2-0,26.42,25.66,-999.00,-999.00,-999.00,25.76,-999.00,-999.00,30.83,32.07,-999.00,-999.00
NESM3,24.42,23.80,-999.00,23.72,-999.00,23.93,-999.00,24.33,29.52,30.23,-999.00,-999.00
NorESM1-F,25.14,24.83,-999.00,23.83,25.31,24.92,-999.00,24.36,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.23,26.14,-999.00,25.33,-999.00,26.23,-999.00,25.79,30.09,33.65,-999.00,-999.00
UofT-CCSM-4,23.41,22.98,20.59,-999.00,-999.00,23.09,20.58,-999.00,-999.00,-999.00,-999.00,-999.00
