MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.97,-999.00,-999.00,15.60,-999.00,-999.00,-999.00,18.68,23.11,24.32,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,18.26,14.71,15.57,-999.00,19.35,14.63,18.83,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,18.76,18.90,13.42,-999.00,-999.00,19.85,13.35,-999.00,24.04,24.39,-999.00,-999.00
CESM2,19.25,19.62,-999.00,17.48,26.24,20.57,-999.00,20.49,25.47,27.97,-999.00,-999.00
CNRM-CM5,17.45,18.13,15.02,-999.00,-999.00,19.14,14.93,-999.00,22.49,23.74,-999.00,-999.00
CNRM-CM6-1,18.18,-999.00,-999.00,17.53,-999.00,-999.00,-999.00,20.73,25.54,27.02,-999.00,-999.00
COSMOS-ASO,18.50,-999.00,12.39,-999.00,-999.00,-999.00,12.30,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,17.81,17.90,-999.00,-999.00,-999.00,18.96,-999.00,-999.00,22.68,24.93,-999.00,-999.00
CSIRO-Mk3L-1-2,17.96,18.56,-999.00,-999.00,-999.00,19.47,-999.00,-999.00,22.11,-999.00,-999.00,-999.00
EC-EARTH-2-2,16.34,16.75,-999.00,-999.00,-999.00,17.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,17.60,18.40,-999.00,-999.00,-999.00,19.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,16.84,16.85,-999.00,14.52,-999.00,17.79,-999.00,17.66,23.92,23.62,-999.00,-999.00
FGOALS-g2,17.25,16.91,11.64,-999.00,-999.00,17.91,11.56,-999.00,22.94,24.46,-999.00,-999.00
FGOALS-g3,17.31,17.40,-999.00,15.62,-999.00,18.43,-999.00,18.76,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,19.46,19.92,-999.00,-999.00,-999.00,21.03,-999.00,-999.00,25.20,26.66,-999.00,-999.00
GISS-E2-1-G,20.05,19.92,-999.00,18.26,21.81,20.78,-999.00,20.92,21.18,25.22,-999.00,-999.00
GISS-E2-R,20.13,20.38,14.22,-999.00,-999.00,21.18,14.15,-999.00,24.24,24.74,-999.00,-999.00
HadCM3,17.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,17.46,18.46,-999.00,-999.00,-999.00,19.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,18.05,18.86,-999.00,-999.00,-999.00,19.83,-999.00,-999.00,24.59,26.52,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,19.48,-999.00,20.21,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,16.84,17.22,10.88,14.43,-999.00,18.32,10.79,17.51,21.46,22.23,-999.00,-999.00
IPSL-CM5A-LR,16.52,17.35,11.02,-999.00,-999.00,18.34,10.94,-999.00,22.99,25.14,-999.00,-999.00
IPSL-CM6A-LR,17.07,17.47,-999.00,15.74,20.98,18.48,-999.00,18.78,25.05,30.10,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,21.81,21.66,16.53,19.16,-999.00,22.72,16.45,22.43,27.16,27.37,-999.00,-999.00
MIROC-ESM,19.82,19.96,14.63,-999.00,-999.00,20.89,14.56,-999.00,25.79,27.40,-999.00,-999.00
MPI-ESM1-2-LR,19.34,19.56,15.27,15.76,-999.00,20.57,-999.00,15.51,26.35,26.34,-999.00,-999.00
MPI-ESM-P,19.34,19.59,14.63,-999.00,-999.00,20.59,14.56,-999.00,25.83,27.86,-999.00,-999.00
MRI-CGCM3,16.49,17.01,12.01,-999.00,-999.00,18.07,11.92,-999.00,21.41,22.15,-999.00,-999.00
MRI-ESM2-0,19.31,19.74,-999.00,-999.00,-999.00,20.80,-999.00,-999.00,24.20,25.27,-999.00,-999.00
NESM3,20.18,20.82,-999.00,18.69,-999.00,21.93,-999.00,22.14,29.31,30.02,-999.00,-999.00
NorESM1-F,19.80,19.95,-999.00,17.57,22.45,20.94,-999.00,20.49,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,19.55,20.33,-999.00,18.59,-999.00,21.26,-999.00,21.61,25.46,28.69,-999.00,-999.00
UofT-CCSM-4,17.69,17.83,12.64,-999.00,-999.00,18.76,12.56,-999.00,-999.00,-999.00,-999.00,-999.00
