MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.82,-999.00,-999.00, 6.23,-999.00,-999.00,-999.00, 5.83, 5.76, 5.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.16, 4.01, 4.65,-999.00, 3.86, 3.82, 4.33,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.07, 5.14, 5.07,-999.00,-999.00, 4.91, 4.94,-999.00, 4.84, 4.87,-999.00,-999.00
CESM2, 4.33, 4.51,-999.00, 4.73,-999.00, 4.33,-999.00, 4.43, 4.47, 4.68,-999.00,-999.00
CNRM-CM5, 5.15, 5.22, 5.31,-999.00,-999.00, 5.09, 5.23,-999.00, 5.22, 5.28,-999.00,-999.00
CNRM-CM6-1, 4.69,-999.00,-999.00, 4.88,-999.00,-999.00,-999.00,-999.00, 4.68, 4.69,-999.00,-999.00
COSMOS-ASO, 3.74,-999.00, 3.40,-999.00,-999.00,-999.00, 3.23,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.26, 5.50,-999.00,-999.00,-999.00, 5.22,-999.00,-999.00, 5.77, 6.07,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.19, 5.32,-999.00,-999.00,-999.00, 5.07,-999.00,-999.00, 5.44,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.58, 4.97,-999.00,-999.00,-999.00, 4.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.21, 4.22,-999.00,-999.00,-999.00, 4.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.98, 5.25,-999.00, 5.14,-999.00, 4.95,-999.00, 4.73, 5.19, 5.24,-999.00,-999.00
FGOALS-g2, 4.42, 4.28, 3.25,-999.00,-999.00, 3.96, 3.10,-999.00, 4.68, 4.37,-999.00,-999.00
FGOALS-g3, 5.19, 5.38,-999.00, 5.51,-999.00, 4.90,-999.00, 4.93,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.66, 6.04,-999.00,-999.00,-999.00, 5.78,-999.00,-999.00, 6.27, 6.23,-999.00,-999.00
GISS-E2-1-G, 4.64, 4.79,-999.00, 5.00,-999.00, 4.47,-999.00, 4.60, 4.70, 4.77,-999.00,-999.00
GISS-E2-R, 5.36, 5.73, 5.40,-999.00,-999.00, 5.51, 5.29,-999.00, 5.74, 5.32,-999.00,-999.00
HadCM3, 3.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.94, 6.04,-999.00,-999.00,-999.00, 5.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 6.02, 6.06,-999.00,-999.00,-999.00, 5.63,-999.00,-999.00, 5.81, 5.90,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.07,-999.00, 5.30,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.84, 5.21, 4.45, 5.46,-999.00, 5.06, 4.37, 5.23, 5.32, 5.49,-999.00,-999.00
IPSL-CM5A-LR, 4.48, 4.75, 4.01,-999.00,-999.00, 4.58, 3.90,-999.00, 5.00, 5.28,-999.00,-999.00
IPSL-CM6A-LR, 4.78, 5.13,-999.00, 5.18,-999.00, 4.92,-999.00, 4.87, 4.85, 4.76,-999.00,-999.00
KCM1-2-2, 5.93, 7.14,-999.00,-999.00,-999.00, 7.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.98, 4.42, 3.69,-999.00,-999.00, 4.31, 3.62, 4.34, 3.91, 4.03,-999.00,-999.00
MIROC-ESM, 4.13, 4.50, 3.55,-999.00,-999.00, 4.43, 3.49,-999.00, 5.10, 5.27,-999.00,-999.00
MPI-ESM1-2-LR, 4.38, 4.78, 4.29,-999.00,-999.00, 4.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 4.12, 4.63, 3.91,-999.00,-999.00, 4.28, 3.68,-999.00, 4.85, 5.19,-999.00,-999.00
MRI-CGCM3, 5.60, 5.57, 5.78,-999.00,-999.00, 5.05, 5.44,-999.00, 5.15, 5.28,-999.00,-999.00
MRI-ESM2-0, 5.10, 5.26,-999.00,-999.00,-999.00, 4.96,-999.00,-999.00, 4.86, 4.77,-999.00,-999.00
NESM3, 4.13, 4.22,-999.00, 4.44,-999.00, 3.81,-999.00, 3.91, 4.10, 4.20,-999.00,-999.00
NorESM1-F, 4.59, 4.85,-999.00, 4.96,-999.00, 4.55,-999.00, 4.54,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.22, 4.38,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00, 4.41, 4.86,-999.00,-999.00
UofT-CCSM-4, 4.84, 4.98, 4.13,-999.00,-999.00, 4.77, 4.01,-999.00,-999.00,-999.00,-999.00,-999.00
