MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.62,-999.00,-999.00, 7.33,-999.00,-999.00,-999.00, 6.33, 4.77, 4.81,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.76, 2.67, 4.05,-999.00, 2.47, 2.49, 3.77,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.65, 3.96, 4.77,-999.00,-999.00, 3.65, 4.65,-999.00, 4.21, 4.17,-999.00,-999.00
CESM2, 3.67, 3.74,-999.00, 4.63,-999.00, 3.47,-999.00, 4.08, 3.43, 3.72,-999.00,-999.00
CNRM-CM5, 4.63, 4.59, 4.83,-999.00,-999.00, 4.29, 4.76,-999.00, 4.32, 4.20,-999.00,-999.00
CNRM-CM6-1, 4.30,-999.00,-999.00, 5.09,-999.00,-999.00,-999.00,-999.00, 3.61, 3.36,-999.00,-999.00
COSMOS-ASO, 2.53,-999.00, 2.27,-999.00,-999.00,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.83, 5.53,-999.00,-999.00,-999.00, 5.17,-999.00,-999.00, 5.60, 5.63,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.69, 4.80,-999.00,-999.00,-999.00, 4.50,-999.00,-999.00, 5.28,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.55, 5.05,-999.00,-999.00,-999.00, 4.82,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.88, 2.83,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.83, 4.93,-999.00, 5.86,-999.00, 4.49,-999.00, 4.99, 4.69, 4.69,-999.00,-999.00
FGOALS-g2, 3.97, 3.25, 2.76,-999.00,-999.00, 2.90, 2.62,-999.00, 3.62, 3.29,-999.00,-999.00
FGOALS-g3, 5.22, 5.35,-999.00, 6.73,-999.00, 4.71,-999.00, 5.57,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.21, 5.90,-999.00,-999.00,-999.00, 5.59,-999.00,-999.00, 6.16, 6.05,-999.00,-999.00
GISS-E2-1-G, 4.63, 4.55,-999.00, 5.47,-999.00, 4.10,-999.00, 4.58, 4.71, 4.31,-999.00,-999.00
GISS-E2-R, 5.00, 5.33, 5.22,-999.00,-999.00, 4.96, 5.10,-999.00, 5.07, 4.69,-999.00,-999.00
HadCM3, 2.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.59, 4.94,-999.00,-999.00,-999.00, 4.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.73, 5.16,-999.00,-999.00,-999.00, 4.56,-999.00,-999.00, 4.94, 4.74,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.06,-999.00, 5.01,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.56, 5.13, 3.99, 5.99,-999.00, 4.91, 3.93, 5.56, 5.20, 5.36,-999.00,-999.00
IPSL-CM5A-LR, 3.83, 4.09, 3.47,-999.00,-999.00, 3.87, 3.37,-999.00, 4.29, 4.42,-999.00,-999.00
IPSL-CM6A-LR, 4.10, 4.18,-999.00, 4.66,-999.00, 3.90,-999.00, 3.91, 3.60, 3.01,-999.00,-999.00
KCM1-2-2, 5.93, 7.14,-999.00,-999.00,-999.00, 7.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.87, 3.34, 2.58,-999.00,-999.00, 3.20, 2.52, 3.57, 3.04, 3.28,-999.00,-999.00
MIROC-ESM, 3.65, 4.14, 2.99,-999.00,-999.00, 4.07, 2.94,-999.00, 4.97, 4.94,-999.00,-999.00
MPI-ESM1-2-LR, 3.99, 3.93, 3.92,-999.00,-999.00, 3.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.10, 3.56, 2.74,-999.00,-999.00, 3.18, 2.54,-999.00, 4.28, 4.63,-999.00,-999.00
MRI-CGCM3, 5.51, 4.59, 6.29,-999.00,-999.00, 3.93, 5.96,-999.00, 4.21, 3.98,-999.00,-999.00
MRI-ESM2-0, 3.86, 3.16,-999.00,-999.00,-999.00, 2.82,-999.00,-999.00, 3.04, 2.81,-999.00,-999.00
NESM3, 3.89, 3.29,-999.00, 4.37,-999.00, 2.79,-999.00, 3.23, 3.35, 3.61,-999.00,-999.00
NorESM1-F, 4.20, 4.02,-999.00, 5.06,-999.00, 3.58,-999.00, 4.15,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.20, 3.17,-999.00,-999.00,-999.00, 2.87,-999.00,-999.00, 3.48, 4.14,-999.00,-999.00
UofT-CCSM-4, 4.48, 4.16, 3.91,-999.00,-999.00, 3.86, 3.80,-999.00,-999.00,-999.00,-999.00,-999.00
