MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.55,-999.00,-999.00, 5.16,-999.00,-999.00,-999.00, 5.05, 6.49, 6.87,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.05, 4.15, 3.82,-999.00, 3.84, 3.98, 3.60,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.69, 4.84, 4.04,-999.00,-999.00, 4.68, 3.93,-999.00, 4.81, 4.96,-999.00,-999.00
CESM2, 4.59, 4.75,-999.00, 4.26,-999.00, 4.62,-999.00, 4.15, 5.04, 5.40,-999.00,-999.00
CNRM-CM5, 4.89, 4.84, 4.81,-999.00,-999.00, 4.75, 4.73,-999.00, 5.26, 5.36,-999.00,-999.00
CNRM-CM6-1, 5.13,-999.00,-999.00, 4.53,-999.00,-999.00,-999.00,-999.00, 5.71, 5.73,-999.00,-999.00
COSMOS-ASO, 4.19,-999.00, 3.90,-999.00,-999.00,-999.00, 3.73,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.10, 5.12,-999.00,-999.00,-999.00, 4.90,-999.00,-999.00, 5.76, 6.44,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.06, 5.59,-999.00,-999.00,-999.00, 5.39,-999.00,-999.00, 6.59,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.42, 4.41,-999.00,-999.00,-999.00, 4.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.28, 4.60,-999.00,-999.00,-999.00, 4.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 5.19, 5.26,-999.00, 4.53,-999.00, 5.01,-999.00, 4.33, 5.48, 5.64,-999.00,-999.00
FGOALS-g2, 4.33, 4.01, 3.57,-999.00,-999.00, 3.70, 3.39,-999.00, 4.59, 5.30,-999.00,-999.00
FGOALS-g3, 4.96, 4.63,-999.00, 3.97,-999.00, 4.25,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.38, 5.36,-999.00,-999.00,-999.00, 5.13,-999.00,-999.00, 5.95, 6.11,-999.00,-999.00
GISS-E2-1-G, 4.68, 4.80,-999.00, 4.31,-999.00, 4.56,-999.00, 4.12, 4.66, 4.85,-999.00,-999.00
GISS-E2-R, 5.60, 5.79, 5.77,-999.00,-999.00, 5.67, 5.67,-999.00, 6.41, 5.86,-999.00,-999.00
HadCM3, 4.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.51, 5.67,-999.00,-999.00,-999.00, 5.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.53, 5.54,-999.00,-999.00,-999.00, 5.24,-999.00,-999.00, 5.98, 6.50,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.04,-999.00, 4.69,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.47, 4.23, 4.47, 3.75,-999.00, 4.14, 4.38, 3.63, 5.00, 5.05,-999.00,-999.00
IPSL-CM5A-LR, 5.01, 4.86, 4.33,-999.00,-999.00, 4.74, 4.21,-999.00, 5.62, 5.89,-999.00,-999.00
IPSL-CM6A-LR, 5.07, 5.10,-999.00, 4.67,-999.00, 4.91,-999.00, 4.50, 5.51, 5.59,-999.00,-999.00
KCM1-2-2, 5.93, 7.14,-999.00,-999.00,-999.00, 7.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 5.03, 5.09, 4.43,-999.00,-999.00, 5.02, 4.36, 4.65, 4.75, 4.91,-999.00,-999.00
MIROC-ESM, 4.32, 4.49, 3.41,-999.00,-999.00, 4.44, 3.35,-999.00, 4.87, 5.00,-999.00,-999.00
MPI-ESM1-2-LR, 5.06, 5.23, 4.39,-999.00,-999.00, 4.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 4.19, 4.13, 3.82,-999.00,-999.00, 3.84, 3.60,-999.00, 4.88, 5.26,-999.00,-999.00
MRI-CGCM3, 4.94, 5.14, 4.43,-999.00,-999.00, 4.67, 4.14,-999.00, 5.54, 5.79,-999.00,-999.00
MRI-ESM2-0, 5.88, 5.98,-999.00,-999.00,-999.00, 5.75,-999.00,-999.00, 6.25, 6.38,-999.00,-999.00
NESM3, 4.10, 4.13,-999.00, 3.72,-999.00, 3.73,-999.00, 3.37, 4.47, 4.63,-999.00,-999.00
NorESM1-F, 4.75, 5.03,-999.00, 4.40,-999.00, 4.87,-999.00, 4.28,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.51, 4.71,-999.00,-999.00,-999.00, 4.51,-999.00,-999.00, 4.75, 5.26,-999.00,-999.00
UofT-CCSM-4, 4.25, 4.29, 3.42,-999.00,-999.00, 4.14, 3.31,-999.00,-999.00,-999.00,-999.00,-999.00
