MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.49,-999.00,-999.00,26.41,-999.00,-999.00,-999.00,26.36,29.81,30.63,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.21,22.87,24.45,-999.00,24.19,22.88,24.47,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,25.80,25.62,23.79,-999.00,-999.00,25.59,23.79,-999.00,28.92,29.37,-999.00,-999.00
CESM2,25.56,25.24,-999.00,25.40,28.82,25.21,-999.00,25.39,30.19,32.06,-999.00,-999.00
CNRM-CM5,25.32,25.30,24.05,-999.00,-999.00,25.27,24.06,-999.00,28.23,29.16,-999.00,-999.00
CNRM-CM6-1,24.42,-999.00,-999.00,24.58,-999.00,-999.00,-999.00,24.58,28.60,29.65,-999.00,-999.00
COSMOS-ASO,25.04,-999.00,21.77,-999.00,-999.00,-999.00,21.78,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.13,24.90,-999.00,-999.00,-999.00,24.87,-999.00,-999.00,28.41,30.38,-999.00,-999.00
CSIRO-Mk3L-1-2,26.12,25.84,-999.00,-999.00,-999.00,25.81,-999.00,-999.00,28.87,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.23,23.01,-999.00,-999.00,-999.00,23.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,24.49,24.18,-999.00,-999.00,-999.00,24.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,24.36,23.98,-999.00,24.02,-999.00,23.96,-999.00,24.02,28.37,28.40,-999.00,-999.00
FGOALS-g2,24.99,24.16,22.19,-999.00,-999.00,24.14,22.20,-999.00,27.48,29.25,-999.00,-999.00
FGOALS-g3,25.85,25.45,-999.00,25.68,-999.00,25.43,-999.00,25.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.89,25.57,-999.00,-999.00,-999.00,25.55,-999.00,-999.00,28.84,30.10,-999.00,-999.00
GISS-E2-1-G,25.86,25.38,-999.00,25.59,26.98,25.35,-999.00,25.58,26.54,29.89,-999.00,-999.00
GISS-E2-R,25.76,25.47,23.60,-999.00,-999.00,25.45,23.60,-999.00,28.58,28.84,-999.00,-999.00
HadCM3,25.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,25.34,25.22,-999.00,-999.00,-999.00,25.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.61,25.55,-999.00,-999.00,-999.00,25.52,-999.00,-999.00,29.01,30.16,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,25.55,-999.00,25.99,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,24.84,24.58,23.39,24.80,-999.00,24.56,23.40,24.79,27.37,27.67,-999.00,-999.00
IPSL-CM5A-LR,24.18,23.88,21.29,-999.00,-999.00,23.85,21.30,-999.00,28.14,29.73,-999.00,-999.00
IPSL-CM6A-LR,24.74,24.35,-999.00,24.52,26.80,24.33,-999.00,24.52,29.25,32.37,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,25.19,24.76,23.34,24.74,-999.00,24.74,23.35,24.75,28.09,28.64,-999.00,-999.00
MIROC-ESM,24.08,23.78,22.31,-999.00,-999.00,23.75,22.32,-999.00,27.75,29.41,-999.00,-999.00
MPI-ESM1-2-LR,25.22,24.83,23.48,25.50,-999.00,24.81,-999.00,25.62,29.15,29.42,-999.00,-999.00
MPI-ESM-P,25.17,24.85,23.09,-999.00,-999.00,24.83,23.09,-999.00,29.10,30.47,-999.00,-999.00
MRI-CGCM3,25.71,25.43,23.22,-999.00,-999.00,25.41,23.23,-999.00,28.53,29.24,-999.00,-999.00
MRI-ESM2-0,25.83,25.40,-999.00,-999.00,-999.00,25.37,-999.00,-999.00,28.97,29.90,-999.00,-999.00
NESM3,25.88,25.56,-999.00,25.95,-999.00,25.53,-999.00,25.94,30.46,31.31,-999.00,-999.00
NorESM1-F,25.81,25.60,-999.00,25.63,26.92,25.58,-999.00,25.63,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.92,25.54,-999.00,25.72,-999.00,25.51,-999.00,25.72,28.62,31.29,-999.00,-999.00
UofT-CCSM-4,25.38,25.12,23.08,-999.00,-999.00,25.10,23.08,-999.00,-999.00,-999.00,-999.00,-999.00
