MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.15,-999.00,-999.00, 2.33,-999.00,-999.00,-999.00, 2.18, 2.20, 2.25,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.99, 1.58, 1.92,-999.00, 1.82, 1.47, 1.74,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.99, 2.04, 1.57,-999.00,-999.00, 1.92, 1.50,-999.00, 2.09, 2.09,-999.00,-999.00
CESM2, 1.64, 1.65,-999.00, 1.59,-999.00, 1.55,-999.00, 1.49, 1.71, 1.85,-999.00,-999.00
CNRM-CM5, 2.05, 2.05, 1.50,-999.00,-999.00, 1.97, 1.41,-999.00, 2.25, 2.37,-999.00,-999.00
CNRM-CM6-1, 2.20,-999.00,-999.00, 2.24,-999.00,-999.00,-999.00,-999.00, 2.19, 2.44,-999.00,-999.00
COSMOS-ASO, 1.29,-999.00, 1.05,-999.00,-999.00,-999.00, 0.98,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.18, 2.29,-999.00,-999.00,-999.00, 2.13,-999.00,-999.00, 2.33, 2.39,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.82, 1.90,-999.00,-999.00,-999.00, 1.79,-999.00,-999.00, 2.16,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.82, 1.81,-999.00,-999.00,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.68, 1.70,-999.00,-999.00,-999.00, 1.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.91, 2.00,-999.00, 1.82,-999.00, 1.81,-999.00, 1.64, 2.07, 1.99,-999.00,-999.00
FGOALS-g2, 1.93, 1.94, 1.50,-999.00,-999.00, 1.87, 1.44,-999.00, 2.11, 2.25,-999.00,-999.00
FGOALS-g3, 2.03, 1.92,-999.00, 1.96,-999.00, 1.84,-999.00, 1.88,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.72, 1.73,-999.00,-999.00,-999.00, 1.59,-999.00,-999.00, 2.06, 2.19,-999.00,-999.00
GISS-E2-1-G, 1.60, 1.74,-999.00, 1.64,-999.00, 1.63,-999.00, 1.52, 1.56, 1.51,-999.00,-999.00
GISS-E2-R, 2.18, 2.20, 1.85,-999.00,-999.00, 2.14, 1.81,-999.00, 2.24, 2.24,-999.00,-999.00
HadCM3, 2.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.11, 2.20,-999.00,-999.00,-999.00, 2.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.10, 2.15,-999.00,-999.00,-999.00, 2.03,-999.00,-999.00, 1.95, 2.11,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.66,-999.00, 1.70,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.97, 2.00, 1.48, 2.13,-999.00, 1.94, 1.42, 2.05, 2.17, 2.29,-999.00,-999.00
IPSL-CM5A-LR, 1.79, 1.89, 1.38,-999.00,-999.00, 1.76, 1.32,-999.00, 1.70, 1.78,-999.00,-999.00
IPSL-CM6A-LR, 2.51, 2.61,-999.00, 2.66,-999.00, 2.47,-999.00, 2.51, 2.57, 2.57,-999.00,-999.00
KCM1-2-2, 1.87, 1.92,-999.00,-999.00,-999.00, 1.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.40, 2.45, 1.35,-999.00,-999.00, 2.38, 1.30, 2.28, 2.52, 2.50,-999.00,-999.00
MIROC-ESM, 2.39, 2.44, 1.53,-999.00,-999.00, 2.38, 1.49,-999.00, 2.67, 2.59,-999.00,-999.00
MPI-ESM1-2-LR, 2.12, 2.20, 1.71,-999.00,-999.00, 2.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.93, 1.99, 1.44,-999.00,-999.00, 1.84, 1.35,-999.00, 2.04, 2.03,-999.00,-999.00
MRI-CGCM3, 2.62, 2.68, 1.71,-999.00,-999.00, 2.58, 1.64,-999.00, 2.81, 2.92,-999.00,-999.00
MRI-ESM2-0, 2.54, 2.54,-999.00,-999.00,-999.00, 2.44,-999.00,-999.00, 2.73, 2.92,-999.00,-999.00
NESM3, 2.35, 2.49,-999.00, 2.41,-999.00, 2.30,-999.00, 2.21, 2.66, 2.60,-999.00,-999.00
NorESM1-F, 1.82, 1.93,-999.00, 1.93,-999.00, 1.82,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.47, 1.89,-999.00,-999.00,-999.00, 1.75,-999.00,-999.00, 1.56, 1.76,-999.00,-999.00
UofT-CCSM-4, 2.01, 2.05, 1.29,-999.00,-999.00, 1.93, 1.22,-999.00,-999.00,-999.00,-999.00,-999.00
