MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 7.80,-999.00,-999.00, 8.76,-999.00,-999.00,-999.00, 9.42,13.58,14.79,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.01,-6.91, 5.56,-999.00, 5.36,-6.94, 6.37,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.82, 5.40,-8.67,-999.00,-999.00, 5.75,-8.70,-999.00,11.65,11.93,-999.00,-999.00
CESM2, 7.99, 7.79,-999.00, 7.94,13.28, 8.15,-999.00, 8.76,13.96,15.82,-999.00,-999.00
CNRM-CM5, 4.80, 5.22,-4.87,-999.00,-999.00, 5.58,-4.92,-999.00,10.18,11.74,-999.00,-999.00
CNRM-CM6-1, 4.58,-999.00,-999.00, 5.19,-999.00,-999.00,-999.00, 5.99,11.60,12.76,-999.00,-999.00
COSMOS-ASO, 5.22,-999.00,-10.70,-999.00,-999.00,-999.00,-10.73,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 6.06, 6.53,-999.00,-999.00,-999.00, 6.87,-999.00,-999.00,10.91,13.33,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.95, 7.18,-999.00,-999.00,-999.00, 7.52,-999.00,-999.00,11.12,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.00, 2.85,-999.00,-999.00,-999.00, 3.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.28, 4.32,-999.00,-999.00,-999.00, 4.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.47, 4.24,-999.00, 4.21,-999.00, 4.56,-999.00, 5.03,11.55,11.58,-999.00,-999.00
FGOALS-g2, 3.58, 2.80,-12.32,-999.00,-999.00, 3.15,-12.35,-999.00, 8.72,10.91,-999.00,-999.00
FGOALS-g3, 4.19, 4.41,-999.00, 5.24,-999.00, 4.77,-999.00, 6.05,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 7.93, 7.83,-999.00,-999.00,-999.00, 8.21,-999.00,-999.00,13.00,14.59,-999.00,-999.00
GISS-E2-1-G, 4.21, 4.26,-999.00, 4.97, 5.64, 4.59,-999.00, 5.77, 5.34, 8.82,-999.00,-999.00
GISS-E2-R, 5.63, 5.57,-7.39,-999.00,-999.00, 5.87,-7.41,-999.00, 9.35,10.04,-999.00,-999.00
HadCM3, 5.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 6.05, 6.37,-999.00,-999.00,-999.00, 6.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 6.83, 7.12,-999.00,-999.00,-999.00, 7.51,-999.00,-999.00,13.52,15.26,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 6.26,-999.00, 7.76,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.19, 6.59,-7.47, 6.47,-999.00, 6.95,-7.50, 7.29,11.20,11.95,-999.00,-999.00
IPSL-CM5A-LR, 4.17, 4.38,-11.07,-999.00,-999.00, 4.69,-11.09,-999.00,10.17,12.28,-999.00,-999.00
IPSL-CM6A-LR, 3.95, 3.59,-999.00, 4.34, 7.05, 3.94,-999.00, 5.11,11.51,15.84,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.00, 8.55,-4.32, 8.90,-999.00, 8.88,-4.35, 9.69,13.65,14.40,-999.00,-999.00
MIROC-ESM, 8.00, 7.55,-9.88,-999.00,-999.00, 7.89,-9.91,-999.00,14.25,16.53,-999.00,-999.00
MPI-ESM1-2-LR, 4.95, 4.72,-8.08, 9.34,-999.00, 5.07,-999.00, 9.27,11.66,11.88,-999.00,-999.00
MPI-ESM-P, 5.32, 5.41,-10.53,-999.00,-999.00, 5.72,-10.55,-999.00,11.08,13.09,-999.00,-999.00
MRI-CGCM3, 4.88, 5.18,-7.39,-999.00,-999.00, 5.48,-7.43,-999.00, 8.68, 9.63,-999.00,-999.00
MRI-ESM2-0, 6.32, 6.40,-999.00,-999.00,-999.00, 6.72,-999.00,-999.00,10.52,11.58,-999.00,-999.00
NESM3, 5.74, 5.69,-999.00, 6.49,-999.00, 6.05,-999.00, 7.30,13.57,14.90,-999.00,-999.00
NorESM1-F, 7.89, 7.41,-999.00, 7.87, 8.82, 7.76,-999.00, 8.73,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.54, 8.30,-999.00, 8.73,-999.00, 8.65,-999.00, 9.53,13.50,15.82,-999.00,-999.00
UofT-CCSM-4, 3.85, 3.54,-9.03,-999.00,-999.00, 3.90,-9.06,-999.00,-999.00,-999.00,-999.00,-999.00
